Ticker,Title,Link
AIZ,Assurant cut to Neutral at Piper as catalysts largely played out,8/22/2024 2:52:16 PM
AIZ,"Assurant, Inc. declares $0.72 dividend",8/15/2024 8:25:28 PM
AIZ,KBW Sticks to Their Hold Rating for Assurant (AIZ),8/14/2024 5:27:54 AM
AIZ,Truist Financial Remains a Buy on Assurant (AIZ),8/7/2024 12:19:31 PM
AIZ,"Assurant Inc Q2 Profit Increases, Beats Estimates ",8/6/2024 10:38:43 PM
AIZ,Assurant Q2 2024 Earnings Preview,8/5/2024 9:35:42 PM
AIZ,Truist Financial Remains a Buy on Assurant (AIZ),7/29/2024 11:17:18 AM
AIZ,"Analysts Offer Insights on Financial Companies: NY Community (NYCB), BlackRock (BLK) and Assurant (AIZ)",7/16/2024 12:11:17 PM
AIZ,Assurant announces global auto leadership succession plan,7/9/2024 12:56:25 PM
AIZ,Piper Sandler Keeps Their Buy Rating on Assurant (AIZ),6/28/2024 10:50:34 AM
AIZ,"Analysts Offer Insights on Financial Companies: FinWise (FINW), Assurant (AIZ) and Citigroup (C)",6/20/2024 11:40:26 AM
AIZ,Assurant (AIZ) Gets a Buy from Bank of America Securities,6/18/2024 1:16:41 PM
AIZ,Assurant declares $0.72 dividend,5/23/2024 8:20:36 PM
AIZ,Assurant (AIZ) Receives a Rating Update from a Top Analyst,5/13/2024 2:26:08 AM
AIZ,Piper Sandler Sticks to Their Buy Rating for Assurant (AIZ),5/8/2024 11:09:13 AM
AIZ,"Assurant Inc Q1 Profit Increases, beats estimates",5/7/2024 10:33:45 PM
AIZ,Assurant Q1 2024 Earnings Preview,5/6/2024 9:35:49 PM
AIZ,"Assurant To Offer Device Trade-In Services To Lloyds Bank, Halifax, Bank Of Scotland Customers ",4/18/2024 5:17:47 PM
AIZ,Analysts Offer Insights on Financial Companies: AFLAC (AFL) and Assurant (AIZ),4/10/2024 2:40:59 PM
AIZ,Peeling Back The Layers: Exploring Assurant Through Analyst Insights,4/5/2024 7:01:13 PM
AIZ,"Assurant buys tech repair retailer, iSmash",4/4/2024 10:03:46 AM
AIZ,Teva Pharmaceutical To Rally Around 58%? Here Are 10 Top Analyst Forecasts For Monday,2/12/2024 1:43:05 PM
AIZ,"Chipotle Posts Upbeat Earnings, Joins Cirrus Logic, Emerson Electric, Carlyle Group And Other Big Stocks Moving Higher On Wednesday",2/7/2024 5:38:09 PM
AIZ,"Assurant Inc Q4 Profit Increases, beats estimates",2/6/2024 10:24:04 PM
AIZ,Notable earnings after Tuesday's close,2/5/2024 10:35:34 PM
AIZ,Piper Sandler Recommends Owning Life Insurance Stocks; Here Are 3 Names to Watch,1/23/2024 3:04:50 PM
AIZ,Assurant declares $0.72 dividend,1/18/2024 9:25:53 PM
AIZ,Piper Sandler Remains a Buy on Assurant (AIZ),12/18/2023 12:45:36 PM
AIZ,Beating the Odds: 3 Stock Market Winners Following AutoZone’s Lead,12/12/2023 11:00:00 AM
AIZ,Piper Sandler Keeps Their Buy Rating on Assurant (AIZ),11/16/2023 12:34:49 PM
AIZ,"Analysts Offer Insights on Financial Companies: Newtek Business (NEWT), Primis Financial (FRST) and Assurant (AIZ)",11/10/2023 3:22:38 PM
AIZ,Top 4 Financial Stocks That May Collapse This Quarter,11/3/2023 12:33:26 PM
AIZ,Why Extreme Networks Shares Are Trading Lower By Around 15%? Here Are Other Stocks Moving In Wednesday's Mid-Day Session,11/1/2023 6:59:53 PM
AIZ,"Assurant Inc Q3 Profit Increases, beats estimates",10/31/2023 9:26:17 PM
AIZ,Assurant is about to announce earnings — here's what Wall Street expects,10/30/2023 3:01:13 PM
AIZ,"Analysts Offer Insights on Financial Companies: Victory Capital Holdings (VCTR), Assurant (AIZ) and S&P Global (SPGI)",10/2/2023 11:20:28 AM
AIZ,Analysts’ Opinions Are Mixed on These Financial Stocks: Mr Cooper Group (COOP) and Assurant (AIZ),9/21/2023 11:21:11 AM
AIZ,Assurant declares $0.70 dividend,8/10/2023 9:08:10 PM
AIZ,"Humana, Waters, e.l.f. Beauty, Teva Pharmaceutical  And Other Big Stocks Moving Higher On Wednesday",8/2/2023 4:37:00 PM
AIZ,"Assurant Inc Q2 Profit Increases, beats estimates",8/1/2023 10:27:34 PM
AIZ,Assurant Q2 2023 Earnings Preview,7/31/2023 9:35:25 PM
AIZ,Piper Sandler Sticks to Their Buy Rating for Assurant (AIZ),7/7/2023 10:35:11 AM
AIZ,"Benzinga's Top Ratings Upgrades, Downgrades For June 13, 2023",6/13/2023 5:00:53 PM
AIZ,"SoFi, Upstart top week's financial gainers, while insurers slip the most",6/3/2023 2:27:02 PM
AIZ,7 Overvalued Value Stocks to Sell Before June 2023,5/28/2023 10:27:56 PM
AIZ,Assurant declares $0.70 dividend,5/11/2023 8:32:49 PM
AIZ,"Western Union, Ashford Hospitality Trust, Assurant among financials gainers",5/3/2023 4:00:57 PM
AIZ,"Assurant Inc Q1 Profit Decreases, but beats estimates",5/2/2023 10:22:12 PM
AIZ,Assurant Q1 2023 Earnings Preview,5/1/2023 9:35:45 PM
AIZ,"Analysts Offer Insights on Financial Companies: Bread Financial Holdings (BFH), Assurant (AIZ) and Bank OZK (OZK)",4/5/2023 12:30:29 PM
AIZ,"Assurant stock rises nearly 7% after KBW upgrades to ""outperform""",3/21/2023 6:48:44 PM
AIZ,Sector reshuffle gives Financials more growth power; here are Goldman's top names,3/7/2023 11:32:29 AM
AIZ,Piper Sandler Reaffirms Their Hold Rating on Assurant (AIZ),2/8/2023 4:25:50 PM
AIZ,Assurant Inc Q4 Income Drops,2/7/2023 10:39:47 PM
AIZ,Assurant Q4 2022 Earnings Preview,2/6/2023 10:35:48 PM
AIZ,Assurant declares $0.70 dividend,1/19/2023 9:38:05 PM
AIZ,"Assurant announces cost-cutting plan, expects $55M in annual run rate savings by 2024-end",12/13/2022 11:04:31 PM
AIZ,Assurant raises dividend by 2.9% to $0.70,11/10/2022 9:20:13 PM
AIZ,Q3 results help determine the week's financial stock winners and losers,11/5/2022 2:37:00 PM
AIZ,Assurant Inc Q2 Profit Falls,11/1/2022 9:29:22 PM
AIZ,Notable earnings after Tuesday's close,10/31/2022 9:35:43 PM
AIZ,"Boeing, Seagate, Chipotle And Other Big Losers From Wednesday",10/27/2022 11:19:06 AM
AIZ,Why Seagate Shares Are Trading Lower By More Than 7%? Here Are 49 Stocks Moving In Wednesday's Mid-Day Session,10/26/2022 6:35:09 PM
AIZ,Assurant cuts FY 2022 adj. EBITDA and adj. EPS guidance,10/25/2022 8:47:42 PM
AIZ,AIG prepares Corebridge for separation with two directors named to board,8/16/2022 8:38:54 PM
AIZ,"Fintech stocks take spotlight in weeks' financial winners, insurers slide",8/6/2022 2:16:00 PM
AIZ,Assurant declares $0.68 dividend,8/4/2022 8:27:15 PM
AIZ,"Why Poseida Therapeutics Almost Doubled Today, Here Are 75 Stocks Moving In Wednesday's Mid-Day Session",8/3/2022 6:59:27 PM
AIZ,Assurant Q2 Profit Down ,8/2/2022 11:48:15 PM
AIZ,Assurant Q2 2022 Earnings Preview,8/1/2022 9:35:33 PM
AIZ,"Financials stocks dropped with broader market in H1, while insurers climbed",7/2/2022 4:46:00 PM
AIZ,"Benzinga's Top Ratings Upgrades, Downgrades For June 24, 2022",6/24/2022 5:17:22 PM
AIZ,"Amazon, Domino's among additions to BofA's Alpha Surprise screen",6/3/2022 11:10:52 AM
AIZ,Assurant declares $0.68 dividend,5/12/2022 8:37:42 PM
AIZ,Assurant Inc Q1 sales increase,5/3/2022 10:21:59 PM
AIZ,Assurant Q1 2022 Earnings Preview,5/2/2022 9:45:16 PM
AIZ,"Assurant Sees Sustained 8-10% Growth In Adj. EBITDA, Excl. Reportable Catastrophes, Over 3 Years ",3/24/2022 12:35:12 PM
AIZ,"Assurant finance, insurance products to be added to Polly auto dealer platform",3/7/2022 5:08:02 PM
AIZ,Assurant Inc Q4 sales increase,2/8/2022 10:24:51 PM
AIZ,Notable earnings after Tuesday's close,2/7/2022 10:35:34 PM
AIZ,Assurant declares $0.68 dividend,1/11/2022 9:25:28 PM
AIZ,"Pre-market Movers: AIZ, APR, RVPH, BBLG, MOLN… ",1/10/2022 1:33:54 PM
AIZ,Assurant increases dividend by ~3%,11/10/2021 10:27:20 PM
AIZ,Assurant Inc Earnings Rise In Q3,11/2/2021 9:22:11 PM
AIZ,Notable earnings after Tuesday's close,11/1/2021 9:35:55 PM
AIZ,"Benzinga's Top Ratings Upgrades, Downgrades For October 14, 2021",10/14/2021 5:18:23 PM
AIZ,Assurant Names Keith Meier To Succeed Gene Mergelmeyer As COO - Quick Facts ,9/28/2021 1:51:22 PM
AIZ,American Bankers Life Assurance Co of Florida -- Moody's upgrades American Bankers Life Assurance Co of Florida's rating; outlook stable,9/1/2021 1:26:00 AM
AIZ,Union Security Insurance Company -- Moody's continues ratings review of Union Security following acquisition by TruStage,8/12/2021 6:51:00 AM
AIZ,American Bankers Life Assurance Co of Florida -- Moody's announces completion of a periodic review of ratings of American Bankers Life Assurance Co of Florida,8/11/2021 7:58:00 PM
AIZ,"American Bankers Ins. Co. of Florida -- Moody's announces completion of a periodic review of ratings of Assurant, Inc.",8/10/2021 10:13:00 PM
AIZ,Assurant Inc Q2 adjusted earnings of $2.99 per share,8/3/2021 10:45:43 PM
AIZ,Notable earnings after Tuesday's close,8/2/2021 9:35:38 PM
AIZ,Here's what Wall Street expects from Assurant's earnings,8/1/2021 3:01:51 PM
AIZ,Assurant declares $0.66 dividend,7/23/2021 8:25:05 PM
AIZ,"Assurant acquires remaining shares of Olivar, terms undisclosed",6/16/2021 9:32:25 AM
AIZ,"Assurant, Inc. -- Moody’s rates Assurant’s senior notes Baa3",6/11/2021 12:28:00 AM
AIZ,"Benzinga's Top Ratings Upgrades, Downgrades For May 21, 2021",5/21/2021 4:08:34 PM
AIZ,"Assurant names Keith Demmings to succeed Alan Colberg as president, CEO",5/18/2021 3:25:36 PM
AIZ,Assurant Inc Q1 adjusted earnings of $2.47 per share,5/4/2021 10:29:24 PM
AIZ,Assurant Q1 2021 Earnings Preview,5/3/2021 9:35:51 PM
AIZ,Here's what Wall Street expects from Assurant's earnings report,5/2/2021 3:01:32 PM
AIZ,Assurant Ventures exceeds $100M in venture capital investments,4/26/2021 12:43:33 PM
AIZ,American Bankers Ins. Co. of Florida -- Moody’s affirms Assurant’s ratings (Baa3 senior) upon sale of the preneed business; outlook stable,3/10/2021 2:39:00 AM
AIZ,CMFG Life Insurance Company -- Moody’s affirms TruStage’s Baa2 issuer rating; outlook stable,3/9/2021 9:10:00 PM
AIZ,Assurant Inc Q4 adjusted earnings Miss Estimates,2/9/2021 10:47:45 PM
AIZ,Notable earnings after Tuesday's close,2/8/2021 10:35:56 PM
AIZ,Assurant is about to announce earnings — here's what Wall Street expects,2/7/2021 3:01:47 PM
AIZ,"Assurant declares $0.66 dividend, authorizes $600M share buyback",1/12/2021 8:43:30 PM
AIZ,Assurant Acquires EPG Insurance for $43M,12/17/2020 9:55:04 PM
AIZ,"Assurant, Inc. -- Moody’s rates Assurant’s subordinated notes Ba1(hyb)",11/17/2020 12:50:00 AM
AIZ,Assurant declares $0.66 dividend,11/11/2020 6:57:31 PM
AIZ,Assurant Q3 2020 Earnings Preview,11/1/2020 10:35:52 PM
AIZ,"Assurant to buy smartphone trade-in firm, may shed pre-funded funeral insurance",10/28/2020 12:02:22 PM
AIZ,Assurant expects $87M reportable catastrophes in Global Housing,10/14/2020 8:39:00 PM
AIZ,Lemonade Will Never Get Profitable Until It Reduces Underwriting Losses,10/6/2020 10:31:39 AM
AIZ,"American Bankers Life Assurance Co of Florida -- Moody's announces completion of a periodic review of ratings of Assurant, Inc.",9/16/2020 11:38:00 PM
AIZ,American Bankers Life Assurance Co of Florida -- Moody's announces completion of a periodic review of ratings of Union Security Insurance Company,9/11/2020 8:52:00 PM
AIZ,Assurant Buys Fixt - Quick Facts ,8/17/2020 3:36:59 PM
AIZ,Assurant Inc Q2 adjusted earnings Beat Estimates,8/4/2020 10:55:26 PM
AIZ,Here's what to expect from Assurant's earnings report,8/3/2020 3:01:57 PM
AIZ,4 Stocks to Buy to Protect Your Portfolio From Bad Weather,6/25/2020 5:43:01 PM
AIZ,Morgan Stanley in talks to buy Assurant's CLOs - Bloomberg,6/3/2020 7:57:55 PM
AIZ,Assurant Inc Q1 adjusted earnings Beat Estimates,5/5/2020 10:54:29 PM
AIZ,Assurant Q1 2020 Earnings Preview,5/4/2020 9:35:47 PM
AIZ,Assurant Issues FY20 Earnings Outlook - Quick Facts ,2/11/2020 11:01:58 PM
AIZ,Assurant Q4 2019 Earnings Preview,2/10/2020 10:35:24 PM
AIZ,EARNINGS SUMMARY: Details of Assurant Inc Q3 Earnings Report,11/5/2019 10:36:39 PM
AIZ,"American Bankers Ins. Co. of Florida -- Moody's announces completion of a periodic review of ratings of Assurant, Inc.",10/8/2019 11:26:00 PM
AIZ,American Bankers Life Assurance Co of Florida -- Moody's announces completion of a periodic review of ratings of Union Security Insurance Company,9/19/2019 5:01:00 PM
AIZ,"Assurant, Inc. -- Moody’s rates Assurant’s senior unsecured notes Baa3, stable outlook",8/16/2019 12:17:00 AM
AIZ,Assurant Inc Q2 adjusted earnings Beat Estimates,8/6/2019 10:20:36 PM
AIZ,Assurant is about to announce earnings — here's what Wall Street expects,8/5/2019 3:03:10 PM
AIZ,Assurant Inc Q1 adjusted earnings Beat Estimates,5/6/2019 11:09:28 PM
AIZ,Assurant is about to announce its earnings — here's what Wall Street expects,5/4/2019 3:01:24 PM
AIZ,Assurant Inc Q4 adjusted earnings Beat Estimates,2/12/2019 10:31:26 PM
AIZ,Here's what to expect from Assurant's earnings,2/10/2019 3:01:47 PM
AIZ,EARNINGS SUMMARY: Details of Assurant Inc Q3 Earnings Report,11/6/2018 10:24:33 PM
AIZ,Assurant is about to announce earnings — here's what Wall Street expects,11/5/2018 3:02:36 PM
AIZ,Assurant Inc Q2 adjusted earnings Beat Estimates,8/7/2018 10:22:13 PM
AIZ,American Bankers Life Assurance Co of Florida -- Moody's downgrades Assurant Inc.'s ratings following completion of its acquisition of The Warranty Group; outlook is stable,6/1/2018 11:06:00 PM
AIZ,Assurant Inc Reports Decline In Q1 Profit,5/3/2018 10:44:29 PM
AIZ,BRIEF-Assurant Says CEO Alan Colberg's 2017 Total Compensation Was $9.3 Mln Versus $7.8 Mln In 2016,3/27/2018 10:52:28 PM
AIZ,Air New Zealand webcast presentation now available for on-demand viewing: dbVIC - Deutsche Bank ADR Virtual Investor Conference,3/26/2018 2:35:00 PM
AIZ,"Assurant, Inc. -- Moody's assigns Assurant Inc.'s shelf ratings, rates senior notes Baa2; on review for downgrade",3/23/2018 4:43:00 AM
AIZ,"Air New Zealand to present at the dbVIC - Deutsche Bank ADR Virtual Investor Conference on March 21, 2018",3/19/2018 1:35:00 PM
AIZ,Assurant Inc Profit Advances In Q4,2/8/2018 10:37:21 PM
AIZ,"Assurant, Inc. -- Moody's continues to review Assurant's ratings for downgrade",1/11/2018 7:42:00 PM
AIZ,"Assurant, Warranty Group Amend Deal Structure - Quick Facts ",1/9/2018 12:53:01 PM
AIZ,BRIEF-Assurant Says Entered $450 Million Senior Unsecured Revolving Credit Facility (AIZ),12/21/2017 11:32:03 PM
AIZ,BRIEF-ASSURANT BOARD OF DIRECTORS APPROVES 6% DIVIDEND INCREASE (AIZ),11/10/2017 5:27:07 PM
AIZ,BRIEF-Assurant Q3 operating loss per share of $1.40 (AIZ),11/2/2017 9:52:03 PM
AIZ,American Bankers Ins. Co. of Florida -- Moody's reviews Assurant's ratings for downgrade following agreement to acquire The Warranty Group Ltd.,10/18/2017 8:36:00 PM
AIZ,BRIEF-Assurant - Expects $287 mln - $293 mln pre-tax catastrophes losses in Q3 2017​ (AIZ),10/10/2017 11:07:25 PM
AIZ,"UPDATE 1-Texas flood damage from Harvey may match Katrina-insurance group (ALL, AIZ)",8/28/2017 4:37:03 AM
AIZ,"Hurricane Harvey could match Katrina in flood damage (ALL, AIZ)",8/27/2017 11:12:10 PM
AIZ,Assurant Inc Reports 2% Rise In Q2 Earnings,8/1/2017 10:23:54 PM
AIZ,"Assurant shares could double-Barron's (AIZ, ALL)",6/25/2017 10:06:05 PM
AIZ,"MOVES-Barclays, Renaissance Capital, HSBC, Sumitomo Mitsui Trust (AIZ, ANZ, SDR, HSBA, FCN, BARC)",5/22/2017 10:36:05 PM
AIZ,Assurant Inc Q1 Profit Climbs 6%,5/2/2017 11:41:01 PM
AIZ,BRIEF-Assurant CEO Alan Colberg's 2016 total compensation $7.8 mln (AIZ),3/24/2017 12:18:50 PM
AIZ,"Insurance Stocks on Investors' Radar -- Aflac, Unum, CNO Financial, and Assurant",3/20/2017 12:55:00 PM
AIZ,BRIEF-Assurant says teaming up with Snoopwall to protect enterprises from data breaches and cyberattacks (AIZ),3/6/2017 2:26:22 PM
AIZ,Assurant Inc Q4 Earnings Decline 52%,2/7/2017 10:24:41 PM
AIZ,"BRIEF-Assurant Inc says now expects to record about $66 million pre-tax of reportable Q4 2016 catastrophe losses, net of reinsurance, or $43 million after-tax (AIZ)",12/30/2016 11:10:05 PM
AIZ,"BRIEF-Assurant, Inc. announces notes tender offer (AIZ)",12/10/2016 6:52:09 PM
AIZ,BRIEF-Assurant increases quarterly dividend to $0.53 per share (AIZ),11/14/2016 4:00:18 PM
AIZ,BRIEF-Assurant Q3 earnings per share $2.37 (AIZ),10/25/2016 10:28:28 PM
AIZ,BRIEF-Assurant says preliminary Q3 2016 consolidated net income in range of $127 mln - $157 mln (AIZ),10/19/2016 9:40:19 AM
