Ticker,Title,Link
CIVI,Truist Financial Sticks to Its Buy Rating for Civitas Resources (CIVI),8/21/2024 11:07:36 AM
CIVI,Civitas Resources (CIVI) Receives a Rating Update from a Top Analyst,8/20/2024 12:35:36 PM
CIVI,Civitas Resources (CIVI) Gets a Buy from Piper Sandler,8/15/2024 10:45:57 AM
CIVI,Seaport Global Remains a Buy on Civitas Resources (CIVI),8/14/2024 12:25:33 PM
CIVI,Civitas Resources (CIVI) Receives a Buy from RBC Capital,8/13/2024 10:46:47 AM
CIVI,Civitas Resources (CIVI) Receives a Rating Update from a Top Analyst,8/8/2024 1:44:11 PM
CIVI,KeyBanc Sticks to Its Buy Rating for Civitas Resources (CIVI),8/5/2024 6:46:05 AM
CIVI,Civitas Resources (CIVI) Gets a Buy from Truist Financial,8/2/2024 11:48:17 AM
CIVI,"Civitas Resources declares $0.50 dividend, $1.02  variable dividend",8/1/2024 8:58:40 PM
CIVI,Civitas Resources Q2 2024 Earnings Preview,7/31/2024 9:35:49 PM
CIVI,Piper Sandler Reaffirms Their Buy Rating on Civitas Resources (CIVI),7/25/2024 10:45:29 AM
CIVI,What Analysts Are Saying About Civitas Resources Stock,7/22/2024 8:00:15 PM
CIVI,Civitas Resources (CIVI) Gets a Buy from Piper Sandler,7/18/2024 10:36:41 AM
CIVI,Civitas Resources (CIVI) Receives a Rating Update from a Top Analyst,7/8/2024 10:46:46 AM
CIVI,High-Yield Rocket Ships: 3 Stocks Combining 7%+ Dividends With 20%+ Upside,7/4/2024 2:00:00 PM
CIVI,Piper Sandler Reaffirms Their Buy Rating on Civitas Resources (CIVI),6/28/2024 10:46:42 AM
CIVI,Analysts Offer Insights on Energy Companies: Civitas Resources (CIVI) and Weatherford International (WFRD),6/24/2024 11:30:23 AM
CIVI,Implied Volatility Surging for Civitas Stock Options,6/17/2024 6:48:53 PM
CIVI,Civitas Resources rated Buy at TD Cowen on attractive free cash flow profile,6/13/2024 5:21:32 PM
CIVI,Civitas Resources (CIVI) Gets a Buy from KeyBanc,6/12/2024 7:45:56 AM
