Ticker,Title,Link
MUR,Hold Rating on Murphy Oil Amid Mixed Financial Outlook and Strategic Shifts,8/23/2024 8:37:13 AM
MUR,Morgan Stanley Sticks to Its Hold Rating for Murphy Oil (MUR),8/19/2024 1:07:38 PM
MUR,Murphy Oil cut at J.P. Morgan on downbeat oil production view,8/15/2024 6:37:11 PM
MUR,Analysts Offer Insights on Energy Companies: Murphy Oil (MUR) and Vital Energy (VTLE),8/13/2024 12:29:54 PM
MUR,Analysts Offer Insights on Energy Companies: Murphy Oil (MUR) and Marathon Oil (MRO),8/12/2024 8:10:24 AM
MUR,Scotiabank Remains a Hold on Murphy Oil (MUR),8/9/2024 12:43:25 PM
MUR,Murphy Oil hosts conference call for investors,8/8/2024 2:45:00 PM
MUR,Murphy Oil Q2 2024 Earnings Preview,8/7/2024 4:35:08 PM
MUR,Analyst Scoreboard: 4 Ratings For Murphy Oil,7/18/2024 2:08:11 PM
MUR,Murphy Oil seeks to start Côte d’Ivoire drilling a year from now,6/25/2024 1:15:49 AM
MUR,Maintaining Hold on Murphy Oil Amid Exploration Updates and Cash Flow Shifts,6/24/2024 1:25:20 AM
MUR,Barclays Keeps Their Hold Rating on Murphy Oil (MUR),6/21/2024 8:35:13 AM
MUR,Murphy Oil (MUR) Receives a Rating Update from a Top Analyst,6/17/2024 11:55:33 AM
MUR,Piper Sandler Sticks to Its Buy Rating for Murphy Oil (MUR),5/14/2024 11:19:47 AM
MUR,Murphy Oil: Stronger Free Cash Flow and Strategic Initiatives Justify Buy Rating,5/8/2024 8:16:32 AM
MUR,Barclays Sticks to Its Hold Rating for Murphy Oil (MUR),5/6/2024 8:36:51 AM
MUR,Scotiabank Remains a Hold on Murphy Oil (MUR),5/3/2024 11:43:34 AM
MUR,"MUR Stock Earnings: Murphy Oil Beats EPS, Beats Revenue for Q1 2024",5/2/2024 2:55:59 PM
MUR,Murphy Oil Q1 2024 Earnings Preview,5/1/2024 3:55:06 PM
MUR,Murphy Oil (MUR) Receives a New Rating from a Top Analyst,4/29/2024 11:51:52 AM
MUR,Murphy Oil (MUR) Gets a Buy from Piper Sandler,4/26/2024 11:46:39 AM
MUR,Murphy Oil (MUR) Gets a Hold from Barclays,4/24/2024 8:47:04 AM
MUR,Piper Sandler Keeps Their Buy Rating on Murphy Oil (MUR),4/19/2024 11:26:24 AM
MUR,Murphy Oil (MUR) Gets a Hold from Wells Fargo,4/15/2024 1:36:13 AM
MUR,Deep Dive Into Murphy Oil Stock: Analyst Perspectives (7 Ratings),4/10/2024 8:01:06 PM
MUR,The 7 Most Undervalued Russell 2000 Stocks to Buy in April 2024,4/5/2024 8:30:00 PM
MUR,Murphy Oil declares $0.30 dividend,4/3/2024 2:05:36 PM
MUR,Analyst Expectations For Murphy Oil's Future,3/21/2024 3:00:53 PM
MUR,The 3 Most Undervalued Russell 2000 Stocks to Buy in March 2024,3/11/2024 10:53:25 PM
MUR,Piper Sandler Sticks to Its Buy Rating for Murphy Oil (MUR),3/7/2024 12:36:53 PM
MUR,Scotiabank Keeps Their Buy Rating on Murphy Oil (MUR),3/1/2024 12:26:31 PM
MUR,7 Oversold Russell 2000 Stocks to Add to Your February Buy List,2/25/2024 11:30:00 AM
MUR,These 3 Energy Stocks Delivering High-Dividend Yields Are Recommended By Wall Street's Most Accurate Analysts,2/12/2024 2:36:54 PM
MUR,Murphy Oil Corp Announces New President and COO,2/8/2024 10:02:53 AM
MUR,Murphy Oil appoints Eric Hambly as president and chief operating officer,2/7/2024 10:01:53 PM
MUR,"Analysts Are Bullish on Top Energy Stocks: Murphy Oil (MUR), Alliance Resource (ARLP)",1/30/2024 12:20:47 PM
MUR,Assessing Murphy Oil: Insights From 6 Financial Analysts,1/29/2024 7:00:55 PM
MUR,Murphy Oil (MUR) Gets a Buy from Scotiabank,1/26/2024 12:16:45 PM
MUR,Maintaining Hold on Murphy Oil: A Balanced View of Performance and Prospects,1/25/2024 3:47:34 PM
MUR,Murphy Oil Q4 2023 Earnings Preview,1/24/2024 5:46:01 PM
MUR,Hold Rating on Murphy Oil: Balancing Debt Reduction with Shareholder Returns Amid Exploration Setbacks and Steady Production Outlook,1/22/2024 8:22:57 PM
