Ticker,Title,Link
NFG,Analysts Offer Insights on Energy Companies: Cactus (WHD) and National Fuel Gas Company (NFG),8/1/2024 12:29:34 PM
NFG,National Fuel Reports Third Quarter Fiscal 2024 Earnings and Announces Preliminary Guidance for Fiscal 2025,7/31/2024 10:45:47 PM
NFG,Notable earnings after Wednesday's close,7/30/2024 9:35:44 PM
NFG,Should You Invest in the First Trust Utilities AlphaDEX ETF?,7/15/2024 10:01:11 PM
NFG,National Fuel Schedules Third Quarter Fiscal 2024 Earnings Conference Call,7/11/2024 8:41:21 PM
NFG,National Fuel Gas' Board Approves 4% Dividend Hike,6/14/2024 7:48:27 PM
NFG,National Fuel Increases Dividend Rate for 54th Consecutive Year,6/13/2024 3:27:29 PM
NFG,"New York power grid faces shortfalls as new clean energy supply lags, NYISO says",6/6/2024 11:20:44 PM
NFG,"Analysts Offer Insights on Energy Companies: APA (APA), National Fuel Gas Company (NFG) and Vermilion Energy (VET)",5/2/2024 1:40:22 PM
NFG,National Fuel Reports Second Quarter Earnings,5/1/2024 10:45:29 PM
NFG,National Fuel Gas earnings: here's what Wall Street expects,4/30/2024 3:01:13 PM
NFG,National Fuel Schedules Second Quarter Fiscal 2024 Earnings Conference Call,4/17/2024 4:30:13 PM
NFG,"Analysts Offer Insights on Energy Companies: Equinor ASA (GB:0M2Z), National Fuel Gas Company (NFG) and Schneider Electric (GB:0NWV)",4/10/2024 9:06:37 AM
NFG,National Fuel Reports Preliminary Voting Results from the Annual Meeting of Stockholders,3/11/2024 11:55:26 AM
NFG,"Analysts Offer Insights on Energy Companies: Conocophillips (COP), National Fuel Gas Company (NFG) and ARC Resources (OtherAETUF)",2/12/2024 12:12:06 PM
NFG,3 Growth Stocks to Buy at an All-Time Low in February (or 52-Week Low),2/9/2024 12:00:00 PM
NFG,National Fuel Gas Co. hosts conference call for investors,2/8/2024 2:45:00 PM
NFG,National Fuel Reports First Quarter Earnings,2/7/2024 10:45:43 PM
NFG,National Fuel Gas is about to announce its earnings — here's what Wall Street expects,2/6/2024 3:01:13 PM
NFG,National Fuel Schedules First Quarter Fiscal 2024 Earnings Conference Call,1/17/2024 6:02:03 PM
NFG,Seneca Resources Achieves Peer-Leading “A” Grade under Equitable Origin’s EO100™ Standard for 100% of Appalachian Natural Gas Production,1/10/2024 10:15:45 PM
NFG,National Fuel Declares Quarterly Dividend,12/7/2023 5:21:12 PM
NFG,Analysts Offer Insights on Utilities Companies: National Fuel Gas Company (NFG) and Sunrun (RUN),11/3/2023 8:51:02 AM
NFG,"Analysts Conflicted on These Utilities Names: Nisource (NI), Entergy (ETR) and National Fuel Gas Company (NFG)",11/2/2023 5:22:11 PM
NFG,National Fuel Reports Fourth Quarter and Full Year Fiscal 2023 Earnings,11/1/2023 9:45:47 PM
NFG,National Fuel Gas is about to announce its earnings — here's what to expect,10/31/2023 3:01:13 PM
NFG,New Found Gold Corp. Announces C$56 Million Bought Deal Financing,10/30/2023 9:47:56 PM
NFG,National Fuel Gas Midstream Company Achieves Certification under the Equitable Origin Standard,10/18/2023 10:15:14 PM
NFG,National Fuel Schedules Fourth Quarter Fiscal 2023 Earnings Conference Call,10/12/2023 4:30:46 PM
NFG,National Fuel Declares Quarterly Dividend,9/14/2023 5:00:55 PM
NFG,"National Fuel Releases its 2022 Corporate Responsibility Report Highlighting Safe, Reliable, Affordable and Sustainable Operations",9/11/2023 4:44:03 PM
NFG,National Fuel Gas Q3 Profit Down ,8/3/2023 5:48:04 AM
NFG,"National Fuel Gas Non-GAAP EPS of $1.01 beats by $0.09, revenue of $428.7M misses by $81.9M",8/2/2023 8:51:55 PM
NFG,National Fuel Gas Q3 2023 Earnings Preview,8/1/2023 9:35:46 PM
NFG,"Pre-market Movers: HCTI, CVKD, SILK, ELOX, PRFX… ",7/12/2023 1:50:10 PM
NFG,J.P. Morgan Remains a Hold on National Fuel Gas Company (NFG),7/10/2023 12:15:17 PM
NFG,National Fuel Gas declares $0.475 dividend,6/15/2023 1:00:37 PM
