Ticker,Title,Link
EPRT,Equity REITs see a fall in proceeds from at-the-market programs during Q2 - report,8/28/2024 3:04:05 PM
EPRT,Wells Fargo Sticks to Their Buy Rating for Essential Properties Realty (EPRT),8/26/2024 10:47:13 AM
EPRT,REITs keep reducing NAV discount amid an impending rally,8/12/2024 6:38:37 PM
EPRT,Analysts Offer Insights on Real Estate Companies: Phillips Edison & Company (PECO) and Essential Properties Realty (EPRT),7/26/2024 12:35:39 PM
EPRT,"Analysts Are Neutral on Top Real Estate Stocks: Essential Properties Realty (EPRT), Pebblebrook Hotel (PEB)",7/25/2024 11:35:33 AM
EPRT,Buy Rating Affirmed for Essential Properties Realty on Record Acquisition Growth and Strong Recovery Rates,7/24/2024 11:55:19 PM
EPRT,Notable earnings after Wednesday's close,7/23/2024 9:35:48 PM
EPRT,"6 REITs reportedly raise dividend in June, Innovative Industrial Properties logs largest increase",7/22/2024 4:47:47 PM
EPRT,Real estate stocks gain as traders look for alternatives to tech stocks,7/20/2024 4:00:06 PM
EPRT,Critical Insights From Essential Props Realty Analyst Ratings: What You Need To Know,7/18/2024 9:00:25 PM
EPRT,Analysts Offer Insights on Real Estate Companies: Essential Properties Realty (EPRT) and Prologis (PLD),7/17/2024 3:52:09 PM
EPRT,REITs continue to reduce NAV discount amid increased rate cut hopes,7/3/2024 6:34:41 PM
EPRT,Expert Outlook: Essential Props Realty Through The Eyes Of 4 Analysts,6/28/2024 3:00:41 PM
EPRT,"Dividend Roundup: Nvidia, Alphabet, Verizon, Philip Morris, and more",6/7/2024 11:47:40 AM
EPRT,Essential Properties increases dividend by ~2% to $0.29,6/3/2024 9:03:51 PM
EPRT,Cannabis REITs come out on top in screening REITs with SA Quant rating,6/2/2024 8:14:00 PM
EPRT,The Analyst Landscape: 6 Takes On Essential Props Realty,5/29/2024 5:01:31 PM
EPRT,REITs said to have returned more capital to investors in Q1,5/25/2024 4:00:00 PM
EPRT,Analysts Offer Insights on Real Estate Companies: VICI Properties (VICI) and Essential Properties Realty (EPRT),5/20/2024 6:20:16 AM
EPRT,3 Future Breakout Stocks That Wall Street Is Already Loving,5/17/2024 1:25:00 PM
EPRT,Expert Ratings For Essential Props Realty,5/10/2024 2:00:54 PM
EPRT,"19 REITs estimated to increase dividend in Q2, says report",5/8/2024 7:13:06 PM
EPRT,"Analysts Offer Insights on Real Estate Companies: Invitation Homes (INVH), Extra Space Storage (EXR) and Essential Properties Realty (EPRT)",5/1/2024 7:45:37 AM
EPRT,"Real estate stocks finish in green as analysts turn positive, earnings surprise to upside",4/27/2024 4:00:55 PM
EPRT,Essential Properties Realty: A Strong Buy on Record-Setting Performance and Strategic Growth,4/26/2024 6:21:19 AM
EPRT,Analysts Offer Insights on Real Estate Companies: Choice Properties Real Estate Investment (OtherPPRQF) and Essential Properties Realty (EPRT),4/25/2024 11:30:52 AM
EPRT,Essential Properties Realty Earns ‘Buy’ Rating with Strong Financials and Expansion Potential,4/24/2024 10:45:39 PM
EPRT,Essential Properties Q1 2024 Earnings Preview,4/23/2024 9:35:11 PM
EPRT,Real estate stocks continue on downward trajectory as market's April pullback intensifies,4/20/2024 4:00:59 PM
EPRT,Essential Properties Realty Trust Inc Registered Shs hosts conference call for investors,4/17/2024 2:45:00 PM
EPRT,Stifel Nicolaus Sticks to Its Buy Rating for Essential Properties Realty (EPRT),4/11/2024 2:05:13 AM
EPRT,"American Homes 4 Rent, Essential Properties score upgrades in Citi's 'Final Four'",3/22/2024 2:55:12 PM
EPRT,"Analysts Offer Insights on Real Estate Companies: HASI (HASI), Ladder Capital (LADR) and Essential Properties Realty (EPRT)",3/13/2024 10:41:42 AM
EPRT,Essential Properties Realty Trust prices upsized secondary stock offering at $24.75 a share,3/12/2024 8:47:25 AM
EPRT,Essential Properties declares $0.285 dividend,3/7/2024 10:18:55 PM
EPRT,"Analysts Conflicted on These Real Estate Names: Essential Properties Realty (EPRT), Ventas (VTR) and Equinix (EQIX)",2/15/2024 12:21:13 PM
EPRT,"Essential Properties FFO of $0.42 misses by $0.02, revenue of $97.73M beats by $3.26M",2/14/2024 9:18:35 PM
EPRT,Notable earnings after Wednesday's close,2/13/2024 10:35:43 PM
EPRT,Why Super Micro Computer Shares Are Trading Higher By Over 12%; Here Are 20 Stocks Moving Premarket,1/19/2024 2:13:23 PM
EPRT,5 Analysts Have This To Say About Essential Props Realty,1/8/2024 7:00:32 PM
EPRT,"5 Top Real Estate Stocks to Buy Now, According to Analysts – January 2024",1/5/2024 11:58:14 AM
EPRT,Jim Cramer Says Move On From This Energy Stock: 'It's Moved Too Much',1/3/2024 3:00:40 PM
EPRT,What 4 Analyst Ratings Have To Say About Essential Props Realty,11/29/2023 4:00:38 PM
EPRT,Truist Financial Remains a Buy on Essential Properties Realty (EPRT),11/28/2023 2:25:18 AM
EPRT,Real Estate Rut: 3 REITs With Major Growth Potential,11/13/2023 9:21:14 PM
