Ticker,Title,Link
SPR,"Catalyst Watch: Nvidia's blockbuster earnings, CrowdStrike on the hot seat, and PCE inflation watch",8/23/2024 7:00:15 PM
SPR,KeyBanc Reaffirms Their Hold Rating on Spirit AeroSystems (SPR),8/21/2024 6:15:27 AM
SPR,Analysts’ Opinions Are Mixed on These Industrial Goods Stocks: Comfortdelgro (OtherCDGLF) and Spirit AeroSystems (SPR),8/20/2024 10:53:44 AM
SPR,Spirit AeroSystems CEO Shanahan to get $28.5M 'golden parachute',8/13/2024 3:44:25 PM
SPR,Medical journal retracts three articles related to MDMA for PTSD,8/12/2024 3:50:21 PM
SPR,"Analysts Offer Insights on Industrial Goods Companies: Universal Technical Institute (UTI), Spirit AeroSystems (SPR) and Caterpillar (CAT)",8/7/2024 12:22:42 PM
SPR,"Global oil demand growth seen slowing from China's economic woes, EIA says",8/6/2024 11:25:58 PM
SPR,"Spirit AeroSystems Non-GAAP EPS of -$2.73 misses by $1.87, revenue of $1.5B misses by $60M",8/5/2024 8:36:21 PM
SPR,Notable earnings after Monday's close,8/4/2024 9:35:27 PM
SPR,"Catalyst Watch: Disney earnings, Costco sales update, MicroStrategy split, and eyes on AI patents",8/2/2024 7:00:00 PM
SPR,3 Stocks Reeling From Ruined Reputations: Can They Recover?,7/25/2024 7:19:00 PM
SPR,Teledyne Technologies Surpasses Q2 Earnings Estimates,7/24/2024 8:06:19 PM
SPR,3 Aerospace Stocks to Buy Amid the Aviation-Safety Boom,7/19/2024 2:53:42 PM
SPR,WTI futures backwardation grows to eight-month high in sign of tight supply,7/18/2024 11:05:11 PM
SPR,This Qualcomm Analyst Is No Longer Bullish; Here Are Top 5 Downgrades For Wednesday,7/17/2024 3:39:25 PM
SPR,Spirit AeroSystems: Hold Rating Affirmed Amid Boeing Acquisition Deal and Valuation Considerations,7/12/2024 8:45:21 AM
SPR,The 3 Most Undervalued Defense Stocks to Buy in July 2024,7/10/2024 5:17:07 PM
SPR,3 Urban Air Mobility Stocks Ready for Liftoff,7/9/2024 3:00:00 PM
SPR,3 Industrial Stocks to Sell in July Before They Crash & Burn,7/4/2024 11:08:00 AM
SPR,"Boeing Set For Improved Deliveries And Production Rates, Goldman Sachs Analyst Says",7/3/2024 7:59:19 PM
SPR,Boeing Set to Buy Back Spirit AeroSystems for $8.3B,7/2/2024 10:13:00 PM
SPR,XELA Stock Alert: Exela Announces Spinoff of BPA Company,7/1/2024 2:34:04 PM
SPR,"Aerospace Industry Faces More Downgrades, But Recovery Expected, Says Analyst",6/25/2024 7:52:46 PM
SPR,Downgraded but Not Defeated: 3 Stocks to Buy Against the Tide,6/24/2024 10:00:00 AM
SPR,CDK Cyberattack Update: Car Dealerships Continue to Struggle as Shutdowns Continue,6/21/2024 4:39:50 PM
SPR,Spirit AeroSystems gains after report it's nearing deal with Boeing,6/20/2024 9:42:43 PM
SPR,Spirit AeroSystems CFO Mark Suchinski To Step Down ,6/5/2024 12:59:32 PM
SPR,Bank of America Just Raised Its Price Target on Robinhood (HOOD) Stock,5/17/2024 2:29:00 PM
SPR,Optimistic Outlook for Spirit AeroSystems: Strengthening Production and Financial Recovery Justify Buy Rating,5/13/2024 9:45:39 AM
SPR,"ZIM Integrated sails to top industrial gainer of week, Builders FirstSource sees loser tag",5/11/2024 4:35:17 PM
SPR,Spirit AeroSystems: Hold Rating Due to Limited Financial Visibility and Production Uncertainties,5/10/2024 10:25:14 PM
SPR,Spirit AeroSystems (SPR) Receives a Rating Update from a Top Analyst,5/8/2024 10:39:38 AM
SPR,"Spirit AeroSystems slips as liquidity, inventory troubles mount",5/7/2024 7:23:56 PM
SPR,Spirit AeroSystems Q1 2024 Earnings Preview,5/6/2024 3:51:42 PM
SPR,"U.S., Saudi Arabia are said to be close to signing defense treaty",5/1/2024 5:13:30 PM
SPR,"Spirit AeroSystems, Airbus are said to prepare talks on supplier’s future",4/30/2024 7:18:44 PM
SPR,"Bullish Boeing Analyst Says 'Didn't Expect Things To Start Falling Apart In Midair:' 'If They Get It Right, It's An Incredible Opportunity'",4/25/2024 2:35:12 PM
SPR,Spirit AeroSystems gains after Boeing CEO says deal not being delayed,4/24/2024 1:27:05 PM
SPR,Spirit AeroSystems (SPR) Receives a Buy from Barclays,4/15/2024 8:26:45 AM
SPR,"Boeing, Airbus are said to explore way to split Spirit AeroSystems",4/4/2024 4:16:35 PM
SPR,"Boeing, Spirit had hoped to announce deal as soon as this week - WSJ",3/27/2024 1:22:12 PM
SPR,Spirit AeroSystems gains after Boeing CEO says he hopes a deal is reached soon,3/25/2024 1:05:15 PM
SPR,"Airbus may buy some Spirit AeroSystems assets, CFO says",3/24/2024 11:00:00 AM
SPR,Time to Load Up? 3 Stocks Sinking to New 52-Week Lows,3/21/2024 10:20:00 AM
