Ticker,Title,Link
LBRT,Liberty Oilfield Services (LBRT) Receives a Buy from Barclays,7/23/2024 7:26:55 AM
LBRT,"Analysts Offer Insights on Energy Companies: TC Energy (TRP), Liberty Oilfield Services (LBRT) and Marathon Oil (MRO)",7/22/2024 12:14:13 PM
LBRT,"Analysts Offer Insights on Energy Companies: Liberty Oilfield Services (LBRT), Martin Midstream (MMLP) and Viper Energy (VNOM)",7/19/2024 12:20:29 PM
LBRT,Seaport Global Reaffirms Their Hold Rating on Liberty Oilfield Services (LBRT),7/18/2024 12:46:25 PM
LBRT,"Liberty Energy Non-GAAP EPS of $0.61 in-line, revenue of $1.2B beats by $40M",7/17/2024 8:50:36 PM
LBRT,Notable earnings after Wednesday's close,7/16/2024 9:35:59 PM
LBRT,Cracking The Code: Understanding Analyst Reviews For Liberty Energy,7/15/2024 2:02:26 PM
LBRT,Barclays Sticks to Their Buy Rating for Liberty Oilfield Services (LBRT),7/9/2024 9:33:58 AM
LBRT,Maintaining Buy Rating on Liberty Oilfield Services Amidst Near-Term Challenges and Long-Term Optimism,6/14/2024 9:36:03 AM
LBRT,Energy stocks sink as OPEC+ plans to begin phasing out voluntary cuts this year,6/3/2024 4:20:38 PM
LBRT,Liberty Energy raised to Buy at Citi on frac market upside,5/29/2024 7:39:17 PM
LBRT,Wells Fargo Keeps Their Buy Rating on Liberty Oilfield Services (LBRT),4/29/2024 10:48:19 AM
LBRT,"Analysts Conflicted on These Energy Names: AltaGas (OtherATGFF), Liberty Oilfield Services (LBRT) and Sunoco (SUN)",4/23/2024 12:10:25 PM
LBRT,Analyst Ratings For Liberty Energy,4/19/2024 5:00:28 PM
LBRT,Analysts Offer Insights on Energy Companies: Liberty Oilfield Services (LBRT) and Kinder Morgan (KMI),4/18/2024 11:40:25 AM
LBRT,"Liberty Energy GAAP EPS of $0.48 misses by $0.06, revenue of $1.1B beats by $20M",4/17/2024 8:34:50 PM
LBRT,Notable earnings after Wednesday's close,4/16/2024 9:35:55 PM
LBRT,Liberty Oilfield Services (LBRT) Receives a Buy from RBC Capital,4/14/2024 6:36:17 AM
LBRT,Wells Fargo Remains a Buy on Liberty Oilfield Services (LBRT),4/11/2024 9:34:28 AM
LBRT,"Crude oil pushes higher on global tensions, signs of strong U.S. gasoline demand",4/3/2024 10:50:29 PM
LBRT,Liberty Energy praises appeals court stay of SEC climate rule,3/20/2024 2:25:17 PM
LBRT,Commodity Roundup: Drone strikes on Russian refineries keep oil supported; gold down,3/14/2024 10:12:45 AM
LBRT,"FTK, PBF among major energy gainers; LBRT major loser",3/13/2024 6:53:31 PM
LBRT,"Jim Cramer Says This Real Estate Stock Is 'Done Going Down, That's A Gutsy Call By Me'",2/7/2024 3:27:51 PM
LBRT,"HP, LBRT among major energy gainers; BORR, WFRD among major losers",1/30/2024 7:09:15 PM
LBRT,Critical Insights From Liberty Energy Analyst Ratings: What You Need To Know,1/29/2024 6:00:45 PM
LBRT,Energy stocks score best week since March as oil prices ride Middle East tensions,1/27/2024 12:30:32 AM
LBRT,"Analysts’ Top Energy Picks: Liberty Oilfield Services (LBRT), Obsidian Energy (OBE)",1/26/2024 12:05:11 PM
LBRT,Hold Rating on Liberty Oilfield Services Amid EBITDA and Industry Outlook,1/25/2024 9:37:15 PM
LBRT,"Liberty Oilfield Services GAAP EPS of $0.54 misses by $0.04, revenue of $1.07B misses by $10M",1/24/2024 9:41:33 PM
LBRT,Liberty Oilfield Services Q4 2023 Earnings Preview,1/23/2024 10:35:48 PM
LBRT,RBC Capital Keeps Their Buy Rating on Liberty Oilfield Services (LBRT),1/16/2024 1:57:03 AM
LBRT,Next-Gen Wealth: 7 Stocks to Catapult You to Millionaire Status,1/9/2024 6:01:46 PM
LBRT,Maintaining Buy Rating on Liberty Oilfield Services with Positive Free Cash Flow Outlook,12/21/2023 10:57:00 AM
LBRT,Analyst Expectations for Liberty Energy's Future,12/14/2023 9:00:21 PM
LBRT,RBC Capital Reaffirms Their Buy Rating on Liberty Oilfield Services (LBRT),11/21/2023 1:46:17 AM
LBRT,"Analysts Offer Insights on NA Companies: Nexa Resources SA (NEXA), Liberty Oilfield Services (LBRT) and PrairieSky Royalty (OtherPREKF)",10/24/2023 12:30:30 PM
LBRT,Analyst Ratings for Liberty Energy,10/20/2023 7:00:30 PM
LBRT,Liberty Oilfield Services Inc Registered Shs hosts conference call for investors,10/18/2023 2:45:00 PM
LBRT,What Wall Street expects from Liberty Oilfield Services's earnings,10/17/2023 3:01:13 PM
LBRT,Liberty Oilfield Services (LBRT) Receives a Rating Update from a Top Analyst,10/14/2023 1:47:16 AM
LBRT,Wells Fargo Sticks to Its Buy Rating for Liberty Oilfield Services (LBRT),10/3/2023 10:36:21 AM
LBRT,7 Analysts Have This to Say About Liberty Energy,9/19/2023 5:00:59 PM
LBRT,"Indonesia Energy, Liberty Energy among major energy gainers; Teekay Tankers in losers",9/5/2023 6:05:52 PM
LBRT,"Blackstone and Airbnb Set to Join S&P 500; Others to Join S&P 100, S&P MidCap 400 and S&P SmallCap 600",9/2/2023 12:51:00 AM
LBRT,The 7 Most Undervalued Stocks Under $20 to Buy Now: August 2023,8/24/2023 11:13:30 PM
LBRT,Liberty Oilfield Services (LBRT) Receives a Rating Update from a Top Analyst,8/22/2023 1:45:15 AM
LBRT,"Catalyst Watch: Eyes On Walmart, Cisco, FOMC minutes and 13F filings",8/11/2023 7:00:30 PM
LBRT,"28th Annual EnerCom Denver - The Energy Investment Conference Set to be held August 13-16, 2023 in Denver, Colorado",8/8/2023 7:24:00 PM
LBRT,Diamondback Energy CEO sees declining oilfield service prices on lower drilling,8/1/2023 6:59:35 PM
LBRT,"Energy Transition and Emerging Technology Companies are Set to Present at the 28th Annual EnerCom Denver - The Energy Investment Conference, to be held August 13-16, 2023, in Denver, Colorado",7/27/2023 8:16:00 PM
LBRT,RBC Capital Keeps Their Buy Rating on Liberty Oilfield Services (LBRT),7/25/2023 1:46:53 AM
LBRT,Goldman Sachs Reaffirms Their Hold Rating on Liberty Oilfield Services (LBRT),7/24/2023 1:55:09 PM
LBRT,Liberty Oilfield Services (LBRT) Receives a Buy from Piper Sandler,7/21/2023 11:25:31 AM
LBRT,"Analysts Conflicted on These NA Names: Whitecap Resources (OtherSPGYF), Baker Hughes Company (BKR) and Liberty Oilfield Services (LBRT)",7/20/2023 10:06:04 AM
LBRT,"Liberty Oilfield Services GAAP EPS of $0.87 misses by $0.05, revenue of $1.19B misses by $90M",7/19/2023 8:34:22 PM
LBRT,Liberty Oilfield Services Q2 2023 Earnings Preview,7/18/2023 9:35:58 PM
