Ticker,Title,Link
CACC,"U.S. consumers, lenders become more 'credit cautious' in July: VantageScore",8/27/2024 7:09:25 PM
CACC,Credit Acceptance Named One of PEOPLE Magazine’s 100 Companies that Care for Third Consecutive Year,8/22/2024 10:02:00 PM
CACC,"RIOT, CLSK, MARA top week's biggest financial losers amid bitcoin selloff",8/3/2024 2:04:00 PM
CACC,Sell Rating on Credit Acceptance Amid Forecasting Concerns and Questionable Origination Strategy,8/1/2024 5:15:31 AM
CACC,Credit Acceptance Announces Second Quarter 2024 Results ,7/31/2024 10:02:00 PM
CACC,Here's what to expect from Credit Acceptance's earnings report,7/30/2024 3:01:13 PM
CACC,Credit Acceptance Announces Timing of Second Quarter 2024 Results and Webcast ,7/26/2024 10:02:00 PM
CACC,Credit Acceptance Named One of the Best Workplaces for Millennials by Fortune,7/22/2024 10:02:00 PM
CACC,Car Repos Jump In The First Half Of 2024 As Fed Eyes Rate Cuts,7/16/2024 10:47:02 PM
CACC,Credit Acceptance Named a Top Workplace in Financial Services ,7/15/2024 10:02:00 PM
CACC,Credit Acceptance Named a Most Loved Workplace® in 2024 in Several Categories,6/26/2024 10:02:00 PM
CACC,Credit Acceptance Announces Increase and Extension of Asset-Backed Financing,6/21/2024 10:35:00 PM
CACC,Credit Acceptance Announces Completion of $550.0 Million Asset-Backed Financing,6/20/2024 10:02:00 PM
CACC,Credit Acceptance Announces Extension of Revolving Secured Line of Credit Facility ,6/17/2024 10:02:00 PM
CACC,Auto Loan Demand Aids Credit Acceptance Amid Cost Woes,6/6/2024 6:28:29 PM
CACC,Robinhood posts biggest weekly gain among financial stocks; Burford retreats,5/18/2024 2:28:00 PM
CACC,Credit Acceptance Corp Faces Sell Rating Amid Legal Woes and Regulatory Risks,5/17/2024 2:35:31 AM
CACC,"CACC Stock Earnings: Credit Acceptance Beats EPS, Beats Revenue for Q1 2024",5/1/2024 12:57:50 AM
CACC,Credit Acceptance Announces First Quarter 2024 Results ,4/30/2024 10:01:00 PM
CACC,Credit Acceptance Q1 2024 Earnings Preview,4/29/2024 9:35:46 PM
CACC,Credit Acceptance Announces Timing of First Quarter 2024 Earnings Release and Webcast ,4/23/2024 10:02:00 PM
CACC,"Coinbase, FirstCash, AssetMark post gains in otherwise ugly week for financial stocks",4/13/2024 2:27:00 PM
CACC,Credit Acceptance Celebrates 10th Year on Fortune's 100 Best Companies to Work For® List,4/4/2024 10:05:00 PM
CACC,Credit Acceptance Announces Completion of $500.0 Million Asset-Backed Financing ,3/28/2024 9:02:00 PM
CACC,Credit Acceptance Named 2024 Top Workplaces USA Award Winner,3/20/2024 9:02:00 PM
CACC,Credit Acceptance Announces Completion of $200.0 Million Asset-Backed Financing ,2/27/2024 10:02:00 PM
CACC,Credit Acceptance Announces Extension of $100.0 Million Asset-Backed Financing,2/16/2024 10:02:00 PM
CACC,Why C.H. Robinson Shares Are Trading Lower By Over 12%? Here Are Other Stocks Moving In Thursday's Mid-Day Session,2/1/2024 7:17:45 PM
CACC,Credit Acceptance Announces Fourth Quarter and Full Year 2023 Results,1/31/2024 10:02:00 PM
CACC,Notable earnings after Wednesday's close,1/30/2024 10:35:49 PM
CACC,Credit Acceptance Promotes Jay Martin to Chief Financial Officer,1/25/2024 10:01:00 PM
CACC,Credit Acceptance Announces Timing of Fourth Quarter 2023 Earnings Release and Webcast,1/24/2024 10:02:00 PM
CACC,Credit Acceptance Announces  Extension of Revolving Secured Warehouse Facility ,12/29/2023 10:02:00 PM
CACC,Credit Acceptance Announces Completion of $294.0 Million Asset-Backed Financing ,12/21/2023 10:02:00 PM
CACC,Credit Acceptance Announces Closing of $600.0 Million Senior Notes Offering and Completion of Tender Offer for Senior Notes Due 2024,12/19/2023 10:02:00 PM
CACC,"Credit Acceptance Corporation Announces Expiration and Results of Tender Offer For Any and All of Its $400,000,000 Aggregate Principal Amount of 5.125% Senior Notes Due 2024",12/15/2023 2:30:00 PM
CACC,Credit Acceptance Announces Pricing of $600.0 Million Senior Notes Offering,12/6/2023 12:15:00 AM
CACC,Credit Acceptance Announces $500.0 Million Senior Notes Offering,12/5/2023 2:19:00 PM
CACC,Credit Acceptance Announces Completion of $200.0 Million Asset-Backed Financing ,11/30/2023 10:22:00 PM
CACC,Credit Acceptance Named a 2024 Best Place to Work in IT by Computerworld,11/28/2023 10:02:00 PM
CACC,Credit Acceptance Named a 2023 Top Workplace in Michigan by the Detroit Free Press ,11/20/2023 10:02:00 PM
CACC,Contrarian Investor? Get Ready to Profit With These 3 Short-Squeeze Stocks,11/7/2023 11:52:50 PM
CACC,Hold Rating on CACC Due to Lowered Forecasts and High Credit Provisions: An Analysis by James Fotheringham,10/31/2023 11:16:03 AM
CACC,Credit Acceptance Elects Sean Quinn to its Board of Directors,10/30/2023 9:01:00 PM
CACC,What Wall Street expects from Credit Acceptance's earnings,10/29/2023 3:01:13 PM
CACC,Credit Acceptance Again Named One of the Best Workplaces for Women™ by Fortune,10/24/2023 10:02:00 PM
CACC,Credit Acceptance Announces Timing of Third Quarter 2023 Earnings Release and Webcast,10/23/2023 10:02:00 PM
CACC,Credit Acceptance Announces Extension of Revolving Secured Warehouse Facility ,9/21/2023 10:02:00 PM
CACC,Credit Acceptance Named One of the Fortune 2023 Best Workplaces in Financial Services & Insurance™,9/12/2023 10:02:00 PM
CACC,Credit Acceptance Announces Completion of $400.0 Million Asset-Backed Financing,8/24/2023 10:02:00 PM
