Ticker,Title,Link
FCPT,JMP Securities Remains a Hold on Four Corners Property (FCPT),8/28/2024 4:55:47 AM
FCPT,Four Corners Property Trust acquires 19 Bloomin' Brands properties for $66.4M,8/27/2024 5:57:32 AM
FCPT,Wells Fargo Sticks to Its Buy Rating for Four Corners Property (FCPT),8/12/2024 11:19:28 AM
FCPT,Analysts Offer Insights on Real Estate Companies: Ventas (VTR) and Four Corners Property (FCPT),8/5/2024 7:44:57 AM
FCPT,"Analysts Conflicted on These Real Estate Names: Four Corners Property (FCPT), Healthcare Realty Trust (HR) and Diamondrock (DRH)",8/2/2024 12:52:24 PM
FCPT,"FCPT Stock Earnings: Four Corners Property Meets EPS, Beats Revenue for Q2 2024",8/1/2024 2:54:18 AM
FCPT,"Four Corners Property Trust GAAP EPS of $0.27 in-line, revenue of $66.48M beats by $1.6M",7/31/2024 8:41:28 PM
FCPT,Four Corners Property Trust Q2 2024 Earnings Preview,7/30/2024 4:25:19 PM
FCPT,Four Corners Property Trust acquires Taco Bell property for $1.7M,7/29/2024 5:24:12 AM
FCPT,Hold Rating on Four Corners Property Trust: Fully Priced Valuation Amidst Restaurant Sector Risks and Strengths,7/8/2024 7:55:22 AM
FCPT,7 Must-Buy REITs for Stability-Seeking Income Investors,6/27/2024 2:30:00 PM
FCPT,Four Corners Property Trust declares $0.345 dividend,6/11/2024 4:43:13 AM
FCPT,Four Corners Property Trust acquires a MercyOne outpatient clinic property for $3M,6/7/2024 8:31:10 PM
FCPT,Four Corners Property Trust announces acquisition of BluePearl Pet Hospital property for $1.9M,5/31/2024 8:12:06 PM
FCPT,"EOG Resources, Inc. declares $0.91 dividend",5/2/2024 8:56:48 PM
FCPT,"Four Corners Property Trust NAREIT FFO of $0.41 beats by $0.01, revenue of $66.47M beats by $1.03M",5/1/2024 9:09:21 PM
FCPT,Four Corners Property Trust Q1 2024 Earnings Preview,4/30/2024 9:35:19 PM
FCPT,Four Corners Property Trust declares $0.345 dividend,3/11/2024 8:10:53 PM
