Ticker,Title,Link
FRME,Piper Sandler Reaffirms Their Buy Rating on First Merchants (FRME),8/28/2024 12:18:34 PM
FRME,"Old Second Bancorp, Inc. and First Merchants Corporation Announce Transaction Involving Chicagoland Branch Operations",8/27/2024 2:41:19 PM
FRME,First Merchants Corporation Announces Cash Dividend,8/19/2024 2:00:02 PM
FRME,KBW Remains a Buy on First Merchants (FRME),7/26/2024 5:37:44 AM
FRME,"FRME Stock Earnings: First Merchants Misses EPS, Misses Revenue for Q2 2024",7/25/2024 4:52:59 PM
FRME,Here's what to expect from First Merchants's earnings report,7/24/2024 3:01:13 PM
FRME,First Merchants Corporation Announces Cash Dividend on Its Preferred Stock,7/15/2024 9:00:30 PM
FRME,"First Merchants Corporation to Report Second Quarter 2024 Financial Results, Host Conference Call and Webcast",7/3/2024 4:00:40 PM
FRME,6 Regional Banks' Ratings on Review for Downgrade by Moody's,6/7/2024 9:40:43 PM
FRME,"Analysts Offer Insights on Financial Companies: M&T Bank (MTB), First Merchants (FRME) and Commerce Bancshares (CBSH)",5/9/2024 5:30:40 AM
FRME,First Merchants Corporation Announces Retirement of Board Chair Charles E. Schalliol and Appointment of New Board Chair Jean L. Wojtowicz,5/8/2024 4:00:06 PM
FRME,Piper Sandler Reaffirms Their Buy Rating on First Merchants (FRME),4/29/2024 10:59:55 AM
FRME,KBW Remains a Buy on First Merchants (FRME),4/26/2024 5:30:45 AM
FRME,"FRME Stock Earnings: First Merchants Beats EPS, Misses Revenue for Q1 2024",4/25/2024 4:53:30 PM
FRME,What Wall Street expects from First Merchants's earnings,4/24/2024 3:01:13 PM
FRME,First Merchants Corporation Announces Cash Dividend on Its Preferred Stock,4/15/2024 9:00:22 PM
FRME,"First Merchants Corporation to Report First Quarter 2024 Financial Results, Host Conference Call and Webcast",4/4/2024 4:00:18 PM
FRME,First Merchants Corp. Unveils 2024 Executive Incentive Program,2/9/2024 9:32:08 AM
FRME,First Merchants Corp. Declares Cash Dividend for Shareholders,2/8/2024 9:20:53 AM
FRME,First Merchants Corporation Announces Cash Dividend,2/7/2024 4:00:13 PM
FRME,First Merchants (FRME) Receives a Buy from Piper Sandler,1/29/2024 1:43:43 PM
FRME,KBW Reaffirms Their Buy Rating on First Merchants (FRME),1/26/2024 6:47:31 AM
FRME,First Merchants CorpShs hosts conference call for investors,1/25/2024 2:45:00 PM
FRME,First Merchants earnings preview: what to expect,1/24/2024 3:01:13 PM
FRME,"First Merchants Bank Announces Plans to Expand in Detroit, Bringing Financial Services to Fitzgerald",1/23/2024 2:15:00 PM
FRME,First Merchants Corporation Announces Cash Dividend on Its Preferred Stock,1/18/2024 9:00:27 PM
FRME,"First Merchants Corporation to Report Fourth Quarter 2023 Financial Results, Host Conference Call and Webcast",1/4/2024 4:00:03 PM
FRME,First Merchants Corporation Announces Cash Dividend,11/13/2023 4:00:00 PM
FRME,Piper Sandler Sticks to Their Buy Rating for First Merchants (FRME),10/30/2023 10:55:40 AM
FRME,First Merchants Corporation Announces Third Quarter 2023 Earnings Per Share,10/26/2023 2:00:51 PM
FRME,Here's what Wall Street expects from First Merchants's earnings,10/25/2023 3:01:13 PM
FRME,First Merchants Corporation Announces Cash Dividend On Its Preferred Stock,10/20/2023 9:00:06 PM
FRME,"First Merchants Corporation to Report Third Quarter 2023 Financial Results, Host Conference Call and Webcast",10/5/2023 4:00:15 PM
FRME,First Merchants declares $0.34 dividend,8/9/2023 2:02:32 PM
FRME,"First Merchants Non-GAAP EPS of $1.02 in-line, revenue of $164.15M misses by $8.81M",7/25/2023 12:37:35 PM
FRME,What Wall Street expects from First Merchants's earnings,7/24/2023 3:01:13 PM
FRME,First Merchants raises dividend by 6% to $0.34,5/10/2023 9:39:43 PM
FRME,What 4 Analyst Ratings Have To Say About First Merchants,4/26/2023 11:02:07 PM
FRME,"First Merchants Non-GAAP EPS of $1.07, revenue of $169.11M",4/25/2023 2:58:26 PM
FRME,Here's what Wall Street expects from First Merchants's earnings,4/24/2023 3:01:13 PM
FRME,"Benzinga's Top Ratings Upgrades, Downgrades For February 21, 2023",2/21/2023 4:00:57 PM
FRME,First Merchants declares $0.32 dividend,2/8/2023 3:15:49 PM
FRME,Raymond James Reaffirms Their Buy Rating on First Merchants (FRME),1/30/2023 4:25:33 PM
FRME,"First Merchants Non-GAAP EPS of $1.19 beats by $0.03, revenue of $173.11M misses by $5.97M",1/26/2023 1:06:40 PM
FRME,Here's what Wall Street expects from First Merchants's earnings,1/25/2023 3:01:13 PM
FRME,First Merchants declares $0.32 dividend,11/9/2022 4:07:31 PM
FRME,First Merchants Corporation Announces Third Quarter 2022 Earnings Per Share,10/25/2022 2:00:45 PM
FRME,Here's what Wall Street expects from First Merchants's earnings report,10/24/2022 3:01:13 PM
FRME,First Merchants Corporation Announces Cash Dividend On Its Preferred Stock,10/20/2022 4:00:10 PM
FRME,"First Merchants Corporation to Report Third Quarter 2022 Financial Results, Host Conference Call and Webcast",10/4/2022 4:00:11 PM
FRME,First Merchants Corporation Announces Cash Dividend,8/10/2022 4:00:17 PM
FRME,First Merchants Corporation Announces Second Quarter 2022 Earnings per Share,7/26/2022 2:00:38 PM
FRME,First Merchants Corporation Announces Cash Dividend on Its Preferred Stock,7/20/2022 4:00:12 PM
FRME,"Benzinga's Top Ratings Upgrades, Downgrades For July 7, 2022",7/7/2022 4:04:41 PM
FRME,"First Merchants Corporation to Report Second Quarter 2022 Financial Results, Host Conference Call and Webcast",7/5/2022 4:00:12 PM
FRME,First Merchants Corporation Elects Kevin D. Johnson and Jason R. Sondhi to Its Boards of Directors,6/23/2022 3:25:08 PM
FRME,First Merchants Corporation Elects Patrick Fehring to Its Board of Directors,5/11/2022 8:00:58 PM
FRME,First Merchants Corporation Announces Cash Dividend,5/10/2022 9:00:17 PM
FRME,First Merchants Corporation Announces First Quarter 2022 Earnings Per Share,4/26/2022 2:00:32 PM
FRME,First Merchants is about to announce its earnings — here's what Wall Street expects,4/25/2022 3:01:13 PM
FRME,First Merchants Corporation Announces Cash Dividend on Its Preferred Stock,4/20/2022 6:30:19 PM
FRME,"REVISED: First Merchants Corporation to Report First Quarter 2022 Financial Results, Host Conference Call and Webcast",4/13/2022 6:00:39 PM
FRME,"First Merchants Corporation to Report First Quarter 2022 Financial Results, Host Conference Call and Webcast",4/5/2022 4:00:07 PM
FRME,First Merchants Corp. Completes Legal Closing of Level One Bancorp Merger,4/1/2022 2:00:24 PM
