Ticker,Title,Link
EQC,"Equity Commonwealth gains as company plans to wind down, liquidate",7/31/2024 6:30:15 PM
EQC,"Equity Commonwealth FFO of $0.24 misses by $0.02, revenue of $14.12M",7/30/2024 8:43:10 PM
EQC,Notable earnings after Tuesday's close,7/29/2024 9:35:49 PM
EQC,Equity Commonwealth urged by Indaba to stop looking for big acquisition,7/22/2024 8:12:46 PM
EQC,Equity Commonwealth Cum Conv Pfd Shs Series D declares $0.4063 dividend,7/16/2024 8:19:50 PM
EQC,Commercial property mid-year outlook: ‘cracks are forming beneath the surface’,6/22/2024 8:26:00 PM
EQC,Equity Commonwealth OKs $150M share buyback,6/18/2024 10:09:06 PM
EQC,EQC Stock Earnings: Equity Commonwealth Beats Revenue for Q1 2024,5/2/2024 1:54:54 AM
EQC,Equity Commonwealth Q1 Earnings Preview,4/30/2024 9:35:20 PM
EQC,Equity Commonwealth Cum Conv Pfd Shs Series D declares $0.4063 dividend,4/16/2024 8:27:38 PM
EQC,Activist Land & Buildings pushing Equity Commonwealth to return cash to holders - WSJ,3/13/2024 1:37:24 AM
EQC,"Equity Commonwealth FFO of $0.26 in-line, revenue of $15.15M",2/12/2024 9:20:22 PM
EQC,Notable earnings after Monday's close,2/10/2024 10:35:58 PM
EQC,"With HSBC's Canary Wharf exit, commercial real estate meltdown expected to drag on",8/7/2023 12:33:05 PM
EQC,"Equity Commonwealth GAAP EPS of $0.12, revenue of $14.59M",7/26/2023 9:05:32 PM
EQC,Notable earnings after Wednesday's close,7/25/2023 9:35:43 PM
EQC,Equity Commonwealth adopts new $150M stock buyback program,6/13/2023 8:47:38 PM
EQC,"Banks may be pressured by weakening commercial property market, Yellen warns",6/8/2023 8:12:24 AM
EQC,"Equity Commonwealth FFO of $0.23 beats by $0.02, revenue of $15.58M beats by $0.57M",5/3/2023 9:39:39 PM
EQC,Equity Commonwealth Q1 Earnings Preview,5/2/2023 9:35:41 PM
EQC,Equity Commonwealth declares $4.25 dividend,2/13/2023 10:41:46 PM
EQC,Equity Commonwealth reports Q4 results,2/8/2023 9:40:07 PM
EQC,Notable earnings after Wednesday's close,2/7/2023 10:35:00 PM
EQC,"Equity Commonwealth FFO of $0.13 beats by $0.10, revenue of $15.13M misses by $0.51M",10/25/2022 8:30:57 PM
EQC,Notable earnings after Tuesday's close,10/24/2022 9:35:44 PM
EQC,Equity Commonwealth declares $1.00 dividend,9/8/2022 8:14:56 PM
EQC,"Equity Commonwealth Q2 FFO, revenue up Y/Y",8/1/2022 8:47:02 PM
EQC,Notable earnings after Monday's close,7/31/2022 9:35:52 PM
EQC,"Real Estate slumps 21% in H1 2022, mortgage rates expected to be 5.5% at the end of 2022",7/4/2022 9:39:04 PM
EQC,Canada credit card spending surged 17.5% in Q1: Equifax report,6/2/2022 4:57:33 PM
EQC,"Equity Commonwealth FFO of $0.03 beats by $0.03, revenue of $16.69M beats by $2.52M",5/4/2022 8:24:45 PM
