Ticker,Title,Link
JBGS,REITs keep reducing NAV discount amid an impending rally,8/12/2024 6:38:37 PM
JBGS,Evercore ISI Keeps Their Sell Rating on JBG Smith Properties (JBGS),7/31/2024 1:38:39 PM
JBGS,"JBG SMITH Properties FFO of $0.18 misses by $0.06, revenue of $135.32M beats by $23.65M",7/30/2024 8:51:01 PM
JBGS,Here's what Wall Street expects from JBG SMITH Properties Registered's earnings,7/29/2024 3:01:13 PM
JBGS,JBG SMITH Properties declares $0.175 dividend,7/24/2024 8:54:09 PM
JBGS,REITs continue to reduce NAV discount amid increased rate cut hopes,7/3/2024 6:34:41 PM
JBGS,7 REITs to Buy Now: June 2024,6/20/2024 11:30:00 AM
JBGS,JBG Smith Properties: A Strategic Shift Amidst Challenges Warrants a Hold Rating,5/16/2024 10:07:50 AM
JBGS,Maintaining a Hold: Balancing JBG Smith Properties’ Resilience and Operational Challenges,5/1/2024 2:55:16 AM
JBGS,"JBG SMITH Properties FFO of $0.29 in-line, revenue of $145.18M beats by $26.91M",4/30/2024 9:08:55 PM
JBGS,Notable earnings after Tuesday's close,4/29/2024 9:35:36 PM
JBGS,JBG SMITH Properties declares $0.175 dividend,4/25/2024 8:44:15 PM
JBGS,Office REITs post drop in Q4 occupancy,3/25/2024 6:20:26 PM
JBGS,"JBG SMITH Properties FFO of $0.38 beats by $0.09, revenue of $147.6M beats by $26.9M",2/20/2024 9:44:09 PM
JBGS,Notable earnings after Tuesday's close,2/19/2024 10:35:09 PM
JBGS,JBG SMITH Properties lowers dividend by 22.2% to $0.175,2/14/2024 9:55:44 PM
JBGS,"Alexandria Real Estate, Highwoods Properties get Buy ratings from Deutsche",1/30/2024 5:26:33 PM
JBGS,Hold Rating on JBG Smith Properties: An Analysis of Q3 Performance and Future Risks,11/7/2023 11:35:42 PM
JBGS,REITs decline as rate hike concerns weigh on sentiments,8/19/2023 4:00:12 PM
JBGS,"Benzinga's Top Ratings Upgrades, Downgrades For August 17, 2023",8/17/2023 5:00:32 PM
JBGS,JBG SMITH Properties downgraded to Underperform at Evercore,8/16/2023 9:00:50 PM
JBGS,BMO Capital Remains a Hold on JBG Smith Properties (JBGS),8/9/2023 1:55:07 AM
JBGS,"JBG SMITH Properties FFO of $0.36 beats by $0.06, revenue of $152.1M",8/8/2023 8:49:26 PM
JBGS,Notable earnings after Tuesday's close,8/7/2023 9:35:53 PM
JBGS,JBG SMITH Properties declares $0.225 dividend,8/3/2023 9:22:12 PM
JBGS,"Office REIT stocks dip, led by SL Green, as vacancy rates rise, Fed poised to hike",6/28/2023 7:53:28 PM
JBGS,"Banks may be pressured by weakening commercial property market, Yellen warns",6/8/2023 8:12:24 AM
JBGS,"REITs finish week in red as earnings season ends, broader markets also hit",5/13/2023 4:00:00 PM
JBGS,"JBG SMITH Properties FFO of $0.29 beats by $0.01, revenue of $152.96M",5/9/2023 9:25:54 PM
JBGS,JBG SMITH Properties Q1 Earnings Preview,5/8/2023 9:35:32 PM
JBGS,JBG SMITH Properties declares $0.225 dividend,5/4/2023 9:46:50 PM
JBGS,"Equity REITs plunge, office subsector continues to be major laggard",3/11/2023 5:00:00 PM
JBGS,REITs finish week in green as major indices gain,3/4/2023 5:00:00 PM
JBGS,What Does Amazon Have To Do With JBG SMITH Properties Stock Fall?,3/3/2023 6:00:06 PM
JBGS,BMO Capital Keeps Their Hold Rating on JBG Smith Properties (JBGS),2/21/2023 11:55:36 PM
JBGS,Notable earnings after Tuesday's close,2/20/2023 10:35:17 PM
JBGS,"Self storage, residential drive REIT returns higher this week",2/4/2023 5:00:00 PM
JBGS,Equity REIT returns see steepest decline in 2022 since financial crisis,12/31/2022 5:00:00 PM
JBGS,JBG SMITH Properties declares $0.225 dividend,12/15/2022 9:19:19 PM
JBGS,BMO Capital Remains a Hold on JBG Smith Properties (JBGS),11/1/2022 11:35:06 PM
JBGS,JBG SMITH Properties declares $0.225 dividend,10/25/2022 8:24:21 PM
JBGS,From A to Z: All The REITs Hitting New 52-Week Lows This Week,10/14/2022 5:12:32 PM
JBGS,JBG Smith Properties said to be pitched as long idea at Robin Hood investors conf,10/11/2022 2:44:27 PM
JBGS,3 Hidden Gem Stock Picks to Beat the September Market Slump,9/14/2022 10:00:48 AM
JBGS,Commercial real estate saw healthy demand in Q2,9/3/2022 3:00:00 PM
JBGS,JBG SMITH Properties goes ex-dividend tomorrow,8/10/2022 2:32:10 PM
JBGS,"JBG SMITH Properties Q2 FFO, revenue down Y/Y",8/2/2022 9:54:09 PM
JBGS,JBG SMITH Properties Q2 2022 Earnings Preview,8/1/2022 9:35:38 PM
JBGS,"JBG SMITH closes additional $344M in capital recycling, expands share repurchase by $500M",6/6/2022 1:10:31 PM
JBGS,"Benzinga's Top Ratings Upgrades, Downgrades For May 31, 2022",5/31/2022 4:02:51 PM
JBGS,"Benzinga's Top Ratings Upgrades, Downgrades For May 23, 2022",5/23/2022 4:33:42 PM
JBGS,"JBG SMITH Properties Core FFO of $0.34 misses by $0.02, revenue of $161.97M beats by $27.74M",5/3/2022 8:45:20 PM
JBGS,Notable earnings after Tuesday's close,5/2/2022 9:35:56 PM
JBGS,JBG SMITH Properties declares $0.225 dividend,4/29/2022 8:21:02 PM
JBGS,"JBG SMITH Properties GAAP EPS of -$0.45, Core FFO of $0.31, revenue of $157.41M",2/22/2022 9:57:00 PM
JBGS,JBG SMITH Properties Registered earnings: here's what Wall Street expects,2/21/2022 3:01:13 PM
JBGS,Will office demand rebound in 2022 after finishing 2021 on strong note?,1/16/2022 3:24:02 PM
JBGS,JBG SMITH Properties declares $0.225 dividend,12/10/2021 1:10:35 PM
JBGS,Office REIT stocks suffer biggest drop since April as return to office hopes dim,11/26/2021 5:01:20 PM
JBGS,"JBG SMITH Properties Core FFO misses by $0.02, beats on revenue",11/2/2021 8:56:51 PM
JBGS,Here's what Wall Street expects from JBG SMITH Properties Registered's earnings,11/1/2021 3:01:13 PM
JBGS,Office REIT stocks make headway after Google $2.1B office deal reported,9/21/2021 5:25:46 PM
JBGS,Companies' return-to-office plans snarled by public transportation - WSJ,9/14/2021 6:17:37 PM
JBGS,"Office REIT stocks perk up even as Wells Fargo, BlackRock delay return to office",8/5/2021 3:37:59 PM
JBGS,What Wall Street expects from JBG SMITH Properties Registered's earnings,8/1/2021 3:01:51 PM
JBGS,AT&T and JBG SMITH Unveil Plans to Make National Landing the United States' First 5G Smart City at Scale,7/20/2021 2:00:00 PM
JBGS,"Benzinga's Top Ratings Upgrades, Downgrades For July 12, 2021",7/12/2021 4:03:00 PM
