Ticker,Title,Link
VGR,Vector Group To Be Bought By Japan's JT Group In $2.4 Bln Deal; Stock Up In Pre-market ,8/21/2024 12:34:17 PM
VGR,Vector declares $0.20 dividend,8/20/2024 8:02:05 PM
VGR,Barclays Remains a Buy on Vector Group (VGR),8/14/2024 6:25:55 AM
VGR,Vector Group (VGR) Receives a Buy from Oppenheimer,8/2/2024 12:37:19 PM
VGR,"VGR Stock Earnings: Vector Group Beats EPS, Beats Revenue for Q2 2024",8/1/2024 1:53:46 AM
VGR,"Vector Non-GAAP EPS of $0.34, revenue of $371.9M",7/31/2024 9:38:52 PM
VGR,7 Dividend Stock Dynamos to Upgrade Your Income Game,6/26/2024 10:00:00 AM
VGR,The tobacco sector is viewed cautiously by Seeking Alpha subscribers,6/25/2024 2:06:41 PM
VGR,3 Overlooked Tobacco Stocks Quietly Making Investors Rich,6/20/2024 9:13:07 PM
VGR,"WHO says tobacco industry targeting young people, especially with vaping products",5/23/2024 6:05:51 PM
VGR,Spicing Things Up: 3 Sin Stocks for the Adventurous Investor,5/22/2024 10:00:00 AM
VGR,Vector declares $0.20 dividend,5/16/2024 4:16:32 PM
VGR,Kellanova and Herbalife among Consumer Staples movers,5/2/2024 3:13:26 PM
VGR,"Vector Non-GAAP EPS of $0.24 misses by $0.01, revenue of $324.6M misses by $8.7M",5/1/2024 8:42:17 PM
VGR,Vector Q1 2024 Earnings Preview,4/30/2024 9:35:45 PM
VGR,Wall Street’s Favorite Dividend Stocks? 7 Tickers That Are Practically Money Machines,3/19/2024 10:30:00 AM
VGR,Oregon House passes bill to end hard drug decriminalization,3/1/2024 11:42:16 AM
VGR,Vector declares $0.20 dividend,2/15/2024 5:44:00 PM
VGR,SHOT and BOF among Consumer Staples movers,2/14/2024 4:38:22 PM
VGR,"Vector Non-GAAP EPS of $0.36 beats by $0.04, revenue of $360.35M beats by $2.75M",2/13/2024 9:40:07 PM
VGR,Notable earnings after Tuesday's close,2/12/2024 10:35:43 PM
VGR,Vector Group: Prioritizing Investor Satisfaction with Steady Earnings Performance,12/15/2023 4:05:35 PM
VGR,Vector Group earnings: here's what Wall Street expects,10/31/2023 3:01:13 PM
VGR,3 Tempting Sin Stocks for the Adventurous Investor,9/18/2023 11:17:57 AM
VGR,Vector declares $0.20 dividend,8/22/2023 3:05:07 PM
VGR,Top 5 Defensive Stocks Which Could Rescue Your Portfolio This Quarter,8/15/2023 2:03:30 PM
VGR,"Vector Non-GAAP EPS of $0.32, revenue of $365.7M",8/3/2023 9:06:56 PM
VGR,Vector declares $0.20 dividend,6/9/2023 8:04:02 PM
VGR,Why Vector Group Shares Are Tumbling Today,5/9/2023 7:09:49 PM
VGR,"Vector Non-GAAP EPS of $0.22 misses by $0.04, revenue of $334.15M in-line",5/8/2023 9:17:29 PM
VGR,Vector declares $0.20 dividend,3/6/2023 10:31:35 PM
VGR,"Vector Non-GAAP EPS of $0.31 beats by $0.08, revenue of $363.8M beats by $28.5M",2/15/2023 9:41:12 PM
VGR,Vector Q4 2022 Earnings Preview,2/14/2023 10:35:57 PM
VGR,The 7 Most Undervalued Long-Term Stocks to Buy in January,1/14/2023 9:03:39 PM
VGR,Congresswoman Virginia Foxx Recently Traded These 3 Stocks,1/6/2023 12:42:12 PM
VGR,"Vector Non-GAAP EPS of $0.24 misses by $0.03, revenue of $378M beats by $68.9M",11/1/2022 8:54:11 PM
VGR,Vector Q3 2022 Earnings Preview,10/31/2022 9:35:48 PM
VGR,FDA says more than 2.5M U.S. middle & high school students use e-cigarettes,10/6/2022 8:21:47 PM
VGR,Vector declares $0.20 dividend,8/22/2022 8:32:16 PM
VGR,Vector slides 6% after Q2 bottom line misses estimates,8/5/2022 5:04:49 PM
VGR,"Vector Non-GAAP EPS of $0.25 misses by $0.10, revenue of $387.2M beats by $49.5M",8/4/2022 9:26:35 PM
VGR,FDA conducting evaluation of tobacco division amid 'increasing number of novel products',7/19/2022 9:44:18 PM
VGR,7 Dividend Stocks to Avoid Despite Their Juicy Yields,6/20/2022 10:15:03 AM
VGR,Vector declares $0.20 dividend,6/6/2022 7:27:11 PM
VGR,7 ETFs With Dividends to Fight Any Market Downturns,5/29/2022 10:35:23 AM
VGR,Vector Group's stock falls 15% after first earnings miss post Douglas Elliman spin-off,5/10/2022 4:30:56 PM
VGR,27 Recession-Resistant Stocks To Look At Now,5/9/2022 7:26:47 PM
VGR,Notable earnings after Monday's close,5/8/2022 9:35:08 PM
VGR,53 Biggest Movers From Yesterday,4/1/2022 10:18:47 AM
VGR,"VTNR, MF and SABS among mid-day movers",3/31/2022 4:49:12 PM
VGR,Insider Weekends: ICONIQ Adds To Its Stake In Construction Management Software Company Procore Technologies + Notable Insider Trades,3/21/2022 6:39:28 PM
VGR,Vector declares $0.20 dividend,3/9/2022 1:14:04 PM
VGR,"Vector Non-GAAP EPS of $0.26 misses by $0.17, revenue of $313.67M misses by $298.53M",3/1/2022 9:41:15 PM
VGR,Vector Q4 2021 Earnings Preview,2/28/2022 10:35:46 PM
VGR,7 High-Yield Dividend Stocks That Can More Than Cover Their Dividend Payments,2/10/2022 4:09:57 PM
VGR,Vector Group rallies after Oppenheimer tips on M&A potential,1/21/2022 1:37:51 PM
VGR,"Jim Cramer Gives His Opinion On DuPont, Commercial Vehicle Group And More",1/20/2022 3:23:14 PM
