Ticker,Title,Link
UAA,Under Armour (UAA) Gets a Buy from Argus Research,8/15/2024 11:48:02 AM
UAA,"Lululemon (LULU): Investors Are Fearful, but They Miss the Point",8/13/2024 2:41:39 PM
UAA,Evercore ISI Keeps Their Sell Rating on Under Armour (UAA),8/9/2024 1:53:09 PM
UAA,Under Armour’s Strong Performance and Promising Outlook Justify Buy Rating,8/8/2024 9:46:23 PM
UAA,Under Armour Q1 2025 Earnings Preview,8/7/2024 4:24:46 PM
UAA,"Earnings week ahead: Disney, Duke Energy, Palantir, Shopify, Uber and more",8/4/2024 12:00:00 PM
UAA,Under Armour (UAA) Gets a Hold from Seaport Global,8/2/2024 1:06:48 PM
UAA,Forecasting The Future: 12 Analyst Projections For Under Armour,7/23/2024 8:01:08 PM
UAA,"Stocks Hold Steady, Small Caps Rise, French Equities Slip After Surprise Win By Left-Wing Bloc: What's Driving Markets Monday?",7/8/2024 7:36:11 PM
UAA,Buy Rating Affirmed for Under Armour: A Recovery Play with Attractive Valuation Post-Settlement,6/24/2024 9:35:22 AM
UAA,"Catalyst Watch: Nike earnings, Datadog event, Norfolk Southern decision, and an oil field-crypto IPO",6/21/2024 7:00:42 PM
UAA,Under Armour Renews Partnership With University Of Marylnad For 12 More Years ,6/17/2024 5:26:11 PM
UAA,USA Football And Under Armour In Multi-Year Brand Deal Through 2028 Summer Olympics ,6/11/2024 3:31:42 PM
UAA,The Analyst Anxiety Index: 3 Stocks to Avoid as Uncertainty Grows,5/24/2024 10:13:00 AM
UAA,"Under Armour's Turnaround May Take Time; Investors Should Wait For 'Clearer Signals,' Says Analyst",5/23/2024 6:25:51 PM
UAA,Buy the Dip: 3 Stocks Ready to Rebound for Big Returns,5/21/2024 8:30:00 PM
UAA,"Analysts Are Neutral on These Consumer Cyclical Stocks: Under Armour (UAA), Hermes International (HESAF)",5/20/2024 6:20:06 AM
UAA,Under Armour Is Lagging Behind Peers Like Nike & Lululemon! Analyst Explains Why,5/17/2024 6:41:09 PM
UAA,Analyst Ratings For Under Armour,5/16/2024 9:00:59 PM
UAA,Under Armour Q4 2024 Earnings Preview,5/15/2024 5:22:52 PM
UAA,"Catalyst Watch: Retail heavyweights Walmart and Home Depot report, OpenAI vs. Google, and EV tariff drama",5/10/2024 7:00:11 PM
UAA,Seaport Global Reaffirms Their Hold Rating on Under Armour (UAA),5/7/2024 12:56:48 PM
UAA,Key Takeaways From Under Armour Analyst Ratings,4/25/2024 5:01:06 PM
UAA,"Analysts Conflicted on These Consumer Cyclical Names: Las Vegas Sands (LVS), Monarch Casino & Resort (MCRI) and Under Armour (UAA)",4/18/2024 11:40:44 AM
UAA,Nike and Lululemon rattle the athletic apparel sector with bombshell earnings reports,3/22/2024 2:28:15 PM
UAA,Nike edges higher after strategic pricing actions boost results,3/21/2024 8:37:55 PM
UAA,Finding the Next Big Winners: 7 Stocks You Can Snag for Under $10,3/20/2024 1:44:13 PM
UAA,Under Armour: Navigating Leadership Uncertainty and Strategic Direction Post-Leadership Shuffle,3/15/2024 5:37:15 AM
UAA,"Under Armour's Frequent Executive Changes Is Making Investors Anxious, Says Analyst",3/14/2024 6:45:22 PM
UAA,The 3 Most Undervalued Athleisure Stocks to Buy in March 2024,3/13/2024 8:37:06 PM
UAA,"Analysts Have Conflicting Sentiments on These Consumer Cyclical Companies: Under Armour (UAA), TripAdvisor (TRIP) and Restaurant Brands International (QSR)",2/13/2024 10:19:13 AM
UAA,"Analysts Are Neutral on Top Consumer Cyclical Stocks: Reynolds Consumer Products (REYN), Under Armour (UAA)",2/9/2024 12:10:43 PM
UAA,Under Armour Hold Rating Affirmed Amid North American Sales Challenges and Cautious Fiscal Outlook,2/8/2024 10:25:22 PM
UAA,Under Armour Q4 2024 Earnings Preview,2/7/2024 4:57:17 PM
UAA,Analysts Conflicted on These Consumer Cyclical Names: Aptiv (APTV) and Under Armour (UAA),2/5/2024 1:20:49 PM
UAA,"Earnings week ahead: Alibaba, PepsiCo, Disney, Palantir, McDonalds, Ford and more",2/4/2024 1:45:00 PM
UAA,Under Armour Hold Rating Maintained Amid Mixed Earnings and Sales Outlook,2/2/2024 12:17:11 PM
UAA,Amer Sports begins trading with a valuation of close to $6.6B,2/1/2024 6:06:10 PM
UAA,Buy Rating for Under Armour: Strategic Brand Positioning and Growth Potential,1/31/2024 11:45:25 AM
UAA,J.P. Morgan Sticks to Their Hold Rating for Under Armour (UAA),1/16/2024 1:05:08 PM
UAA,"Nike Posts Downbeat Sales, Joins NetEase And Other Big Stocks Moving Lower In Friday's Pre-Market Session",12/22/2023 11:54:20 AM
UAA,"ZimVie Agrees To Sell Its Spine Business, Joins United States Steel, PGT Innovations And Other Big Stocks Moving Higher On Monday",12/18/2023 4:57:14 PM
