Ticker,Title,Link
EFC,Ellington Financial lowers book value per share estimate in July,8/28/2024 8:46:48 PM
EFC,Ellington Financial Garners Buy Rating on Strong Performance and Strategic Acquisition Prospects,8/9/2024 12:55:09 PM
EFC,3 High-Yield Stocks With Yields Over 10% to Buy Today,8/8/2024 10:52:00 AM
EFC,Ellington Financial declares $0.13 dividend,8/7/2024 8:35:21 PM
EFC,Ellington Financial earnings preview: what Wall Street is expecting,8/5/2024 3:01:13 PM
EFC,Buy Rating on Ellington Financial: Strong Q2 Performance and Attractive Dividend Prospects,7/31/2024 3:15:34 PM
EFC,JMP Securities Reaffirms Their Buy Rating on Ellington Financial (EFC),7/24/2024 7:16:04 AM
EFC,Ellington Financial declares $0.13 dividend,7/8/2024 8:29:30 PM
EFC,Ellington Financial estimates slight decrease in May book value per share,6/26/2024 8:46:44 PM
EFC,"Analysts Are Bullish on Top Real Estate Stocks: Ventas (VTR), Ellington Financial (EFC)",6/17/2024 10:33:52 AM
EFC,Ellington Financial declares $0.13 dividend,6/10/2024 8:20:48 PM
EFC,Ellington Financial estimates its book value per share rose 1.2% in April,5/29/2024 8:41:14 PM
EFC,"Analysts Conflicted on These Real Estate Names: Alexander & Baldwin (ALEX), American Tower (AMT) and Ellington Financial (EFC)",5/20/2024 10:31:22 AM
EFC,Buy Rating Affirmed for Ellington Financial Amid Positive Earnings and Dividend Outlook,5/9/2024 5:05:57 PM
EFC,"EFC Stock Earnings: Ellington Financial Misses EPS, Misses Revenue for Q1 2024",5/8/2024 1:53:35 AM
EFC,Ellington Financial declares $0.13 dividend,5/7/2024 8:56:57 PM
EFC,Ellington Financial Q1 2024 Earnings Preview,5/6/2024 9:35:36 PM
EFC,What Analysts Are Saying About Ellington Financial Stock,4/19/2024 6:01:10 PM
EFC,Ellington Financial declares $0.13 dividend,4/9/2024 4:55:27 AM
EFC,Ellington Financial reports an estimated book value per share of $13.66 as of February,3/28/2024 6:17:34 AM
EFC,Ellington Financial closes on $208M securitization backed by reverse mortgages,3/25/2024 8:31:15 PM
EFC,Ellington Financial Inc. 8.625% RT PFD C declares $0.5391 dividend,3/8/2024 1:12:07 PM
EFC,Ellington Financial announces estimated book value per common share of common stock of $13.73 as of Jan 31,3/7/2024 9:30:34 PM
EFC,"Analysts’ Opinions Are Mixed on These Real Estate Stocks: Ready Capital (RC), Service Properties (SVC) and Ellington Financial (EFC)",2/29/2024 1:11:34 PM
EFC,CONMED Corporation declares $0.20 dividend,2/27/2024 9:41:46 PM
EFC,Notable earnings after Monday's close,2/25/2024 10:35:04 PM
EFC,Ellington Financial Q4 2023 Earnings Preview,2/23/2024 10:35:21 PM
EFC,Ellington Financial (EFC) Receives a Buy from KBW,2/8/2024 6:36:17 AM
EFC,Ellington Financial declares $0.15 dividend,2/7/2024 10:26:38 PM
EFC,Top 2 Financial Stocks That Are Preparing To Pump This Quarter,1/12/2024 1:03:58 PM
EFC,Income on Autopilot: 7 Monthly Dividend Stocks to Buy for Stability,1/8/2024 7:10:12 PM
EFC,BTIG Remains a Buy on Ellington Financial (EFC),1/2/2024 2:20:30 PM
EFC,Hidden High-Yielders: 3 Lesser-Known Stocks With Attractive Dividends,12/26/2023 4:23:49 PM
EFC,7 Growth Stocks That Also Pay Monthly Dividends: December 2023,12/21/2023 12:00:00 PM
EFC,Arlington Asset Investment Corp. Announces Intention to Delist Notes from the NYSE,12/13/2023 2:00:00 PM
EFC,Arlington Asset Investment Corp. Shareholders Approve Merger with Ellington Financial Inc.,12/12/2023 10:30:00 PM
EFC,"Jim Cramer Likes This Industrial Stock 'Even Up Here,' As For ImmunityBio? 'It's Risky'",12/4/2023 2:45:14 PM
EFC,Positive Outlook for Ellington Financial: Buy Rating Upheld Amid Promising Dividend Coverage and Strategic Acquisition,11/10/2023 8:26:07 PM
EFC,Ellington Financial earnings: here's what Wall Street expects,11/7/2023 3:01:13 PM
EFC,Piper Sandler Keeps Their Buy Rating on Ellington Financial (EFC),10/23/2023 11:15:24 AM
EFC,"Ellington Financial, Great Ajax Announce Mutual Termination Of Merger Agreement ",10/20/2023 11:05:13 PM
EFC,These 13%-Plus-Yielding Stocks Pay Large Monthly Dividends; Analysts Say ‘Buy’,10/1/2023 11:25:42 PM
EFC,Ellington Financial 6.250% Series B Preferred stock declares $0.3906 dividend,9/7/2023 8:43:22 PM
EFC,Ellington Financial goes ex-dividend tomorrow,8/29/2023 2:42:19 PM
EFC,Ellington Financial lowers book value per share estimate in July,8/24/2023 10:00:40 PM
EFC,Maxim Group Sticks to Their Buy Rating for Ellington Financial (EFC),8/10/2023 11:25:26 AM
EFC,Bank of America Securities Reaffirms Their Hold Rating on Ellington Financial (EFC),8/8/2023 4:05:41 PM
EFC,Ellington Financial Adjusted Distributable Earnings of $0.38,8/7/2023 8:39:05 PM
EFC,Ellington Financial earnings: here's what to expect,8/6/2023 3:01:13 PM
EFC,Ellington Financial raises monthly dividend by 33.3% to  $0.20/share,8/3/2023 9:28:47 PM
EFC,Ellington Financial (EFC) Receives a Buy from Maxim Group,7/25/2023 3:05:08 PM
EFC,Ellington Financial reports Q2 book value per share,7/24/2023 11:16:21 AM
EFC,What 5 Analyst Ratings Have To Say About Ellington Financial,7/13/2023 10:00:21 PM
EFC,Ellington Financial declares $0.15 dividend,7/10/2023 9:02:37 PM
EFC,Ellington Financial Buys Two Mortgage REITs Within Two Months,7/6/2023 10:22:47 PM
EFC,3 Monthly Dividend Stocks to Buy in July for a Passive Income Stream,7/4/2023 11:48:32 AM
EFC,Why Great Ajax Shares Are Gaining Today,7/3/2023 3:11:55 PM
EFC,The Best-Performing REITs Of The First Half Of 2023,6/30/2023 4:08:36 PM
EFC,Ellington Financial estimates fall in book value per share,6/22/2023 4:53:59 PM
EFC,Ellington Financial declares $0.15 dividend,6/21/2023 8:51:29 PM
EFC,Bank of America Securities Reaffirms Their Hold Rating on Ellington Financial (EFC),6/1/2023 9:35:09 AM
EFC,"Analysts Are Bullish on Top Financial Stocks: Ellington Financial (EFC), Up Fintech Holding (TIGR)",5/31/2023 10:12:36 AM
EFC,ELLINGTON FINANCIAL AND ARLINGTON ASSET INVESTMENT CORP. ANNOUNCE DEFINITIVE MERGER AGREEMENT,5/30/2023 1:00:00 PM
EFC,Ellington Financial goes ex-dividend on Tuesday,5/26/2023 5:38:15 PM
EFC,Ellington Financial announces stock authorization,5/23/2023 8:02:03 AM
EFC,"Benzinga's Top Ratings Upgrades, Downgrades For May 16, 2023",5/16/2023 5:00:42 PM
EFC,"Analysts Offer Insights on Financial Companies: Intercorp Financial Services (IFS), Progressive (PGR) and Ellington Financial (EFC)",5/11/2023 11:40:18 AM
EFC,Ellington Financial declares $0.15 dividend,5/8/2023 9:23:47 PM
EFC,Ellington Financial (EFC) Receives a Buy from Maxim Group,4/26/2023 4:55:05 PM
EFC,Ellington Financial declares $0.15 dividend,4/10/2023 8:20:40 PM
EFC,7 Value Stocks That Pay Monthly Dividends,3/23/2023 6:11:32 PM
EFC,Eillington Financial to repurchase up to $50M of its common stock,3/21/2023 9:12:05 PM
EFC,Ellington Financial declares $0.15 dividend,3/8/2023 12:17:39 PM
EFC,Wall Street Analysts Are Bullish on Top Financial Picks,2/28/2023 12:40:06 PM
EFC,Ellington Financial (EFC) Gets a Hold from Bank of America Securities,2/27/2023 12:05:13 PM
EFC,Ellington Financial reports estimated BVPS of $15 as of January 31,2/23/2023 11:28:00 PM
EFC,Ellington Financial Q4 2022 Earnings Preview,2/22/2023 10:35:42 PM
EFC,Ellington Financial declares $0.15 dividend,2/7/2023 10:34:57 PM
EFC,Ellington Financial prices $100M offering,2/3/2023 10:17:04 AM
EFC,Ellington Financial announces series C preferred stock offering,2/2/2023 2:30:20 PM
EFC,Maxim Group Sticks to Their Buy Rating for Ellington Financial (EFC),1/31/2023 5:15:06 PM
EFC,Ellington Financial estimated book value rose 1.1% in December,1/26/2023 9:53:28 PM
EFC,5 REITs With The Highest Paying Dividends: How To Supercharge Your Portfolio,1/25/2023 9:09:59 PM
EFC,Ellington Financial declares $0.15 dividend,1/9/2023 9:31:14 PM
EFC,Seeking at Least 10% Dividend Yield? These 2 ‘Strong Buy’ Dividend Stocks Do the Job,1/4/2023 12:30:58 AM
EFC,Ellington Financial declares $0.15 dividend,12/20/2022 3:25:40 PM
EFC,Ellington Financial declares $0.15 dividend,12/7/2022 9:42:46 PM
EFC,Ellington Financial estimates book value per share of $14.86 as of Oct 31,11/17/2022 6:08:16 AM
EFC,Ellington Financial declares $0.15 dividend,11/16/2022 9:18:25 PM
EFC,Analysts Offer Insights on Financial Companies: Ellington Financial (EFC) and Lemonade (LMND),11/10/2022 12:40:59 PM
EFC,Ellington Financial Non-GAAP EPS of $0.44,11/7/2022 9:38:31 PM
EFC,Ellington Financial earnings: here's what Wall Street expects,11/6/2022 3:01:13 PM
EFC,Ellington Financial Q3 2022 Earnings Preview,11/4/2022 9:35:57 PM
EFC,"Ellington Financial book vale per share estimate dips, stock rises",10/18/2022 9:02:58 PM
