Ticker,Title,Link
AAT,American Assets Trust declares $0.335 dividend,7/31/2024 1:44:38 PM
AAT,"American Assets Trust, Inc. Reports Second Quarter 2024 Financial Results",7/30/2024 10:15:15 PM
AAT,Notable earnings after Tuesday's close,7/29/2024 9:35:49 PM
AAT,"American Assets Trust, Inc. Announces Second Quarter 2024 Earnings Release Date and Conference Call Information",7/10/2024 12:23:27 AM
AAT,American Assets Trust Inc. hosts conference call for investors,5/1/2024 2:45:01 PM
AAT,"American Assets Trust, Inc. Reports First Quarter 2024 Financial Results",4/30/2024 10:15:14 PM
AAT,Notable earnings after Tuesday's close,4/29/2024 9:35:36 PM
AAT,"American Assets Trust, Inc. Announces First Quarter 2024 Earnings Release Date and Conference Call Information",4/8/2024 10:15:24 PM
AAT,KeyBanc Sticks to Its Hold Rating for American Assets (AAT),2/12/2024 8:46:42 AM
AAT,"REITs finish slightly higher as hope of a rate cut surface again, solid results provide optimism",2/10/2024 5:00:00 PM
AAT,American Assets Trust increases dividend by ~2% to $0.335,2/7/2024 1:23:43 PM
AAT,"American Assets Trust, Inc. Reports Fourth Quarter and Year End 2023 Financial Results",2/6/2024 10:15:29 PM
AAT,Notable earnings after Tuesday's close,2/5/2024 10:35:34 PM
AAT,"American Assets Trust, Inc. Releases Tax Status of 2023 Distributions",1/17/2024 1:22:32 AM
AAT,"American Assets Trust, Inc. Announces Fourth Quarter and Year-End 2023 Earnings Release Date and Conference Call Information",1/8/2024 10:56:55 PM
AAT,"American Assets Trust, Inc. Reports Third Quarter 2023 Financial Results",10/24/2023 10:15:59 PM
AAT,American Assets Trust earnings preview: what Wall Street is expecting,10/23/2023 3:01:13 PM
AAT,"American Assets Trust, Inc. Announces Third Quarter 2023 Earnings Release Date and Conference Call Information",9/28/2023 12:16:48 AM
AAT,KeyBanc Reaffirms Their Hold Rating on American Assets (AAT),9/18/2023 9:15:45 AM
AAT,American Assets Trust goes ex-dividend tomorrow,9/5/2023 2:11:05 PM
