Ticker,Title,Link
ALGT,Allegiant Travel: Preliminary July Scheduled Service Passenger Traffic Down 1.9% YoY ,8/20/2024 3:21:14 PM
ALGT,Allegiant Travel Company: Hold Rating Amidst Operational Challenges and Uncertain Outlook,8/7/2024 2:15:30 AM
ALGT,Seaport Global Keeps Their Buy Rating on Allegiant Travel Company (ALGT),8/2/2024 1:04:38 PM
ALGT,"Analysts’ Opinions Are Mixed on These Industrial Goods Stocks: XPO (XPO), Allegiant Travel Company (ALGT) and Trane Technologies (TT)",8/1/2024 1:18:16 PM
ALGT,"Allegiant Travel Company Non-GAAP EPS of $1.77 beats by $1.01, revenue of $666.3M beats by $8.07M",7/31/2024 8:05:26 PM
ALGT,Notable earnings after Wednesday's close,7/30/2024 9:35:44 PM
ALGT,Major tech outage from CrowdStrike hits Microsoft systems worldwide,7/19/2024 3:39:39 PM
ALGT,What's in the Offing for Union Pacific in Q2 Earnings?,7/18/2024 7:45:27 PM
ALGT,Allegiant Travel Announces Eight New Nonstop Routes To 13 Cities ,7/16/2024 7:29:13 AM
ALGT,6 Analysts Assess Allegiant Travel: What You Need To Know,7/15/2024 5:00:26 PM
ALGT,Barclays Sticks to Its Hold Rating for Allegiant Travel Company (ALGT),7/10/2024 8:48:35 AM
ALGT,"U.S. Airlines To Take Flight In Q2: Analyst Predicts Strong Results, 10% Operating Margin",7/8/2024 7:35:21 PM
ALGT,5 Broker-Loved Stocks to Keep an Eye on in the Current Scenario,7/2/2024 6:33:15 PM
ALGT,Allegiant Travel Stock: A Deep Dive Into Analyst Perspectives (5 Ratings),5/15/2024 8:02:26 PM
ALGT,Analysts Offer Insights on Industrial Goods Companies: Upwork (UPWK) and Allegiant Travel Company (ALGT),5/14/2024 8:50:09 PM
ALGT,"Analysts Conflicted on These Industrial Goods Names: Allegiant Travel Company (ALGT), KBR (KBR) and AZEK Company (AZEK)",5/9/2024 7:31:25 AM
ALGT,"Analysts Offer Insights on Industrial Goods Companies: Allegiant Travel Company (ALGT), TopBuild (BLD) and Regal Rexnord (RRX)",5/8/2024 12:50:33 PM
ALGT,"ALGT Stock Earnings: Allegiant Travel Beats EPS, Beats Revenue for Q1 2024",5/7/2024 5:52:41 PM
ALGT,Allegiant Travel Company Q1 2024 Earnings Preview,5/6/2024 4:13:02 PM
ALGT,"Analysts Have Conflicting Sentiments on These Industrial Goods Companies: Flowserve (FLS), 3M (MMM) and Allegiant Travel Company (ALGT)",4/30/2024 1:32:58 PM
ALGT,Allegiant Flight Attendants Approve New Five-year Labor Contract ,4/17/2024 3:13:40 AM
ALGT,Wall Street's Most Accurate Analysts' Views On 3 Industrials Stocks Delivering High-Dividend Yields,4/12/2024 1:57:15 PM
ALGT,In-Depth Examination Of 4 Analyst Recommendations For Allegiant Travel,4/5/2024 3:00:42 PM
ALGT,"Analysts Offer Insights on Industrial Goods Companies: Bloom Energy (BE), Generac Holdings (GNRC) and Allegiant Travel Company (ALGT)",2/16/2024 12:11:15 PM
ALGT,Allegiant Travel Company goes ex dividend tomorrow,2/13/2024 4:12:34 PM
ALGT,Allegiant Travel To Launch 10 New Nonstop Routes To 14 Cities - Quick Facts ,2/12/2024 7:20:58 AM
ALGT,Analysts Offer Insights on Industrial Goods Companies: Symbotic (SYM) and Allegiant Travel Company (ALGT),2/6/2024 11:20:14 AM
ALGT,"Allegiant Travel Company Non-GAAP EPS of $0.11 beats by $0.31, revenue of $611M beats by $16.37M",2/5/2024 9:52:49 PM
ALGT,Allegiant Travel earnings: here's what Wall Street expects,2/4/2024 3:01:13 PM
ALGT,Allegiant Travel Company Q4 2023 Earnings Preview,2/2/2024 5:48:29 PM
ALGT,Allegiant Reports Higher Available Seat Miles In Preliminary Q4 Results ,1/29/2024 7:55:35 PM
ALGT,"Delta Dominates WSJ's Airline Rankings For Third Year, While JetBlue Struggles With Efficiency",1/26/2024 6:23:32 PM
ALGT,"Jim Cramer Says Buy This Utilities Stock Down 6% Over Past 6 Months, Calls Bunge A 'Battleground'",1/18/2024 3:31:45 PM
ALGT,Allegiant Travel November Capacity Rises 9.3% ,12/28/2023 3:19:29 PM
ALGT,Allegiant transforms leisure travel space by opening new resort in Southwest Florida,12/20/2023 7:00:00 PM
ALGT,Where Allegiant Travel Stands With Analysts,12/13/2023 8:00:23 PM
ALGT,ALLEGIANT WINS PASSENGER-RATED FOUR STAR RANKING AWARD,11/29/2023 3:00:00 PM
ALGT,WISH COME TRUE: ALLEGIANT GRANTS 14-YEAR-OLD TEEN'S WISH TO BECOME A PILOT FOR A DAY,11/23/2023 1:35:00 AM
ALGT,Allegiant Travel October Capacity Rises 13.3% ,11/22/2023 3:23:28 PM
ALGT,Allegiant Travel Announces 12 New Nonstop Routes To Popular Vacation Destinations ,11/16/2023 7:16:38 AM
ALGT,Where Allegiant Travel Stands With Analysts,11/6/2023 9:00:27 PM
ALGT,Hold Rating for Allegiant Travel Company: A Balance of Business Model Strength and Market Competition,11/3/2023 9:46:01 PM
ALGT,Here's what Wall Street expects from Allegiant Travel's earnings,11/1/2023 3:01:13 PM
ALGT,ALLEGIANT REPORTS SEPTEMBER 2023 TRAFFIC,10/26/2023 3:00:00 PM
ALGT,ALLEGIANT ANNOUNCES COLLABORATION WITH GLOBAL ENTERTAINMENT ICON CARRIE UNDERWOOD,10/25/2023 3:00:00 PM
ALGT,ALLEGIANT POISED FOR EXPANSION AT NASHVILLE WITH NEW TERMINAL OPENING,10/18/2023 3:00:00 PM
ALGT,Analyst Ratings for Allegiant Travel,10/11/2023 10:00:17 PM
ALGT,ALLEGIANT SECURES FINANCING FOR AIRBUS A320 CEO AND BOEING 737 MAX AIRCRAFT,10/3/2023 3:00:00 PM
ALGT,Sell Rating Justified for Allegiant Travel Company Amidst Leadership Changes and Operational Challenges,9/29/2023 9:47:30 AM
ALGT,Allegiant Travel CEO John Redmond Resigns ,9/28/2023 3:21:34 PM
ALGT,Ticking Time Bombs: 3 Airline Stocks to Dump Before the Damage Is Done,9/27/2023 10:00:34 PM
ALGT,The Latest Analyst Ratings for Allegiant Travel,9/25/2023 3:00:46 PM
ALGT,Allegiant Travel Preliminary Aug. - Scheduled Service - Passenger Traffic Down 5.0% YoY ,9/20/2023 3:35:19 PM
ALGT,"JetBlue, Allegiant Ink Divestiture Deal In Connection With JetBlue's Combination With Spirit ",9/11/2023 3:57:31 PM
ALGT,ALLEGIANT LAUNCHES ALLWAYS REWARDS VISA® CARD,9/5/2023 12:00:00 PM
ALGT,ALLEGIANT REPORTS JULY 2023 TRAFFIC,8/23/2023 3:00:00 PM
ALGT,ALLEGIANT ANNOUNCES RATIFIED CONTRACT FOR MAINTENANCE TECHNICIANS AND RELATED WORKFORCE WITH INTERNATIONAL BROTHERHOOD OF TEAMSTERS,8/17/2023 8:20:00 PM
ALGT,Allegiant Travel Company goes ex-dividend on Monday,8/11/2023 6:46:10 PM
ALGT,3 Airline Stocks to Sell in August Before They Crash and Burn,8/9/2023 11:00:50 AM
ALGT,Allegiant Travel Company (ALGT) Receives a Buy from Goldman Sachs,8/7/2023 7:15:36 AM
ALGT,"Allegiant Travel Company Non-GAAP EPS of $4.57 beats by $0.84, revenue of $683.81M beats by $20.93M",8/2/2023 4:25:16 PM
ALGT,Allegiant Travel Company Q2 2023 Earnings Preview,8/1/2023 6:22:51 PM
ALGT,Airline turbulence: Southwest Airlines and peers fall after cost outlook rattles investors,7/27/2023 2:41:08 PM
ALGT,United Airlines Stock (NASDAQ:UAL): Up 55% YTD but Still Significantly Undervalued,7/22/2023 12:29:06 AM
ALGT,ALLEGIANT TRAVEL COMPANY SCHEDULES SECOND QUARTER 2023 EARNINGS CALL,7/20/2023 7:09:00 PM
ALGT,ALLEGIANT REPORTS JUNE 2023 TRAFFIC,7/18/2023 3:00:00 PM
ALGT,Injuries Reported As Flight Encounters Severe Turbulence During North Carolina To Florida Journey ,7/13/2023 7:46:20 PM
ALGT,Allegiant Allways Rewards Members Earn Exclusive Perk: Presale Access to Live Nation Concert Tickets,7/12/2023 9:19:00 PM
ALGT,ALLEGIANT ANNOUNCES SIX NEW ROUTES WITH ONE-WAY FARES AS LOW AS $40*,7/11/2023 3:00:00 PM
ALGT,6 Analysts Have This to Say About Allegiant Travel,7/6/2023 3:00:20 PM
ALGT,Airline stocks rip big gains after Delta Air Lines points to strong travel demand,6/27/2023 6:30:24 PM
ALGT,Raymond James Sticks to Its Buy Rating for Allegiant Travel Company (ALGT),6/26/2023 12:25:14 PM
ALGT,What To Know About Deutsche Bank's Upgrade of Allegiant Travel,6/15/2023 7:00:32 PM
ALGT,ALLEGIANT REPORTS MAY 2023 TRAFFIC,6/14/2023 10:01:00 PM
ALGT,"ALLEGIANT ANNOUNCES TENTATIVE AGREEMENT FOR FLIGHT ATTENDANTS WITH THE TRANSPORT WORKERS UNION OF AMERICA, AFL-CIO",6/9/2023 7:00:00 PM
ALGT,FAA halts flights at LaGuardia amid broader weather advisory,6/7/2023 7:45:22 PM
