Ticker,Title,Link
SBOW,"Shareholders at Crescent Energy, SilverBow Resources approve merger deal",7/29/2024 8:31:34 PM
SBOW,"Crescent Energy Among The 'Very Best' E&P Companies, Says Analyst: SilverBow Deal Offers 'Clear Synergies'",6/27/2024 7:22:12 PM
SBOW,Crescent Energy subsidiary proposes $750M senior notes offering,6/13/2024 2:03:21 PM
SBOW,Crescent Energy wins 'favorable' rating agency responses on SilverBow deal,5/22/2024 8:41:42 PM
SBOW,"SOC, SBOW among major energy gainers; NRT, CRGY major losers",5/16/2024 6:05:17 PM
SBOW,Glass Lewis backs SilverBow board nominees in dispute with Kimmeridge,5/9/2024 2:13:12 PM
SBOW,Truist Financial Sticks to Its Buy Rating for SilverBow Resources (SBOW),5/7/2024 12:10:14 PM
SBOW,"GEOS, PFIE among major energy gainers",5/6/2024 6:01:41 PM
SBOW,SilverBow Resources: A Cautious Hold Amid Operational Potential and Upcoming Corporate Uncertainties,5/5/2024 2:06:09 PM
SBOW,Forecasting The Future: 5 Analyst Projections For SilverBow Resources,5/2/2024 6:00:35 PM
SBOW,"SilverBow Resources Non-GAAP EPS of $2.09 beats by $0.21, revenue of $256.68M misses by $17.1M",5/1/2024 9:20:52 PM
SBOW,SilverBow Resources Q1 2024 Earnings Preview,4/30/2024 9:35:59 PM
SBOW,"Analysts’ Top Energy Picks: SilverBow Resources (SBOW), Tamarack Valley Energy (TNEYF)",4/16/2024 12:02:37 PM
SBOW,Demystifying SilverBow Resources: Insights From 5 Analyst Reviews,4/5/2024 9:00:23 PM
SBOW,SilverBow Resources Board Rejects Kimmeridge's Latest Proposal ,3/28/2024 4:02:38 PM
SBOW,Activist shareholder backs Kimmeridge deal proposal for SilverBow Resources,3/21/2024 2:18:08 PM
SBOW,Analyst Expectations For SilverBow Resources's Future,3/15/2024 2:01:00 PM
SBOW,SilverBow Resources Receives Proposal From Kimmeridge Energy Management - Quick Facts ,3/13/2024 3:00:04 PM
