Ticker,Title,Link
BJRI,Setyan Endorses BJ’s Restaurants with a Buy Rating Amidst Leadership Changes and Strategic Growth Initiatives,8/29/2024 11:09:23 AM
BJRI,"BJ’s Restaurants, Inc. Announces Upcoming Senior Management Transition",8/28/2024 10:01:41 PM
BJRI,"BJ’s Restaurants Opens in Tracy, California",8/27/2024 7:15:00 PM
BJRI,Get Your Money Out of These 3 Russell 2000 Stocks by 2025,8/1/2024 7:04:27 PM
BJRI,BJ's Restaurants fails to dazzle Street with results beat; shares fall,7/26/2024 3:04:05 PM
BJRI,"BJ’s Restaurants, Inc. Reports Fiscal Second Quarter 2024 Results",7/25/2024 10:03:00 PM
BJRI,BJ's Restaurants Q2 2024 Earnings Preview,7/24/2024 9:35:46 PM
BJRI,Barclays Reaffirms Their Sell Rating on BJ’s Restaurants (BJRI),7/17/2024 3:16:30 PM
BJRI,"BJ’s Restaurants, Inc. Announces Date for Second Quarter 2024 Earnings Release and Conference Call",7/16/2024 7:00:00 PM
BJRI,Positive Margin Growth and Undervalued EBITDA Multiple Drive Outperform Rating for BJ’s Restaurants,7/2/2024 10:35:44 AM
BJRI,"BJ’s Restaurants, Inc. to Present at the Oppenheimer 24thAnnual Consumer Growth and E-Commerce Conference Virtual Event",5/28/2024 7:00:00 PM
BJRI,"Analysts Offer Insights on Consumer Cyclical Companies: Carvana Co (CVNA), BJ’s Restaurants (BJRI) and Floor & Decor Holdings (FND)",5/3/2024 12:21:14 PM
BJRI,"BJ’s Restaurants, Inc. Reports Fiscal First Quarter 2024 Results",5/2/2024 10:02:00 PM
BJRI,BJ's Restaurants Q1 2024 Earnings Preview,5/1/2024 9:35:20 PM
BJRI,Barclays Sticks to Its Sell Rating for BJ’s Restaurants (BJRI),4/19/2024 7:57:18 AM
BJRI,"BJ’s Restaurants, Inc. Announces Date for First Quarter 2024 Earnings Release and Conference Call",4/16/2024 7:00:00 PM
BJRI,"BJ’s Restaurants Opens in Brookfield, Wisconsin",4/2/2024 7:00:00 PM
BJRI,"BJ’s Restaurants, Inc. Engages PW Partners to Provide Cost Structure Recommendations",3/27/2024 12:00:49 PM
BJRI,BJ's Restaurants added as a new long idea at Hedgeye with activists at the front door,3/11/2024 5:29:36 PM
BJRI,"BJ’s Restaurants, Inc. Appoints New Independent Director Brad Richmond",2/28/2024 1:00:00 PM
BJRI,"Analysts Offer Insights on Consumer Cyclical Companies: Carvana Co (CVNA), BJ’s Restaurants (BJRI) and Genuine Parts Company (GPC)",2/16/2024 1:41:02 PM
BJRI,BJ's Restaurants' Q4 sales fall short of expectations,2/15/2024 10:33:15 PM
BJRI,Notable earnings after Thursday's close,2/14/2024 10:35:58 PM
BJRI,"BJ’s Restaurants, Inc. Announces Date for Fourth Quarter and Fiscal Year 2023 Earnings Release and Conference Call",2/6/2024 7:00:00 PM
BJRI,"Catalyst Watch: Tesla, Netflix and Procter & Gamble head into the earnings confessional",1/19/2024 8:00:29 PM
