Ticker,Title,Link
ATRI,Smaller But Mighty: 3 Small-Cap Stocks for Long-Term Dividend Growth,8/14/2024 11:30:00 AM
ATRI,ATRI Stock Earnings: Atrion Reported Results for Q2 2024,8/9/2024 10:52:46 AM
ATRI,United States Cellular Up 11% In Pre-market On Sale Of Most Of Its Wireless Operations ,5/28/2024 2:38:07 PM
ATRI,Atrion Corporation Declares Quarterly Cash Dividend,5/21/2024 10:30:00 PM
ATRI,ATRI Stock Earnings: Atrion Reported Results for Q1 2024,5/11/2024 12:53:39 AM
ATRI,Atrion Reports First Quarter 2024 Results,5/10/2024 10:10:00 PM
ATRI,"Atrion Non-GAAP EPS of $3.65, revenue of $43.6M",2/29/2024 11:06:50 PM
ATRI,Atrion declares $2.20 dividend,2/27/2024 8:11:37 PM
ATRI,Top 3 Health Care Stocks That May Plunge In January,1/8/2024 2:05:27 PM
ATRI,What's Been Up With Atrion Stock?,12/28/2023 10:05:42 PM
ATRI,Atrion Corporation Declares Quarterly Cash Dividend,11/13/2023 6:18:08 PM
ATRI,Atrion Reports Third Quarter 2023 Results,11/7/2023 10:30:00 PM
ATRI,Atrion Corporation Announces Election of New Director,9/20/2023 10:29:46 PM
ATRI,Atrion increases dividend by ~2%,8/22/2023 9:21:12 PM
ATRI,"Atrion GAAP EPS of $3.73, revenue of $43.84M",8/8/2023 9:24:56 PM
ATRI,Atrion declares $2.15 dividend,5/23/2023 7:51:12 PM
ATRI,"Atrion GAAP EPS of $1.98, revenue of $40M",5/8/2023 8:59:13 PM
ATRI,Atrion declares $2.15 dividend,2/27/2023 9:48:21 PM
ATRI,Atrion Corporation Declares Quarterly Cash Dividend,11/14/2022 10:00:51 PM
ATRI,"Atrion GAAP EPS of $4.94, revenue of $44.63M",11/8/2022 10:54:13 PM
ATRI,Atrion Corporation Announces CFO Succession Plan,8/25/2022 11:35:51 PM
ATRI,Atrion Corporation Increases Quarterly Cash Dividend by 10%,8/22/2022 11:22:03 PM
ATRI,Plurilock Security to buy certain assets of Atrion Communications for $3.7M,8/9/2022 1:18:51 PM
ATRI,Atrion Reports Second Quarter 2022 Results,8/8/2022 10:00:00 PM
ATRI,Atrion Corporation Declares Quarterly Cash Dividend,5/24/2022 11:59:30 PM
ATRI,Atrion Reports First Quarter 2022 Results,5/9/2022 10:00:00 PM
ATRI,Atrion Reports Fourth Quarter and Full Year 2021 Results,2/25/2022 10:00:00 PM
ATRI,Atrion Corporation Declares Quarterly Cash Dividend,11/12/2021 8:29:43 PM
ATRI,Atrion reports Q3 results,11/8/2021 10:05:29 PM
ATRI,Atrion Corporation Announces Election of New Director,8/31/2021 12:46:03 AM
ATRI,Atrion Reports Second Quarter Results,8/9/2021 10:00:00 PM
ATRI,Atrion Corporation Declares Quarterly Cash Dividend,5/21/2021 8:51:00 PM
ATRI,Atrion Reports First Quarter Results ,5/10/2021 10:30:00 PM
ATRI,Atrion Reports Results for Fourth Quarter and Full Year 2020,2/26/2021 11:47:15 PM
ATRI,Atrion Corporation Declares Quarterly Cash Dividend,11/13/2020 10:30:00 PM
ATRI,Atrion Reports Third Quarter Results,11/9/2020 10:30:00 PM
ATRI,Atrion Corporation Increases Quarterly Cash Dividend by 13%,8/20/2020 10:30:10 PM
ATRI,Atrion Reports Second Quarter Results,8/6/2020 10:30:10 PM
ATRI,Atrion Corporation Declares Quarterly Cash Dividend,5/21/2020 7:30:09 PM
ATRI,Atrion Reports First Quarter Results,5/7/2020 10:30:10 PM
ATRI,Atrion Reports Results for Fourth Quarter and Full Year 2019,2/26/2020 10:30:00 PM
ATRI,Atrion Corporation Declares Quarterly Cash Dividend,11/12/2019 5:48:43 PM
ATRI,Atrion Reports Third Quarter Results,11/1/2019 9:30:00 PM
ATRI,Atrion Corporation Increases Quarterly Cash Dividend by 15%,8/19/2019 10:30:00 PM
ATRI,Atrion Reports Second Quarter Results,8/7/2019 10:30:00 PM
ATRI,Atrion Corporation Declares Quarterly Cash Dividend,5/21/2019 9:12:58 PM
ATRI,Atrion Reports First Quarter Results,5/8/2019 10:30:00 PM
ATRI,Atrion Reports Results for Fourth Quarter and Full Year 2018,2/26/2019 10:30:00 PM
ATRI,Atrion Corporation Declares Quarterly Cash Dividend,11/12/2018 7:22:31 PM
ATRI,Atrion Reports Third Quarter Results,11/9/2018 10:30:00 PM
ATRI,Atrion Corporation Increases Quarterly Cash Dividend by 13%,8/14/2018 10:30:00 PM
ATRI,Atrion Reports Second Quarter Results,8/7/2018 10:45:00 PM
ATRI,Atrion Corporation Declares Quarterly Cash Dividend,5/22/2018 9:05:12 PM
ATRI,BRIEF-Atrion Q1 Earnings Per Share $4.57,5/9/2018 10:37:17 PM
ATRI,Atrion Reports 2017 Results for  Fourth Quarter and Full Year,2/27/2018 10:30:00 PM
ATRI,BRIEF-Atrion reports Q3 earnings per share $4.29 (ATRI),11/8/2017 11:12:04 PM
ATRI,BRIEF-Atrion increases quarterly cash dividend by 14 pct (ATRI),8/15/2017 10:47:12 PM
ATRI,BRIEF-Atrion Q2 earnings per share $5.40 (ATRI),8/8/2017 11:12:03 PM
ATRI,BRIEF-Atrion Q1 earnings per share $5.36 (ATRI),5/10/2017 11:36:05 PM
ATRI,BRIEF-Atrion Corp says board voted to increase its size from five to six directors (ATRI),3/13/2017 7:36:27 PM
ATRI,"BRIEF-Atrion on Feb. 28, Co entered into credit agreement with Wells Fargo Bank, National Association as lender (ATRI)",3/3/2017 11:20:20 PM
