Ticker,Title,Link
LASR,Buy Rating Affirmed on nLIGHT Following Strong Quarterly Performance and Positive Outlook,8/5/2024 10:34:03 AM
LASR,nLIGHT (LASR) Receives a Buy from Stifel Nicolaus,8/2/2024 12:46:53 PM
LASR,"nLight Non-GAAP EPS of -$0.10 beats by $0.03, revenue of $50.5M beats by $1.31M",8/1/2024 8:10:58 PM
LASR,nLight Q2 2024 Earnings Preview,7/31/2024 9:35:41 PM
LASR,nLIGHT (LASR) Gets a Hold from Craig-Hallum,7/30/2024 12:40:15 PM
LASR,"NLIGHT, EOS Form Joint Strategic Technology Cooperation ",6/13/2024 2:16:40 PM
LASR,nLIGHT Buy Rating Affirmed Amid Aerospace & Defense Growth and Anticipated Commercial Sector Recovery,5/3/2024 11:08:35 AM
LASR,"nLight Non-GAAP EPS of -$0.17 beats by $0.02, revenue of $44.53M beats by $0.23M",5/2/2024 8:31:01 PM
LASR,Notable earnings after Thursday's close,5/1/2024 9:35:20 PM
LASR,nLIGHT (LASR) Receives a Hold from Craig-Hallum,4/30/2024 12:39:07 PM
LASR,Why MercadoLibre Shares Are Trading Lower By Around 10%? Here Are Other Stocks Moving In Friday's Mid-Day Session,2/23/2024 8:07:12 PM
LASR,"nLight Non-GAAP EPS of -$0.13 beats by $0.01, revenue of $51.9M beats by $3.91M",2/22/2024 9:59:55 PM
LASR,nLight Q4 2023 Earnings Preview,2/21/2024 10:35:44 PM
LASR,Craig-Hallum Sticks to Their Hold Rating for nLIGHT (LASR),1/5/2024 2:05:41 PM
LASR,Why nLIGHT Stock (LASR) Is Rising During Tuesday's Session,11/28/2023 9:17:04 PM
LASR,Why nLight Stock (LASR) Is Trading Higher Monday,11/27/2023 5:09:18 PM
LASR,nLIGHT (LASR) Receives a Buy from Stifel Nicolaus,11/7/2023 2:07:43 AM
LASR,"Analysts’ Opinions Are Mixed on These Technology Stocks: Cirrus Logic (CRUS), nLIGHT (LASR) and Fortinet (FTNT)",11/3/2023 11:00:18 AM
LASR,nLIGHT earnings preview: what to expect,11/1/2023 3:01:13 PM
LASR,Why ResMed Shares Are Trading Lower By 15%? Here Are Other Stocks Moving In Friday's Mid-Day Session,8/4/2023 6:55:56 PM
LASR,"nLight GAAP EPS of -$0.19 beats by $0.02, revenue of $53.31M beats by $0.96M",8/3/2023 8:43:50 PM
LASR,Here's what to expect from nLIGHT's earnings report,8/2/2023 3:01:13 PM
LASR,nLIGHT (LASR) Gets a Hold from Craig-Hallum,8/1/2023 12:55:57 PM
LASR,Why Atlassian Shares Are Trading Lower By 10%? Here Are Other Stocks Moving In Friday's Mid-Day Session,5/5/2023 6:56:06 PM
LASR,"nLight Non-GAAP EPS of -$0.04 beats by $0.12, revenue of $54.1M beats by $1M",5/4/2023 9:36:13 PM
LASR,nLight Q1 2023 Earnings Preview,5/3/2023 9:35:49 PM
LASR,Craig-Hallum Keeps Their Hold Rating on nLIGHT (LASR),5/2/2023 12:46:23 PM
LASR,7 Nasdaq Small-Cap Stocks Set to Outperform in 2023,4/28/2023 12:24:50 AM
LASR,Laser maker Nuburu stock rockets as high as 157% on DOD contract news,4/5/2023 4:43:23 PM
LASR,"Analysts Offer Insights on Technology Companies: Lumen Technologies (LUMN), Alphabet Class A (GOOGL) and nLIGHT (LASR)",3/13/2023 9:30:58 AM
LASR,Raymond James Reaffirms Their Buy Rating on nLIGHT (LASR),2/27/2023 11:25:13 AM
LASR,Needham Reaffirms Their Buy Rating on nLIGHT (LASR),2/24/2023 12:26:40 PM
LASR,"nLight GAAP EPS of -$0.50 misses by $0.18, revenue of $56.7M misses by $0.27M",2/23/2023 9:29:35 PM
LASR,nLight Q4 2022 Earnings Preview,2/22/2023 10:35:58 PM
LASR,nLIGHT Inc Registered Shs hosts conference call for investors,2/14/2023 2:45:00 PM
LASR,"KOD, LASR and TSVT are among after hour movers",1/5/2023 10:56:36 PM
LASR,Raymond James Reaffirms Their Buy Rating on nLIGHT (LASR),11/8/2022 9:45:11 AM
LASR,PayPal To $100? Here Are 5 Other Price Target Changes For Monday,11/7/2022 1:26:52 PM
LASR,Why Yelp Shares Are Trading Lower By 15%? Here Are 86 Stocks Moving In Friday's Mid-Day Session,11/4/2022 5:54:47 PM
LASR,"nLight Non-GAAP EPS of -$0.11 misses by $0.03, revenue of $60.09M misses by $4.04M",11/3/2022 8:44:31 PM
LASR,nLight Q3 2022 Earnings Preview,11/2/2022 9:35:35 PM
LASR,"'I'm Not Going There,' Cramer Says About This Energy Stock",10/3/2022 2:21:39 PM
LASR,"nLight Non-GAAP EPS of -$0.07 misses by $0.01, revenue of $60.83M misses by $2.48M",8/4/2022 8:18:20 PM
LASR,nLight Q2 2022 Earnings Preview,8/3/2022 9:35:47 PM
LASR,"IONS, CCXI and FORM are among after hour",7/15/2022 8:50:25 PM
LASR,"nLight Non-GAAP EPS of -$0.04 beats by $0.04, revenue of $64.5M beats by $0.73M; initiates Q2 guidance",5/5/2022 9:16:37 PM
LASR,Notable earnings after Thursday's close,5/4/2022 9:35:55 PM
LASR,70 Biggest Movers From Friday,2/22/2022 10:43:28 AM
LASR,42 Stocks Moving In Friday's Mid-Day Session,2/18/2022 6:04:29 PM
LASR,"nLight GAAP EPS of -$0.20 beats by $0.01, revenue of $67.46M misses by $2.27M",2/17/2022 9:11:14 PM
LASR,nLight Q4 2021 Earnings Preview,2/16/2022 10:35:46 PM
LASR,nLIGHT acquires Austrian-based process monitoring firm,2/14/2022 12:41:02 PM
LASR,"nLight EPS beats by $0.02, beats on revenue",11/4/2021 8:49:28 PM
LASR,nLight Q3 2021 Earnings Preview,11/3/2021 9:35:44 PM
LASR,"nLight EPS beats by $0.02, beats on revenue",8/5/2021 8:35:13 PM
LASR,Notable earnings after Thursday's close,8/4/2021 9:35:49 PM
LASR,nLIGHT earnings: here's what Wall Street expects,5/4/2021 3:02:12 PM
LASR,"II-VI sticking with revised bid for Coherent, with deadline tomorrow; its shares jump",3/24/2021 2:50:19 PM
LASR,nLight may be a target for Coherent losing bidder,3/19/2021 3:42:47 PM
LASR,nLIGHT prices 2M stock offering,3/4/2021 12:52:55 PM
LASR,"KNSA, SLPK, OKTA and VRM among after-hours movers",3/3/2021 10:37:41 PM
