Ticker,Title,Link
GTN,"RTNDA Awards Eight National Edward R. Murrow Awards  to Gray Media Stations, InvestigateTV",8/20/2024 2:00:00 PM
GTN,Gray Media Announces Coverage Plans for 2024 Democratic National Convention ,8/19/2024 1:50:00 PM
GTN,Barrington Keeps Their Hold Rating on Gray Television (GTN),8/14/2024 5:05:36 PM
GTN,Loop Capital Markets Keeps Their Buy Rating on Gray Television (GTN),8/9/2024 1:24:22 PM
GTN,Gray Television IncShs hosts conference call for investors,8/8/2024 2:45:00 PM
GTN,Gray Television Q2 2024 Earnings Preview,8/7/2024 3:21:06 PM
GTN,PALMETTO SPORTS & ENTERTAINMENT TO LAUNCH STATEWIDE ON GRAY MEDIA STATIONS,8/1/2024 12:45:00 PM
GTN,Rock Entertainment Group and Gray Media Join Forces to Launch Rock Entertainment Sports Network,7/25/2024 6:04:38 PM
GTN,Gray Media Partners with Harlem Globetrotters for their Historic Return to Live Television Across the Nation for First Time in 40 Years,7/18/2024 10:15:00 PM
GTN,Gray Media’s InvestigateTV and WVUE Honored with the Society of Professional Journalists’ Sigma Delta Chi Awards,7/16/2024 4:00:00 PM
GTN,Gray Media Announces Coverage Plans for 2024 Republican National Convention,7/10/2024 7:00:00 PM
GTN,Wall Street's Most Accurate Analysts Weigh In On 3 Tech And Telecom Stocks With Over 6% Dividend Yields,7/9/2024 2:29:36 PM
GTN,GRAY SETS DATE FOR SECOND QUARTER EARNINGS RELEASE AND EARNINGS CONFERENCE CALL,7/1/2024 10:00:00 PM
GTN,Gray Stations Honored by IRE Awards for Outstanding Investigative Journalism,6/24/2024 5:00:00 PM
GTN,Gray Promotes Three Individuals to New Leadership Positions,6/20/2024 2:00:00 PM
GTN,Gray Television Announces Expiration and Final Results of Its Cash Tender Offer for Its 5.875% Senior Notes Due 2026,6/18/2024 3:00:00 PM
GTN,Analysts’ Opinions Are Mixed on These Communication Services Stocks: Gray Television (GTN) and Take-Two (TTWO),6/6/2024 9:41:44 AM
GTN,Gray Announces Closing of Term Loan and Revolving Credit Facility Refinancing,6/4/2024 10:23:49 PM
GTN,RTNDA Awards 78 Regional Edward R. Murrow Awards to 35 Gray Television Stations,6/3/2024 8:00:00 PM
GTN,"KUKE, FENG among major communication services gainers; CCG, MSGM among losers",5/30/2024 6:57:43 PM
GTN,Gray Television prices upsized $1.25B debt offering,5/24/2024 9:41:41 AM
GTN,Gray Announces Upsizing and Pricing of $1.25 Billion of 10.500% Senior Secured First Lien Notes due 2029,5/23/2024 7:03:33 PM
GTN,Gray Television Commences Cash Tender Offer for Its 5.875% Senior Notes Due 2026,5/20/2024 2:20:26 PM
GTN,Gray Television Announces Commencement of Proposed $1.6 Billion Refinancing Process and a Further Increase to its Revolving Credit Facility,5/15/2024 10:43:09 PM
GTN,"Seth Klarman's Baupost cuts Warner Bros. stake, takes in SoundHound, among others",5/14/2024 10:51:36 PM
GTN,Gray Television Partners with American Association of Professional Baseball to Bring  Summer Baseball to Viewers Free Over-The-Air ,5/13/2024 3:00:00 PM
GTN,GRAY ANNOUNCES QUARTERLY CASH DIVIDEND OF $0.08 PER SHARE,5/8/2024 10:30:00 PM
GTN,"GTN Stock Earnings: Gray Television Beats EPS, Misses Revenue for Q1 2024",5/7/2024 3:57:41 PM
GTN,Gray Television Q1 2024 Earnings Preview,5/6/2024 4:33:42 PM
GTN,GRAY TELEVISION ROLLING OUT ADVANCED FEATURES WITH NEXTGEN TV,4/29/2024 1:00:00 PM
GTN,Gray Renews InvestigateTV+ For 2024-2025 Season,4/18/2024 2:00:00 PM
GTN,Gray Television Stations Win Large Market and Small Market Service to America Awards,4/16/2024 1:00:00 PM
GTN,GRAY SETS DATE FOR FIRST QUARTER EARNINGS RELEASE AND EARNINGS CONFERENCE CALL,4/9/2024 9:45:00 PM
GTN,Gray Announces Paydown of Debt,4/5/2024 6:18:20 PM
GTN,Gray Promotes Peter Zampa to Senior National Correspondent,4/4/2024 8:30:00 PM
GTN,Local News Live and Gray Stations to Stream Continuous Live Eclipse Coverage,4/3/2024 6:28:00 PM
GTN,Gray to Provide Research and Consulting Services to CBS Owned and Operated Television Stations,4/2/2024 8:00:00 PM
GTN,Gray Television Partners with Revamped Arena Football League to Bring Local Spring Football to Viewers Free Over-The-Air Starting April 27,3/28/2024 6:15:00 PM
GTN,Wall Street's Most Accurate Analysts' Views On 3 Tech And Telecom Stocks With Over 5% Dividend Yields,3/6/2024 1:24:47 PM
GTN,Gray Television Surpasses Major Retrans Renewal Milestone with No Consumer Disruptions,3/4/2024 2:45:00 PM
GTN,Gray Television Partners with Leading Broadcasters to Bring Cleveland Cavaliers Games Back to Free Over-The-Air Television Across Ohio,3/1/2024 8:00:16 PM
GTN,Atlanta Dream and Gray Television Announce Broadcast Partnership,2/28/2024 5:58:57 PM
GTN,"Gray Television, Inc. declares $0.08 dividend",2/27/2024 2:49:47 PM
GTN,Noble Financial Sticks to Their Buy Rating for Gray Television (GTN),2/26/2024 1:25:26 PM
GTN,Why MercadoLibre Shares Are Trading Lower By Around 10%? Here Are Other Stocks Moving In Friday's Mid-Day Session,2/23/2024 8:07:12 PM
GTN,Gray Television Q4 2023 Earnings Preview,2/22/2024 4:20:03 PM
GTN,Gray Television Announces CFO Jim Ryan’s Upcoming Retirement and Appointment of Jeff Gignac to Succeed Him,2/20/2024 10:15:00 PM
GTN,"Earnings week ahead: NVIDIA, Walmart, Home Depot, Lucid and more",2/18/2024 1:20:00 PM
GTN,Gray Announces Closing and Upsizing of Revolving Credit Facility Refinancing  and Announces Update on Term Loan and BMI Sale Proceeds,2/16/2024 10:15:00 PM
GTN,Gray Television Launches InvestigateTV+ en Español to Serve Extended Bilingual Audience in 26 Gray-Owned Telemundo Markets,2/15/2024 2:00:16 PM
GTN,Gray Television Brings Milwaukee Bucks Games Back to Free Over-The-Air Television this Season In Three Wisconsin Markets from Weigel Broadcasting’s WMLW,2/14/2024 2:00:57 PM
GTN,Gray Television and WUAB 43 to Broadcast Five Cleveland Cavaliers Games Free Over-the-Air,2/13/2024 6:23:00 PM
GTN,Wells Fargo Reaffirms Their Sell Rating on Gray Television (GTN),2/9/2024 1:08:09 PM
GTN,Gray Television Statement on Newly Announced Streaming Service,2/7/2024 11:18:00 PM
GTN,Gray and Marquee Broadcasting Swap Television Station Assets,2/1/2024 10:30:00 PM
GTN,Gray Television (GTN) Initiated with a Buy at Benchmark Co.,1/31/2024 1:27:09 PM
GTN,"Gray Announces Proposed Refinancing of Senior Credit Facilities, Updates Guidance for Fourth Quarter 2023, and Announces Anticipated Proceeds from Sale of BMI",1/30/2024 12:45:00 PM
GTN,Gray’s InvestigateTV and WANF Presented with 2024 duPont-Columbia Award,1/26/2024 6:00:00 PM
GTN,GRAY SETS DATE FOR FOURTH QUARTER EARNINGS RELEASE AND EARNINGS CONFERENCE CALL,1/25/2024 11:00:00 PM
GTN,"Gray Promotes Liz Knight to General Manager of WALB and WGCW in Albany, Georgia",1/12/2024 6:00:00 PM
GTN,Gray Television To Bring Ten New Orleans Pelicans Games To Local Broadcast Television Stations ,1/1/2024 3:57:10 PM
GTN,"Atlanta Hawks Partner with Gray’s Peachtree TV and WANF to Broadcast 10 Games Free, Over the Air",12/30/2023 11:05:50 PM
GTN,Gray Television Reaches Agreement To Renew All Gray NBC Affiliations Nationwide ,12/28/2023 3:19:22 AM
GTN,GRAY TELEVISION REACHES AGREEMENT IN PRINCIPLE TO RENEW ALL GRAY NBC AFFILIATIONS NATIONWIDE,12/27/2023 5:00:00 PM
GTN,"Gray Promotes Bruce Austin to General Manager of WVLT and WBXX in Knoxville, Tennessee",12/20/2023 6:10:00 PM
GTN,Buy Rating for Gray Television: Strong Market Position and Financial Performance Highlighted,11/14/2023 4:16:13 PM
