Ticker,Title,Link
MLNK,"MeridianLink names Elias Olmeta as CFO, succeeding Larry Katz",8/28/2024 8:29:26 PM
MLNK,"Analysts Offer Insights on Technology Companies: MeridianLink (MLNK), Avnet (AVT) and International Business Machines (IBM)",8/12/2024 3:02:00 AM
MLNK,MeridianLink Holds Steady: A Balanced View Amidst Leadership Changes and Market Shifts,8/9/2024 1:40:26 PM
MLNK,MeridianLink earnings preview: what Wall Street is expecting,8/7/2024 3:01:13 PM
MLNK,Barclays Remains a Sell on MeridianLink (MLNK),5/10/2024 1:25:08 AM
MLNK,"Analysts Offer Insights on Technology Companies: Jack Henry & Associates (JKHY), MeridianLink (MLNK) and Shopify (SHOP)",5/9/2024 9:21:50 AM
MLNK,"MLNK Stock Earnings: MeridianLink Misses EPS, Beats Revenue for Q1 2024",5/8/2024 12:56:23 AM
MLNK,"MeridianLink Non-GAAP EPS of $0.06 misses by $0.01, revenue of $77.8M beats by $0.94M",5/7/2024 8:44:49 PM
MLNK,Here's what Wall Street expects from MeridianLink's earnings,5/6/2024 3:01:13 PM
MLNK,MeridianLink: Hold Rating Amidst CFO Change and Challenging Growth Prospects,3/19/2024 10:19:43 AM
MLNK,Stifel Maintains Hold Rating for MeridianLink: Here's What You Need To Know,3/6/2024 6:00:31 PM
MLNK,"MeridianLink GAAP EPS of -$0.38 misses by $0.15, revenue of $74.6M beats by $0.18M",3/5/2024 9:24:48 PM
MLNK,What Wall Street expects from MeridianLink's earnings,3/4/2024 3:01:13 PM
MLNK,MeridianLink Announces Pricing of Latest Financial Offering,2/9/2024 9:47:56 AM
MLNK,"Analysts Offer Insights on Technology Companies: Uber Technologies (UBER), Paycom (PAYC) and MeridianLink (MLNK)",2/8/2024 10:11:05 AM
MLNK,"FUBO, CHEA and HUBC among pre-market losers",2/7/2024 1:22:27 PM
MLNK,MeridianLink announces preliminary Q4 revenue between $73.5M and $74.5M,2/6/2024 10:25:17 PM
MLNK,Analysts Offer Insights on Technology Companies: Infosys (INFY) and MeridianLink (MLNK),1/16/2024 2:11:02 AM
MLNK,BTIG Sticks to Their Hold Rating for MeridianLink (MLNK),1/12/2024 12:08:38 PM
MLNK,BTIG Sticks to Their Hold Rating for MeridianLink (MLNK),1/7/2024 10:41:53 AM
MLNK,BTIG Reaffirms Their Hold Rating on MeridianLink (MLNK),1/2/2024 2:34:29 PM
MLNK,Hold Rating on MeridianLink: Balancing Steadfast Growth and Potential Market Headwinds,11/6/2023 6:56:33 AM
MLNK,MeridianLink earnings: here's what Wall Street expects,10/31/2023 3:01:13 PM
MLNK,Why Exact Sciences Shares Are Trading Lower By Over 9%? Here Are Other Stocks Moving In Wednesday's Mid-Day Session,8/2/2023 7:07:42 PM
MLNK,"MeridianLink GAAP EPS of -$0.06 misses by $0.05, revenue of $75.4M misses by $1.89M",8/1/2023 8:53:48 PM
MLNK,MeridianLink (MLNK) Receives a Sell from Barclays,7/31/2023 8:45:29 AM
MLNK,"Analysts Offer Insights on Technology Companies: Tucows (TCX), Cars (CARS) and MeridianLink (MLNK)",5/5/2023 3:01:43 PM
MLNK,Analyst Expectations for MeridianLink's Future,5/3/2023 7:01:20 PM
MLNK,"MeridianLink Non-GAAP EPS of $0.01 misses by $0.03, revenue of $77.14M beats by $3.39M",5/2/2023 8:34:22 PM
MLNK,"Benzinga's Top Ratings Upgrades, Downgrades For April 20, 2023",4/20/2023 5:00:52 PM
MLNK,4 Analysts Have This to Say About MeridianLink,3/2/2023 9:00:53 PM
MLNK,"MeridianLink GAAP EPS of -$0.07 beats by $0.02, revenue of $70.55M beats by $3.2M",3/1/2023 10:55:29 PM
MLNK,Here's what Wall Street expects from MeridianLink's earnings,2/28/2023 3:01:13 PM
MLNK,"MeridianLink Downgraded Due to High Mortgage Exposure, Shares Fall",1/11/2023 9:03:11 PM
MLNK,Why Party City Holdco Shares Tumbled Over 40%; Here Are 98 Biggest Movers From Yesterday,11/9/2022 11:08:43 AM
MLNK,Why TaskUs Shares Are Trading Higher By 37%? Here Are 77 Stocks Moving In Tuesday's Mid-Day Session,11/8/2022 6:51:49 PM
MLNK,"MeridianLink Non-GAAP EPS of $0.06 misses by $0.01, revenue of $71.8M misses by $1.97M",11/7/2022 9:28:58 PM
MLNK,Equifax Expands Partnership With MeridianLink To Enhance Digital Lending Solutions,10/13/2022 12:26:35 PM
MLNK,Equifax to provide income and employment data through MeridianLink's loan system,10/12/2022 8:50:43 PM
MLNK,"MeridianLink GAAP EPS of $0.03 in-line, revenue of $73M beats by $0.09M",8/9/2022 8:25:50 PM
MLNK,What Wall Street expects from MeridianLink's earnings,8/8/2022 3:01:13 PM
MLNK,Expert Ratings for MeridianLink,5/13/2022 11:26:45 PM
MLNK,"MeridianLink Non-GAAP EPS of $0.17 beats by $0.08, revenue of $72.75M beats by $3.96M",5/12/2022 8:31:40 PM
MLNK,MeridianLink Inc Registered Shs hosts conference call for investors,3/9/2022 2:45:00 PM
MLNK,"MeridianLink, Inc. -- Moody's affirms MeridianLink's B2 CFR; outlook stable",10/15/2021 9:44:00 PM
MLNK,"Project Angel Holdings, LLC -- Moody's assigns B2 CFR to MeridianLink and downgrades first lien bank loan rating",9/15/2021 12:33:00 AM
MLNK,Where MeridianLink Stands With Analysts,9/8/2021 6:30:59 PM
MLNK,"BofA Evaluates MeridianLink On 4 Ms, Initiates At Buy",8/23/2021 9:57:48 PM
