Ticker,Title,Link
SAVE,Hawaiian Holdings plunges on concern about potential Alaska Air lawsuit with legal filing,8/13/2024 1:03:18 PM
SAVE,3 Stocks to Sell Following the Market Carnage,8/12/2024 5:40:16 PM
SAVE,"Catalyst Watch: Eyes on Walmart earnings, the July CPI print, and 13F filings",8/9/2024 7:00:00 PM
SAVE,Spirit Airlines (SAVE) Receives a Hold from Seaport Global,8/5/2024 12:59:10 PM
SAVE,Spirit Airlines Layoffs 2024: What to Know About the Latest Pilot Job Cuts,8/2/2024 2:58:32 PM
SAVE,"SAVE Stock Earnings: Spirit Airlines Misses EPS, Misses Revenue for Q2 2024",8/1/2024 1:52:46 PM
SAVE,Student Loan Forgiveness Updates: Check Your Email as Biden Doubles Down,7/31/2024 4:13:32 PM
SAVE,"JetBlue commits to cost savings through route suspensions, aircraft deferrals",7/30/2024 5:04:38 PM
SAVE,Get Your Money Out of These 3 Travel Stocks by the End of 2024,7/29/2024 1:28:07 PM
SAVE,"Southwest Airlines falls after earnings, major strategy shift to redeye flights and assigned seating",7/25/2024 11:08:18 AM
SAVE,Unveiling 10 Analyst Insights On Spirit Airlines,7/23/2024 6:01:31 PM
SAVE,Earnings growth expectations ‘too aggressive’ for Q2 - JPM,7/22/2024 7:35:39 PM
SAVE,"Earnings week ahead: TSLA, GOOG, IBM, AAL, GM, F, VZ, T, and more",7/21/2024 12:01:00 PM
SAVE,"Analysts Offer Insights on Industrial Goods Companies: Airbus Group SE (OtherEADSF), GE Aerospace (GE) and Spirit Airlines (SAVE)",7/17/2024 4:21:21 PM
SAVE,"Analysts’ Opinions Are Mixed on These Industrial Goods Stocks: Parker Hannifin (PH), Spirit Airlines (SAVE) and Northrop Grumman (NOC)",7/10/2024 8:50:10 AM
SAVE,7 Doomed Stocks on a One-Way Trip to Penny Stock Territory,7/9/2024 11:30:00 AM
SAVE,"U.S. Airlines To Take Flight In Q2: Analyst Predicts Strong Results, 10% Operating Margin",7/8/2024 7:35:21 PM
SAVE,"Notable analyst calls this week: Nvidia, Spirit Airlines and PayPal among top picks",7/6/2024 6:31:00 PM
SAVE,This NVIDIA Analyst Is No Longer Bullish; Here Are Top Downgrades For Friday,7/5/2024 8:21:41 PM
SAVE,Elliott Management Is Betting Big on Southwest Airlines (LUV) Stock,6/10/2024 1:23:35 PM
SAVE,Pruning for Profits: 3 Stocks to Sell Ahead of the Second Half,6/4/2024 10:05:00 AM
SAVE,Spirit Airlines CFO Scott Haralson To Depart; Names Brian McMenamy Interim CFO ,6/3/2024 2:56:59 PM
SAVE,"New Hotter Inflation Data – Momo Buys The Dip, Fed Blunder Shows Up In Roaring Meme Stocks",5/14/2024 5:55:18 PM
SAVE,Sell Rating for Spirit Airlines Amidst Competitive and Financial Challenges,5/13/2024 10:57:04 PM
SAVE,Spirit Down on Wider-Than-Expected Q1 Loss & Bleak View,5/9/2024 4:02:52 PM
SAVE,In-Depth Examination Of 8 Analyst Recommendations For Spirit Airlines,5/7/2024 9:00:29 PM
SAVE,"SAVE Stock Earnings: Spirit Airlines Misses EPS, Misses Revenue for Q1 2024",5/6/2024 2:53:36 PM
SAVE,Here's what to expect from Spirit Airlines's earnings report,5/5/2024 3:01:13 PM
SAVE,Stock Market Crash Warning: Don’t Get Caught Holding These 3 Travel Stocks,5/4/2024 9:02:43 PM
SAVE,"Catalyst Watch: Disney earnings, Apple iPad event and Fed speakers back on the circuit",5/3/2024 7:00:00 PM
SAVE,Stock Market Crash Alert: 3 Must-Buy Warren Buffett Stocks When Prices Plunge,5/2/2024 11:00:00 AM
SAVE,Analysts Are Sounding the Alarm Bells on These 7 Stocks: April 2024,4/30/2024 10:00:00 AM
SAVE,JetBlue lowers revenue forecast as Latin American oversupply continues to weigh,4/23/2024 12:54:58 PM
SAVE,Hawaiian Holdings drops amid cautious report on DOJ review of Alaska Air deal (update),4/18/2024 5:37:39 PM
SAVE,Sell Rating on Spirit Airlines Amid Financial Uncertainty and Recovery Concerns,4/17/2024 12:18:08 AM
SAVE,Unveiling 6 Analyst Insights On Spirit Airlines,4/16/2024 9:03:33 PM
SAVE,"M&T Bank Reports Q1 Earnings, Joins Snap One, Encore Wire And Other Big Stocks Moving Higher On Monday",4/15/2024 4:44:00 PM
SAVE,Zombie Stock Apocalypse: 7 Walking Dead Companies to Avoid,4/10/2024 12:43:53 PM
SAVE,Spirit Inks Deal With Airbus To Defer All 2025-26 Deliveries Of Aircraft Orders By Five Years ,4/8/2024 1:51:58 PM
SAVE,Analysts’ Opinions Are Mixed on These Industrial Goods Stocks: Flowserve (FLS) and Spirit Airlines (SAVE),4/1/2024 9:30:56 AM
SAVE,Deep Dive Into Spirit Airlines Stock: Analyst Perspectives (4 Ratings),3/27/2024 5:00:48 PM
SAVE,7 Dangerous Dividend Stocks to Avoid at All Costs: March 2024,3/18/2024 11:00:00 AM
SAVE,The 3 Most Undervalued Stocks With Solid Fundamentals to Buy in March 2024,3/14/2024 4:30:10 PM
SAVE,"AeroVironment soars to top industrial gainer of week, Encore Wire sees loser tag",3/9/2024 5:35:05 PM
SAVE,Top 3 Industrials That Are Preparing To Pump In Q1,3/8/2024 1:39:13 PM
SAVE,Spirit Airlines dips amid report creditors preparing for potential issues,3/6/2024 9:13:04 PM
SAVE,7 No-Frills Dividend Stocks for Your Must-Own List,3/5/2024 9:08:02 PM
SAVE,Spirit Airlines CEO Says 'We Are Disappointed' After JetBlue Deal Fails,3/4/2024 10:16:11 PM
SAVE,Up In The Air: JetBlue-Spirit Merger Appeals Reach New Heights In Legal Battle,2/26/2024 11:30:56 PM
SAVE,Spirit Airlines goes ex dividend tomorrow,2/21/2024 2:56:54 PM
SAVE,DFS Stock Alert: What to Know as Capital One Acquires Discover Financial,2/20/2024 3:33:05 PM
SAVE,Spirit Airlines (SAVE) Receives a Buy from J.P. Morgan,2/16/2024 10:36:58 PM
SAVE,Icahn may see capital deployment play for JetBlue if Spirit goes away - analyst,2/13/2024 7:35:33 PM
SAVE,Spirit Airlines Strikes Deal for Treasury Share Purchase,2/10/2024 9:58:37 AM
SAVE,Analysts’ Opinions Are Mixed on These Industrial Goods Stocks: Equifax (EFX) and Spirit Airlines (SAVE),2/9/2024 1:10:08 PM
SAVE,Spirit Airlines: Hold Rating Maintained Amidst Q1 Challenges and Transition to Profitability,2/8/2024 9:37:24 PM
SAVE,"Alaska Air, Hawaiian get request for additional from DOJ over deal",2/7/2024 9:39:35 PM
SAVE,"Earnings week ahead: Alibaba, PepsiCo, Disney, Palantir, McDonalds, Ford and more",2/4/2024 1:45:00 PM
SAVE,Spirit Airlines Eyes New Feb. 26 Deadline to Help SAVE Stock Survive,2/2/2024 8:43:17 PM
SAVE,7 Meme Stocks Set to Rebound Before Summer Hits,2/1/2024 10:25:55 PM
SAVE,SAVE Stock Alert: Spirit Airlines Rallies on Hope for Expedited Appeal,1/30/2024 3:31:41 PM
SAVE,Albemarle Layoffs 2024: What to Know About the Latest ALB Job Cuts,1/29/2024 4:44:34 PM
SAVE,"Barron's Weekend Stock Picks: Intel, Coinbase And Spirit Airlines' Stock Is Slipping",1/28/2024 1:37:00 AM
SAVE,"Catalyst watch: Apple earnings, Boeing on the hot seat, FOMC meeting and Amer Sports IPO",1/26/2024 8:00:55 PM
SAVE,Spirit Airlines tumbles after recent gains; Citi says JetBlue deal seems very unlikely,1/24/2024 9:09:53 PM
SAVE,Why 3M Shares Are Trading Lower By Over 12%? Here Are Other Stocks Moving In Tuesday's Mid-Day Session,1/23/2024 8:37:35 PM
SAVE,Why CommScope Shares Are Trading Lower By Around 7%? Here Are Other Stocks Moving In Monday's Mid-Day Session,1/22/2024 7:08:23 PM
SAVE,Weekend Watchlist: 7 Stocks to Track Before Monday’s Opening Bell,1/19/2024 10:10:20 PM
SAVE,Is a Short Squeeze Brewing in Spirit Airlines (SAVE) Stock?,1/18/2024 9:48:34 PM
SAVE,Why Are Stocks Down Today?,1/17/2024 9:34:42 PM
SAVE,Is the Blocked JetBlue Deal a Death Sentence for Spirit Airlines (SAVE) Stock?,1/16/2024 8:55:45 PM
SAVE,"BofA's Mixed Airline Ratings: Upbeat On United's Growth, Cautious On JetBlue's Challenges, Bullish On Delta's Cash Flow",1/9/2024 9:18:00 PM
SAVE,Spirit Airlines Apologizes After 6-year-old Put On Wrong Flight ,12/25/2023 9:46:49 PM
SAVE,Why Is Spirit Airlines (SAVE) Stock Down 10% Today?,12/5/2023 7:21:29 PM
SAVE,Soar Into Savings: Spirit Airlines Unleashes Black & Yellow Friday Bonanza,11/24/2023 7:11:59 PM
SAVE,Spirit Airlines Stock (NYSE:SAVE): Don’t Get Squeezed Into a Bad Trade,11/17/2023 9:45:04 PM
SAVE,SPIRIT AIRLINES CARRY-ON FEE CLASS ACTION SETTLEMENT: CLAIM SUBMISSION NOW OPEN,11/14/2023 2:30:00 PM
