Ticker,Title,Link
ROOT,Root Insurance Partners with Goosehead Insurance to Simplify Insurance Sales for Independent Agents,8/27/2024 2:30:00 PM
ROOT,KBW Reaffirms Their Buy Rating on Root (ROOT),8/16/2024 5:25:54 AM
ROOT,TD Cowen Reaffirms Their Hold Rating on Root (ROOT),8/13/2024 11:17:52 AM
ROOT,Analyzing Root’s Financials: A Delicate Balance Between Growth and Profitability,8/8/2024 10:49:15 AM
ROOT,"Root, Inc. Announces 2024 Second Quarter Results",8/7/2024 10:15:00 PM
ROOT,What Wall Street expects from Root A's earnings,8/6/2024 3:01:13 PM
ROOT,3 Outperforming Stocks Surpassing Even Nvidia This Year,7/25/2024 10:15:00 AM
ROOT,GeneDx Leads Russell 2000 This Year As It Shifts To More Comprehensive Genetic Testing,7/18/2024 7:36:38 PM
ROOT,"Root, Inc. Schedules Conference Call to Discuss Second Quarter 2024 Financial Results",7/16/2024 10:25:01 PM
ROOT,The 3 Best Meme Stocks to Buy in July 2024,7/12/2024 5:37:27 PM
ROOT,Follow the Exit Signs: 3 Bloated Stocks on the Verge of Collapse,7/11/2024 6:49:09 PM
ROOT,MetLife Arm MIM Secures $1.2B for 2nd Private Equity Fund,7/10/2024 7:09:07 PM
ROOT,Root Insurance and Chip Ganassi Racing Reveal Special Livery for Hometown Race,7/1/2024 10:56:49 PM
ROOT,3 Financial Services Stocks to Buy Now: June 2024,6/24/2024 3:59:59 PM
ROOT,Lemonade stock still has a long way to go after last week's bump up,6/23/2024 8:17:00 PM
ROOT,"Up 100% or More in 2024, Is It Too Late to Buy These 3 Stocks?",6/17/2024 1:58:00 PM
ROOT,Small-Cap Sorcerers: 3 Stocks Conjuring Up Magical Returns from Humble Beginnings,6/11/2024 8:48:00 PM
ROOT,Expert Outlook: Root Through The Eyes Of 7 Analysts,6/5/2024 8:00:20 PM
ROOT,"Root, Inc. to Participate in the TD Financial Services & Fintech Summit",6/4/2024 10:05:00 PM
ROOT,IndyCar Driver Marcus Armstrong to Represent Root Insurance at Detroit Grand Prix,5/30/2024 10:05:00 PM
ROOT,"Root, Applied Digital among financial movers",5/17/2024 4:00:07 PM
ROOT,11 Analysts Assess Root: What You Need To Know,5/7/2024 7:01:29 PM
ROOT,"Root, SelectQuote among financial movers",5/2/2024 4:00:04 PM
ROOT,"LendingClub, Axos Financial among financial movers",5/1/2024 4:00:20 PM
ROOT,"Root, Inc. Announces 2024 First Quarter Results",4/30/2024 10:15:00 PM
ROOT,Notable earnings after Tuesday's close,4/29/2024 9:35:36 PM
ROOT,KBW Keeps Their Buy Rating on Root (ROOT),4/24/2024 5:26:19 AM
ROOT,Can You Afford to Ignore These 3 Stocks Up Over 200% in 2024?,4/20/2024 10:58:00 AM
ROOT,"Root, Globe Life among financial movers",4/17/2024 4:00:08 PM
ROOT,Analyst Ratings For Root,4/11/2024 8:01:20 PM
ROOT,"Root, Inc. Schedules Conference Call to Discuss First Quarter 2024 Financial Results",4/10/2024 10:05:00 PM
ROOT,"Root, A-Mark Precious Metals among financial movers",4/8/2024 4:00:02 PM
ROOT,"Hut 8, Root among financial movers",4/5/2024 4:00:09 PM
ROOT,3 Turbocharged Stocks to Buy for the Next S&P 500 All-Time High,3/20/2024 10:30:00 AM
ROOT,"Root, SelectQuote among financial movers",3/19/2024 4:00:04 PM
ROOT,"New York Community Bancorp, Root among financial movers",3/18/2024 4:00:12 PM
ROOT,"Catalyst Watch: Oracle earnings, Arm IPO lockup, and triple-witching day",3/8/2024 8:00:00 PM
ROOT,Why United Natural Foods Shares Are Trading Lower By 15%? Here Are Other Stocks Moving In Wednesday's Mid-Day Session,3/6/2024 7:54:52 PM
ROOT,"Catalyst Watch: Jobs report, Powell treks to Congress, Target earnings and major tech conference",3/1/2024 8:00:00 PM
ROOT,"Root, Banco Macro S.A. among financial movers",2/29/2024 5:00:03 PM
ROOT,"UWM, LendingTree among financial movers",2/28/2024 5:00:09 PM
ROOT,"Marathon Digital, Cleanspark among financial movers",2/26/2024 5:00:22 PM
ROOT,"BIGC, IBRX and VNDA are among after hour movers",2/23/2024 10:39:49 PM
ROOT,Why Etsy Shares Are Trading Lower By Around 8%? Here Are Other Stocks Moving In Thursday's Mid-Day Session,2/22/2024 7:37:59 PM
ROOT,"Root GAAP EPS of -$1.64 beats by $1.20, revenue of $194.8M beats by $67.95M",2/21/2024 11:01:16 PM
ROOT,Notable earnings after Wednesday's close,2/20/2024 10:35:39 PM
ROOT,Why Big Lots Shares Are Trading Lower By Around 31%? Here Are Other Stocks Moving In Monday's Mid-Day Session,2/12/2024 7:07:29 PM
ROOT,"Root, Inc. Schedules Conference Call to Discuss 2023 Fourth Quarter and Full Year Financial Results",2/5/2024 11:13:33 PM
ROOT,Today’s Biggest Pre-Market Stock Movers: 10 Top Gainers and Losers on Friday,12/8/2023 12:27:53 PM
ROOT,"Analysts’ Opinions Are Mixed on These Technology Stocks: Silicon Laboratories (SLAB), Procore Technologies (PCOR) and Root (ROOT)",11/2/2023 3:30:14 AM
ROOT,"Root, Inc. Announces 2023 Third Quarter Results",11/1/2023 9:15:00 PM
ROOT,Here's what Wall Street expects from Root A's earnings report,10/31/2023 3:01:13 PM
ROOT,Root Adds Human Capital Leader to Board with Appointment of Navistar Chief People & Culture Officer,10/26/2023 10:05:00 PM
ROOT,"Root, Inc. Schedules Conference Call to Discuss Third Quarter 2023 Financial Results",10/12/2023 10:17:52 PM
ROOT,Analyst Expectations for Root's Future,10/6/2023 9:00:32 PM
ROOT,"Qudian among financials gainers; Virtu Financial, Root in losers",9/13/2023 4:00:12 PM
ROOT,Citigroup Maintains Neutral Rating for Root: Here's What You Need To Know,8/23/2023 7:01:33 PM
ROOT,"Catalyst Watch: Eyes On Walmart, Cisco, FOMC minutes and 13F filings",8/11/2023 7:00:30 PM
ROOT,Root (ROOT) Receives a Sell from Barclays,8/4/2023 7:56:25 AM
ROOT,"PayPal, Lemonade, TriplePoint Venture Growth BDC among financials losers",8/3/2023 4:02:24 PM
ROOT,Wells Fargo Sticks to Its Hold Rating for Root (ROOT),8/2/2023 11:15:05 PM
ROOT,Root Q2 2023 Earnings Preview,8/1/2023 9:35:38 PM
ROOT,"SoFi Technologies, Industrial Logistics Properties Trust, Root among financials gainers",7/31/2023 4:00:09 PM
ROOT,Root (ROOT) Gets a Sell from Barclays,7/24/2023 11:45:39 AM
ROOT,Why Amarin Shares Are Trading Lower By 23%? Here Are Other Stocks Moving In Wednesday's Mid-Day Session,7/19/2023 7:34:44 PM
ROOT,"Upstart, Root, Lion Group among financials gainers; Leju in losers",7/17/2023 4:00:08 PM
ROOT,"Industrial Logistics among financials gainers; Opendoor Technologies, Redfin in losers",7/5/2023 4:00:14 PM
ROOT,Why Cineverse Shares Are Trading Lower By 18%? Here Are Other Stocks Moving In Friday's Mid-Day Session,6/30/2023 6:34:38 PM
ROOT,Root Inc. tumbles after saying it hasn't received actionable offer,6/29/2023 8:19:11 PM
ROOT,"Opendoor, Redfin among financials gainers; Industrial Logistics Properties in losers",6/28/2023 4:07:33 PM
ROOT,Benzinga's 'Stock Whisper' Index: 5 Stocks Investors Are Secretly Monitoring But Not Talking About Yet,6/23/2023 4:28:33 PM
ROOT,Crude Oil Down Over 4%; Innovative Eyewear Shares Plummet,6/22/2023 8:55:54 PM
ROOT,Wells Fargo Reaffirms Their Hold Rating on Root (ROOT),6/21/2023 11:45:09 PM
ROOT,"Marathon Digital, Riot Platforms top financials losers, Diversified Healthcare leads gainers",6/7/2023 4:00:14 PM
ROOT,"NewtekOne, Alpine Income to be added to Russell 3000; Rocket Companies to be deleted",5/24/2023 6:57:22 PM
ROOT,3 Short-Squeeze Candidates That Could Skyrocket in May,5/22/2023 12:18:35 PM
ROOT,"Lemonade leads financials gainers, Western Alliance in losers",5/4/2023 4:03:32 PM
ROOT,"Root GAAP EPS of -$2.88 beats by $0.77, revenue of $70.1M beats by $5.2M",5/3/2023 9:22:59 PM
ROOT,Root Q1 2023 Earnings Preview,5/2/2023 9:35:36 PM
ROOT,JMP Securities Reaffirms Their Buy Rating on Root (ROOT),4/18/2023 4:25:57 PM
ROOT,Analyst Ratings for Root,4/5/2023 6:00:57 PM
ROOT,"Coinbase, BILL among financial and crypto-related firms revealing SVB, SBNY exposure",3/13/2023 7:41:44 PM
ROOT,7 Stocks With the Highest Short Interest This Week,2/27/2023 3:22:09 PM
ROOT,"Benzinga's Top Ratings Upgrades, Downgrades For February 24, 2023",2/24/2023 4:00:49 PM
ROOT,Analysts Conflicted on These Financial Names: Physicians Realty (DOC) and Root (ROOT),2/23/2023 12:03:32 PM
ROOT,"Root Non-GAAP EPS of -$4.13 beats by $0.75, revenue of $71.3M beats by $3.1M",2/22/2023 9:19:29 PM
ROOT,Root Q4 2022 Earnings Preview,2/21/2023 10:35:07 PM
ROOT,Short squeeze rallies may be firing up again - watch these stocks,2/2/2023 3:14:23 PM
ROOT,"Catalyst watch: Eyes on tech earnings, Chinese EV stocks, Peloton and Church & Dwight",1/27/2023 7:15:05 PM
ROOT,"Nearly half of U.S. consumers shop for life insurance online, undermining agents",1/14/2023 7:49:00 PM
ROOT,Citi adds 9 insurance stocks to coverage; Arthur J. Gallagher is top pick,12/15/2022 7:35:02 PM
ROOT,Why Vallon Pharmaceuticals Shares Are Trading Higher By Over 150%; Here Are 29 Stocks Moving Premarket,12/14/2022 12:30:12 PM
ROOT,Where Root Stands With Analysts,12/12/2022 8:01:00 PM
ROOT,Morgan Stanley Remains a Hold on Root (ROOT),11/22/2022 4:36:14 PM
ROOT,"Benzinga's Top Ratings Upgrades, Downgrades For November 17, 2022",11/17/2022 4:13:37 PM
ROOT,Root trades higher after Q3 earnings beat,11/10/2022 4:46:44 PM
ROOT,"Root, Inc. Announces 2022 Third Quarter Results",11/9/2022 10:16:15 PM
ROOT,Root Q3 2022 Earnings Preview,11/8/2022 10:35:38 PM
ROOT,"Redfin, Pennsylvania REIT among financials gainers",10/31/2022 4:04:34 PM
ROOT,"Root, Inc. CEO and Co-Founder Honored as FinTech Leader",10/20/2022 10:05:00 PM
ROOT,Wells Fargo Remains a Hold on Root (ROOT),10/12/2022 12:45:58 PM
ROOT,"Root, Inc. Schedules Conference Call to Discuss Third Quarter 2022 Financial Results",10/10/2022 10:05:00 PM
ROOT,Root Inc. Unveils No. 45 Toyota Camry Paint Scheme to honor 9/11 victims,9/9/2022 7:39:23 PM
ROOT,"Root, Inc. to Participate in the Barclays Global Financial Services Conference",9/8/2022 10:05:00 PM
ROOT,"Root, Greenidge Generation among financials losers",9/1/2022 4:00:11 PM
ROOT,"HIVE Blockchain tops week's losers, while Nu climbs the most: Financials roundup",8/20/2022 2:19:00 PM
ROOT,This Biotechnology Stock Tumbled 37%; Here Are 70 Biggest Movers From Yesterday,8/19/2022 9:54:35 AM
ROOT,"Why Plus Therapeutics Is Trading Higher By Over 50%, Here Are 50 Stocks Moving In Thursday's Mid-Day Session",8/18/2022 6:54:06 PM
ROOT,Today’s Biggest Pre-Market Stock Movers: 10 Top Gainers and Losers on Monday,8/15/2022 11:30:33 AM
