Ticker,Title,Link
APEI,Truist Financial Remains a Hold on American Public Education (APEI),8/13/2024 11:33:55 AM
APEI,Buy Rating Affirmed on American Public Education with Strong EBITDA Growth and Positive Outlook,8/8/2024 7:35:33 AM
APEI,"Analysts Offer Insights on Consumer Goods Companies: Edgewell Personal Care (EPC), Stride (LRN) and American Public Education (APEI)",8/7/2024 12:52:04 PM
APEI,"American Public Education GAAP EPS of -$0.06 misses by $0.07, revenue of $152.9M misses by $1.19M",8/6/2024 8:04:17 PM
APEI,American earnings preview: what Wall Street is expecting,8/5/2024 3:01:13 PM
APEI,MGM Resorts' BetMGM Expands Reach in Washington DC,7/18/2024 9:39:04 PM
APEI,American Public's APUS Launches TuitionWise Program,7/9/2024 8:55:46 PM
APEI,American Public Education (APEI) Receives a Hold from Truist Financial,5/13/2024 2:25:20 AM
APEI,Andersons and Grand Canyon among Consumer Staples movers,5/8/2024 3:12:47 PM
APEI,American Public Education Q1 2024 Earnings Preview,5/6/2024 9:35:54 PM
APEI,What Analysts Are Saying About American Public Education Stock,3/22/2024 6:01:21 PM
APEI,"HNST, KR among consumer staples movers",3/7/2024 4:05:24 PM
APEI,Why United Natural Foods Shares Are Trading Lower By 15%? Here Are Other Stocks Moving In Wednesday's Mid-Day Session,3/6/2024 7:54:52 PM
APEI,"American Public Education GAAP EPS of $0.64, revenue of $152.8M beats by $2.37M",3/5/2024 9:23:48 PM
APEI,American Public Education Q4 2023 Earnings Preview,3/4/2024 10:35:52 PM
APEI,"DDC, ELF, SHOT among consumer staples movers",2/22/2024 3:45:41 PM
APEI,"DDL, SHOT, GOTU among consumer staples movers",1/29/2024 3:52:55 PM
APEI,3 Stocks to Sidestep in 2024 if Democrats Keep the White House,1/11/2024 1:29:40 PM
APEI,Top 4 Consumer Stocks That You May Want To Dump In Q4,12/14/2023 12:45:17 PM
APEI,Analysts Conflicted on These Consumer Goods Names: Church & Dwight (CHD) and American Public Education (APEI),11/9/2023 2:31:02 AM
APEI,Why Toast Shares Are Trading Lower By Around 17%? Here Are Other Stocks Moving In Wednesday's Mid-Day Session,11/8/2023 7:41:58 PM
APEI,American is about to announce its earnings — here's what to expect,11/6/2023 3:01:14 PM
APEI,American Public Education (APEI) Receives a Buy from Barrington,8/9/2023 2:25:07 PM
APEI,"American Public Education GAAP EPS of -$2.93 misses by $2.62, revenue of $147.2M beats by $0.95M",8/8/2023 8:10:34 PM
APEI,Here's what Wall Street expects from American's earnings,8/7/2023 3:01:13 PM
APEI,Barrington Sticks to Its Buy Rating for American Public Education (APEI),7/6/2023 1:25:41 PM
APEI,"TCS, APEI and TRKA are among consumer movers",6/26/2023 4:53:07 PM
APEI,"RIDE, MULN and APEI are among consumer movers",6/15/2023 4:14:15 PM
APEI,"Benzinga's Top Ratings Upgrades, Downgrades For May 26, 2023",5/26/2023 5:00:38 PM
APEI,Barrington Keeps Their Buy Rating on American Public Education (APEI),5/10/2023 2:45:07 PM
APEI,"American Public Education GAAP EPS of $0.38 beats by $0.83, revenue of $149.7M beats by $0.4M",5/9/2023 8:18:04 PM
APEI,American is about to announce its earnings — here's what Wall Street expects,5/8/2023 3:01:13 PM
APEI,BBBY and APEI among consumer movers,4/20/2023 4:37:21 PM
APEI,Barrington Remains a Buy on American Public Education (APEI),4/18/2023 1:25:07 PM
APEI,Why American Public Education Shares Are Trading Lower By Around 49%? Here Are Other Stocks Moving In Wednesday's Mid-Day Session,3/15/2023 6:20:47 PM
APEI,"American Public Education GAAP EPS of -$0.35 misses by $0.18, revenue of $152.4M misses by $0.23M",3/14/2023 8:03:48 PM
APEI,Barrington Keeps Their Buy Rating on American Public Education (APEI),3/3/2023 5:15:09 PM
APEI,Barrington Reaffirms Their Buy Rating on American Public Education (APEI),11/9/2022 3:15:26 PM
APEI,"American Public Education GAAP EPS of -$0.20 beats by $0.05, revenue of $149.54M beats by $2.92M",11/8/2022 9:11:49 PM
APEI,American is about to announce its earnings — here's what to expect,11/7/2022 3:01:13 PM
APEI,Barrington Keeps Their Buy Rating on American Public Education (APEI),9/23/2022 5:35:08 PM
APEI,"American Public University System and Policy Studies Organization to Host Third Annual Space Education and Strategic Applications Conference on September 22-23, 2022",9/20/2022 10:05:00 PM
APEI,"CoStar Group, Invitation Homes Set to Join S&P 500; Others to Join S&P 100, S&P MidCap 400, and S&P SmallCap 600",9/3/2022 12:59:00 AM
APEI,"CoStar, Invitation Homes jump as they join S&P 500 in index shuffle",9/2/2022 9:53:34 PM
APEI,Why Invitae Climbed Around 279%; Here Are 98 Biggest Movers From Yesterday,8/11/2022 11:28:26 AM
APEI,"American Public Education Non-GAAP EPS of -$0.06 misses by $0.17, revenue of $149.61M misses by $2.52M",8/9/2022 8:54:40 PM
APEI,American is about to announce earnings — here's what Wall Street expects,8/8/2022 3:01:13 PM
APEI,"American Public University System and Policy Studies Organization Announce Keynote Speakers for Third Annual Space Education and Strategic Applications Conference on September 22-23, 2022",5/16/2022 3:00:00 PM
APEI,99 Biggest Movers From Yesterday,5/12/2022 10:29:57 AM
APEI,"Celsius Holdings, Inspired Entertainment among comsumer gainers; Fiverr International leads losers",5/11/2022 4:33:38 PM
APEI,"American Public Education GAAP EPS of $0.28, revenue of $154.7M",5/10/2022 8:59:34 PM
APEI,Here's what Wall Street expects from American's earnings report,5/9/2022 3:01:13 PM
APEI,"American Public Education GAAP EPS of $0.50 beats by $0.15, revenue of $154M beats by $1.9M",3/2/2022 9:36:32 PM
APEI,Here's what Wall Street expects from American's earnings report,3/1/2022 3:01:13 PM
APEI,American Public Education acquires Graduate School USA,1/3/2022 10:02:15 PM
APEI,"American Public Education EPS in-line, beats on revenue",11/8/2021 9:32:46 PM
APEI,Here's what Wall Street expects from American's earnings,11/7/2021 3:01:13 PM
APEI,"Graduate School USA Agrees To Be Acquired By American Public Education, Inc.",8/12/2021 10:27:00 PM
APEI,"American Public Education, Inc. (""APEI"") Signs Agreement to Acquire Graduate School USA",8/11/2021 10:01:00 PM
APEI,American Public Education Reports Second Quarter 2021 Results,8/9/2021 10:01:00 PM
APEI,American is about to announce its earnings — here's what to expect,8/7/2021 3:01:21 PM
APEI,American Public University System Announces Dr. Katherine Zatz as Chairwoman of Board of Trustees,8/6/2021 2:30:00 PM
APEI,American Public Education to Webcast Second Quarter 2021 Results Conference Call,7/19/2021 8:48:00 PM
APEI,The Reverse Logistics Association Recognizes American Public University System Professor,7/12/2021 2:30:00 PM
APEI,American Public University System Celebrates 30th Anniversary Of Educating Those Who Serve,6/14/2021 1:00:00 PM
APEI,56 Biggest Movers From Yesterday,5/12/2021 11:19:27 AM
APEI,45 Stocks Moving In Tuesday's Mid-Day Session,5/11/2021 6:01:57 PM
APEI,"American Public Education EPS beats by $0.08, beats on revenue",5/10/2021 8:04:14 PM
APEI,American earnings: here's what to expect,5/8/2021 3:01:29 PM
APEI,"Benzinga's Top Ratings Upgrades, Downgrades For April 6, 2021",4/6/2021 4:55:38 PM
APEI,Education stocks continue to sell off as sentiment sours,3/29/2021 5:38:45 PM
APEI,"Benzinga's Top Ratings Upgrades, Downgrades For March 17, 2021",3/17/2021 3:40:48 PM
APEI,American Public Education rallies 11% on Q4 estimates beat,3/10/2021 3:17:20 PM
APEI,"American Public Education EPS beats by $0.06, beats on revenue",3/9/2021 9:03:53 PM
APEI,Here's what Wall Street expects from American's earnings report,3/7/2021 3:01:20 PM
APEI,7 Work-From-Home Stocks Still Pulling Their Weight,1/27/2021 5:23:58 PM
APEI,"Benzinga's Top Upgrades, Downgrades For December 18, 2020",12/18/2020 4:10:30 PM
APEI,"American Public Education EPS beats by $0.03,  revenue in-line",11/9/2020 9:05:06 PM
APEI,10 Education Stocks to Buy for the Fall School Season,9/17/2020 3:35:01 PM
APEI,Here's what Wall Street expects from American's earnings,8/9/2020 3:01:32 PM
APEI,Here's what Wall Street expects from American's earnings,5/10/2020 3:01:38 PM
APEI,Spotlight on education stocks as school goes online,3/19/2020 3:47:46 PM
APEI,American is about to announce earnings — here's what Wall Street expects,3/9/2020 3:01:26 PM
APEI,American earnings preview: what Wall Street is expecting,8/4/2019 3:01:57 PM
