Ticker,Title,Link
UFCS,"United Fire Group, Inc. Declares a Common Stock Quarterly Cash Dividend of $0.16 per Share",8/16/2024 8:00:00 PM
UFCS,"Analysts Conflicted on These Financial Names: United Fire Group (UFCS), Upstart Holdings (UPST) and Assurant (AIZ)",8/7/2024 11:27:28 AM
UFCS,"United Fire Group, Inc. Reports Second Quarter 2024 Results",8/6/2024 10:01:00 PM
UFCS,United Fire Group earnings: here's what Wall Street expects,8/5/2024 3:01:13 PM
UFCS,"United Fire Group, Inc. Announces Its 2024 Second Quarter Earnings Call",7/23/2024 9:00:00 PM
UFCS,United Fire Group announces completion of debt offering,6/3/2024 10:01:00 PM
UFCS,"United Fire Group, Inc. Reports on Annual Meeting of Shareholders",5/16/2024 11:00:00 PM
UFCS,"United Fire Group, Inc. Declares a Common Stock Quarterly Cash Dividend of $0.16 per Share",5/15/2024 10:01:00 PM
UFCS,"UFCS Stock Earnings: United Fire Gr Beats EPS, Beats Revenue for Q1 2024",5/8/2024 12:59:49 AM
UFCS,"United Fire Group, Inc. Reports First Quarter 2024 Results",5/7/2024 10:01:00 PM
UFCS,What Wall Street expects from United Fire Group's earnings,5/6/2024 3:01:13 PM
UFCS,"United Fire Group, Inc. Announces Its 2024 First Quarter Earnings Call",4/19/2024 9:00:00 PM
UFCS,Piper Sandler Keeps Their Sell Rating on United Fire Group (UFCS),4/1/2024 11:06:47 AM
UFCS,Insiders Buying United Fire Group And 3 Other Stocks,3/15/2024 1:59:42 PM
UFCS,"United Fire Group, Inc. Declares a Common Stock Quarterly Cash Dividend of $0.16 per Share",2/23/2024 10:01:00 PM
UFCS,Why Sony Shares Are Trading Lower By Around 6%? Here Are Other Stocks Moving In Wednesday's Mid-Day Session,2/14/2024 7:18:53 PM
UFCS,"United Fire Group, Inc. Reports Fourth Quarter and Full Year 2023 Results",2/13/2024 10:01:00 PM
UFCS,Here's what Wall Street expects from United Fire Group's earnings,2/12/2024 3:01:13 PM
UFCS,"United Fire Group, Inc. Announces Its 2023 Fourth Quarter Earnings Call",1/30/2024 10:00:00 PM
UFCS,"How EVs, High-Tech Vehicles Are Fueling Surge In Insurance Stocks",1/25/2024 7:49:46 PM
UFCS,UFG Appoints Kelly Walsh Chief Underwriting Officer,12/15/2023 3:00:00 PM
UFCS,"United Fire Group, Inc. Declares a Common Stock Quarterly Cash Dividend of $0.16 per Share",11/17/2023 10:01:00 PM
UFCS,"United Fire Group, Inc. Reports Third Quarter 2023 Results",11/1/2023 9:01:00 PM
UFCS,Here's what Wall Street expects from United Fire Group's earnings report,10/31/2023 3:01:13 PM
UFCS,"United Fire Group, Inc. Announces Its 2023 Third Quarter Earnings Call",10/12/2023 10:00:00 PM
UFCS,Ticking Time Bombs: 3 Nasdaq Stocks to Dump Before the Damage Is Done,9/30/2023 8:19:40 PM
UFCS,"United Fire Group, Inc. Declares a Common Stock Quarterly Cash Dividend of $0.16 per Share",8/18/2023 11:01:00 PM
UFCS,Top 5 Financial Stocks You'll Regret Missing This Quarter,8/17/2023 1:33:28 PM
UFCS,United Fire Group (UFCS) Gets a Sell from Piper Sandler,8/8/2023 12:55:35 PM
UFCS,United Fire Group earnings: here's what to expect,8/6/2023 3:01:13 PM
UFCS,Why Aaron's Shares Are Trading Lower By Over 9%? Here Are Other Stocks Moving In Tuesday's Mid-Day Session,8/1/2023 9:05:37 PM
UFCS,United Fire declares $0.16 dividend,5/17/2023 8:40:30 PM
UFCS,"Analysts’ Opinions Are Mixed on These Financial Stocks: Howard Hughes (HHC), United Fire Group (UFCS) and SoFi Technologies (SOFI)",5/9/2023 11:50:44 AM
UFCS,"United Fire Non-GAAP EPS of $0.08 misses by $0.45, revenue of $267.1M beats by $8.5M",5/8/2023 8:36:24 PM
UFCS,United Fire Group earnings: here's what Wall Street expects,5/7/2023 3:01:13 PM
UFCS,United Fire declares $0.16 dividend,2/24/2023 9:07:20 PM
UFCS,"Hercules Capital among financials gainers, Opendoor Technologies in losers pack",2/17/2023 5:00:28 PM
UFCS,"United Fire Non-GAAP EPS of $0.18 misses by $0.18, revenue of $280.16M beats by $25.56M",2/15/2023 9:17:06 PM
UFCS,United Fire Group earnings: here's what to expect,2/14/2023 3:01:13 PM
UFCS,Why Frequency Therapeutics Are Trading Lower By 82%? Here Are Other Stocks Moving In Monday's Mid-Day Session,2/13/2023 8:12:02 PM
UFCS,UFG Insurance gets new operations chief,1/5/2023 2:21:09 PM
UFCS,"United Fire Group, Inc. Declares a Common Stock Quarterly Cash Dividend of $0.16 per Share",11/18/2022 10:01:00 PM
UFCS,"United Fire Group, Inc. Reports Third Quarter 2022 Results",11/2/2022 9:01:00 PM
UFCS,Here's what Wall Street expects from United Fire Group's earnings,11/1/2022 3:01:13 PM
UFCS,"Weibo, XPeng, Li Auto And Other Big Losers From Friday",10/31/2022 10:44:18 AM
