Ticker,Title,Link
EAF,"EAF Stock Earnings: GrafTech International Beats EPS, Beats Revenue for Q2 2024",7/26/2024 2:53:05 PM
EAF,GrafTech International Q2 2024 Earnings Preview,7/25/2024 5:51:21 PM
EAF,J.P. Morgan downgrades GrafTech International (EAF) to a Sell,7/22/2024 12:19:35 PM
EAF,"GrafTech cut at JPM on continued oversupply, lack of catalysts into next year",7/16/2024 6:34:18 PM
EAF,Microcap to Midcap: 3 Stocks Under $3 Poised for Massive Breakouts,7/5/2024 5:28:26 PM
EAF,3 Under-$15 Stocks Predicted to Triple by 2026: June Edition,6/17/2024 1:10:17 PM
EAF,GrafTech shares surge on steady stream of insider purchases,5/21/2024 6:11:20 PM
EAF,"Analysts’ Opinions Are Mixed on These Industrial Goods Stocks: VSE (VSEC), Fortune Brands Innovations (FBIN) and GrafTech International (EAF)",5/3/2024 1:51:12 AM
EAF,7 Penny Stocks With the Potential to Make You an Overnight Millionaire,5/1/2024 8:30:00 PM
EAF,Analysts Offer Insights on Industrial Goods Companies: GrafTech International (EAF) and Saia (SAIA),4/29/2024 11:29:25 AM
EAF,"EAF Stock Earnings: GrafTech International Beats EPS, Beats Revenue for Q1 2024",4/26/2024 2:52:51 PM
EAF,Notable earnings before Friday's open,4/25/2024 3:01:30 PM
EAF,"Roblox, TAL Education And Other Big Stocks Moving Higher On Wednesday",4/10/2024 4:56:12 PM
EAF,"GrafTech holder Nilesh Undavia issues open letter, seeks board changes (update)",3/13/2024 3:06:00 PM
EAF,Beyond The Numbers: 4 Analysts Discuss GrafTech International Stock,2/16/2024 7:00:14 PM
EAF,"Analysts’ Opinions Are Mixed on These Industrial Goods Stocks: GrafTech International (EAF), Global Payments (GPN) and Waste Connections (WCN)",2/15/2024 12:10:38 PM
EAF,GrafTech to cut graphite electrode capacity amid weak demand,2/14/2024 1:53:22 PM
EAF,GrafTech International Q4 2023 Earnings Preview,2/13/2024 4:33:31 PM
EAF,RBC Capital Remains a Hold on GrafTech International (EAF),2/8/2024 1:56:40 AM
EAF,GrafTech International (EAF) Gets a Hold from RBC Capital,1/16/2024 1:47:57 AM
EAF,Why WD-40 Shares Are Trading Higher By Over 17%? Here Are Other Stocks Moving In Wednesday's Mid-Day Session,1/10/2024 7:06:19 PM
EAF,GrafTech International (EAF) Receives a Hold from RBC Capital,12/22/2023 1:48:12 AM
EAF,Top 5 Industrials Stocks Which Could Rescue Your Portfolio This Quarter,12/19/2023 1:14:31 PM
EAF,GrafTech International (EAF) Gets a Hold from RBC Capital,11/17/2023 1:48:34 AM
EAF,"Analysts Are Neutral on Top Materials Stocks: Russel Metals (RUSMF), GrafTech International (EAF)",11/7/2023 1:50:59 AM
EAF,Hold Rating on GrafTech International Amid Mixed Market Factors and Anticipated Recovery in 2024,11/6/2023 12:49:08 PM
EAF,Why Fortinet Shares Are Trading Lower By Around 17%? Here Are Other Stocks Moving In Friday's Mid-Day Session,11/3/2023 6:26:12 PM
EAF,"Steelcase, Western Digital, Bausch Health And Other Big Stocks Moving Higher On Wednesday",9/20/2023 4:54:07 PM
EAF,GrafTech International (EAF) Gets a Hold from RBC Capital,8/16/2023 1:46:29 AM
EAF,GrafTech International (EAF) Receives a Hold from RBC Capital,8/9/2023 1:46:36 AM
EAF,Analysts Offer Insights on Materials Companies: Corteva (CTVA) and GrafTech International (EAF),8/7/2023 11:20:40 AM
EAF,Analysts see further oil price gains possible after latest production curbs,8/4/2023 11:00:55 PM
EAF,GrafTech International Q2 2023 Earnings Preview,8/3/2023 6:21:21 PM
EAF,"WD-40, Shutterstock And Other Big Stocks Moving Higher On Tuesday",7/11/2023 4:40:33 PM
EAF,"Nucor, Steel Dynamics slide as J.P. Morgan initiates at Sell equivalent",5/23/2023 7:54:16 PM
EAF,GrafTech International declares $0.01 dividend,5/10/2023 8:48:23 PM
EAF,RBC Capital Sticks to Their Hold Rating for GrafTech International (EAF),5/9/2023 4:26:04 PM
EAF,RBC Capital Remains a Hold on GrafTech International (EAF),5/2/2023 1:46:11 AM
EAF,GrafTech tumbles after swinging to Q1 loss; sales plunge 62%,5/1/2023 7:35:10 PM
EAF,Analysts Offer Insights on Industrial Goods Companies: Saia (SAIA) and GrafTech International (EAF),4/30/2023 1:20:19 PM
EAF,"GrafTech International Non-GAAP EPS of -$0.02 misses by $0.01, revenue of $138.8M beats by $15.8M",4/28/2023 10:54:41 AM
EAF,GrafTech International Q1 2023 Earnings Preview,4/27/2023 5:15:34 PM
EAF,GrafTech International declares $0.01 dividend,2/9/2023 10:40:16 PM
EAF,Citigroup Maintains Neutral Rating for GrafTech International: Here's What You Need To Know,2/7/2023 6:00:37 PM
EAF,Wall Street Analysts Are Neutral on Top Industrial Goods Picks,2/6/2023 12:12:24 PM
EAF,GrafTech stock slides after it issues grim 2023 outlook,2/3/2023 6:40:24 PM
EAF,Notable earnings before Friday's open,2/2/2023 3:29:38 PM
EAF,"Analysts Offer Insights on Industrial Goods Companies: Emerson Electric Company (EMR), Liberty Oilfield Services (LBRT) and GrafTech International (EAF)",11/24/2022 1:51:16 AM
EAF,Why Drive Shack Shares Jumped Over 23%; Here Are 76 Biggest Movers From Yesterday,11/22/2022 9:49:21 AM
EAF,Where GrafTech International Stands With Analysts,11/21/2022 10:01:23 PM
EAF,GrafTech International declares $0.01 dividend,11/10/2022 9:40:49 PM
EAF,RBC Capital Maintains Sector Perform Rating for GrafTech International: Here's What You Need To Know,11/8/2022 5:21:15 PM
EAF,"GrafTech International Non-GAAP EPS of $0.37 beats by $0.01, revenue of $303.84M misses by $49.16M",11/4/2022 10:43:26 AM
EAF,GrafTech International Q3 2022 Earnings Preview,11/3/2022 5:26:59 PM
EAF,"Pre-market Movers: LVWR, NXPL, MYOV, AMV, FNGR… ",10/3/2022 1:06:21 PM
EAF,GrafTech -9% after Mexico suspends graphite electrode plant,9/19/2022 4:23:51 PM
EAF,GrafTech International declares $0.01 dividend,8/18/2022 8:36:13 PM
EAF,Expert Ratings for GrafTech International,8/9/2022 7:04:17 PM
EAF,"GrafTech Stock Slips On Q2 Revenue Miss, Warning On Challenging Operating Environment",8/5/2022 7:33:14 PM
EAF,GrafTech International Q2 2022 Earnings Preview,8/4/2022 5:49:49 PM
EAF,RBC Capital Downgrades GrafTech - Read Why,7/13/2022 9:07:38 PM
EAF,"Benzinga's Top Ratings Upgrades, Downgrades For June 7, 2022",6/7/2022 4:14:59 PM
EAF,GrafTech International declares $0.01 dividend,5/12/2022 8:38:01 PM
EAF,"GrafTech International Non-GAAP EPS of $0.48 beats by $0.03, revenue of $366.25M misses by $11.75M",5/6/2022 10:46:07 AM
EAF,GrafTech International Q1 2022 Earnings Preview,5/5/2022 3:38:56 PM
EAF,ACHR and ALPP among industrial movers,2/4/2022 5:46:05 PM
EAF,GrafTech International Q4 2021 Earnings Preview,2/3/2022 6:50:16 PM
EAF,GrafTech International declares $0.01 dividend,2/2/2022 9:36:22 PM
EAF,92 Biggest Movers From Friday,11/8/2021 9:42:50 AM
EAF,APT and TPIC among industrial movers,11/5/2021 6:02:48 PM
EAF,Notable earnings before Friday's open,11/4/2021 3:16:21 PM
EAF,"GrafTech International EPS beats by $0.05, beats on revenue",8/6/2021 10:53:24 AM
EAF,GrafTech International declares $0.01 dividend,8/4/2021 9:22:11 PM
EAF,"ArcelorMittal, Canada plan C$1.77B spending on decarbonization",7/30/2021 2:56:22 PM
EAF,"GrafTech Finance, Inc. -- Moody's announces completion of a periodic review of ratings of GrafTech Finance, Inc.",7/22/2021 4:36:00 PM
EAF,"Plenty of upside left for steel stocks, Credit Suisse analyst says",7/7/2021 7:13:50 PM
EAF,GrafTech tumbles as Brookfield to launch 20M-share secondary offering,5/24/2021 9:15:48 PM
EAF,"Benzinga's Top Ratings Upgrades, Downgrades For May 13, 2021",5/13/2021 4:03:08 PM
EAF,Stocks That Hit 52-Week Highs On Monday,5/10/2021 5:26:20 PM
EAF,"GrafTech International down 5% post Q1 results, weak margins",5/5/2021 4:11:12 PM
EAF,GrafTech International Q1 2021 Earnings Preview,5/4/2021 5:19:21 PM
EAF,What Wall Street expects from GrafTech International's earnings,5/3/2021 3:01:44 PM
EAF,GrafTech International trades lower after launching secondary offering,3/2/2021 2:20:23 PM
EAF,GrafTech upped at Citi as way to benefit from improving steel market,2/8/2021 8:43:59 PM
EAF,"GrafTech International EPS beats by $0.05, beats on revenue",2/5/2021 12:11:31 PM
EAF,GrafTech International Q4 2020 Earnings Preview,2/4/2021 6:17:55 PM
EAF,What Wall Street expects from GrafTech International's earnings,2/3/2021 3:02:05 PM
EAF,54 Biggest Movers From Friday,1/19/2021 11:26:25 AM
EAF,35 Stocks Moving In Friday's Mid-Day Session,1/15/2021 6:12:08 PM
EAF,6 Stocks Moving In Thursday's After-Hours Session,1/14/2021 11:42:59 PM
EAF,"MESO, EAF, RC and MDWD among after-hours movers",12/14/2020 10:44:25 PM
EAF,GrafTech International prices senior notes private offering of $500M,12/8/2020 6:11:02 PM
EAF,GrafTech launches $500M secured debt offering,12/7/2020 12:55:28 PM
EAF,"GrafTech International EPS misses by $0.01, beats on revenue",11/3/2020 11:46:30 AM
EAF,GrafTech International Q3 2020 Earnings Preview,11/2/2020 6:06:03 PM
