Ticker,Title,Link
ZYXI,Zynex Receives FDA Clearance For New TensWave Device ,9/3/2024 4:36:07 PM
ZYXI,COIN Stock: OpenAI Exec Joins Coinbase’s Board of Directors,7/26/2024 2:18:53 PM
ZYXI,"Zynex GAAP EPS of $0.04 misses by $0.04, revenue of $49.88M misses by $2.21M",7/25/2024 8:05:14 PM
ZYXI,Zynex Q2 2024 Earnings Preview,7/24/2024 9:35:39 PM
ZYXI,All You Need to Know About Zynex Rating Upgrade to Buy,6/26/2024 9:27:15 PM
ZYXI,3 Short-Squeeze Stocks Poised for a Jaw-Dropping Rally,6/24/2024 10:00:00 AM
ZYXI,Analyst Predictions: 3 Stocks Pegged to Soar Over 40% in One Year,6/19/2024 10:00:00 AM
ZYXI,"Catalyst Watch: Disney earnings, Apple iPad event and Fed speakers back on the circuit",5/3/2024 7:00:00 PM
ZYXI,"Analysts Offer Insights on Healthcare Companies: Eli Lilly & Co (LLY), Exelixis (EXEL) and Zynex (ZYXI)",5/1/2024 10:42:18 AM
ZYXI,"Zynex GAAP EPS of $0.00 misses by $0.03, revenue of $46.53M misses by $1.16M",4/30/2024 8:21:36 PM
ZYXI,Notable earnings after Tuesday's close,4/29/2024 9:35:36 PM
ZYXI,RBC Capital Remains a Buy on Zynex (ZYXI),4/17/2024 7:59:31 AM
ZYXI,3 Industrial Stocks Short Sellers Are Hammering: Cracks in the Foundation?,4/2/2024 6:58:16 PM
ZYXI,Zynex (ZYXI) Receives a Buy from RBC Capital,3/8/2024 12:27:41 PM
ZYXI,RBC Capital Remains a Buy on Zynex (ZYXI),3/1/2024 12:27:41 PM
ZYXI,"ADSK, NTAP and RILY are among after hour movers",2/29/2024 10:14:08 PM
ZYXI,Zynex Q4 2023 Earnings Preview,2/28/2024 10:35:36 PM
ZYXI,Zynex Says FDA Clears M-Wave Neuromuscular Electrical Stimulation Device ,2/6/2024 3:25:55 PM
ZYXI,3 Unloved Growth Stocks Poised for a Major Turnaround,1/28/2024 6:27:19 PM
ZYXI,Analysts Offer Insights on Healthcare Companies: Zynex (ZYXI) and Privia Health Group (PRVA),1/16/2024 2:02:24 AM
ZYXI,Zynex To Buy Back Up To $20 Mln Of Common Stock ,11/1/2023 2:49:19 PM
ZYXI,RBC Capital Reaffirms Their Buy Rating on Zynex (ZYXI),10/27/2023 10:38:07 AM
ZYXI,Here's what Wall Street expects from Zynex's earnings,10/25/2023 3:01:13 PM
ZYXI,"Benzinga's Top Ratings Upgrades, Downgrades For October 16, 2023",10/16/2023 5:00:44 PM
ZYXI,3 Micro-Cap Stocks to Sell While You Still Can,10/6/2023 1:00:03 PM
ZYXI,Zynex To Repurchase $10 Mln Of Shares; Stock Up Over 6% ,9/11/2023 3:46:49 PM
ZYXI,"Catalyst Watch: Arm IPO, Apple event, and Senate AI Forum with Musk, Zuckerberg, and Gates",9/8/2023 7:00:57 PM
ZYXI,"Blackstone and Airbnb Set to Join S&P 500; Others to Join S&P 100, S&P MidCap 400 and S&P SmallCap 600",9/2/2023 12:51:00 AM
ZYXI,"Airbnb, Blackstone rise on joining S&P 500 index",9/1/2023 10:33:42 PM
ZYXI,Analysts Offer Insights on Healthcare Companies: Zynex (ZYXI) and Arcutis Biotherapeutics (ARQT),7/28/2023 12:10:22 PM
ZYXI,"Zynex GAAP EPS of $0.09 beats by $0.05, revenue of $44.95M beats by $0.29M",7/27/2023 9:05:40 PM
ZYXI,Zynex Q2 2023 Earnings Preview,7/26/2023 9:35:31 PM
ZYXI,Zynex reaffims FY23 EPS $0.40-$0.50 vs. consensus $0.45,7/12/2023 2:24:31 PM
ZYXI,Zynex receives FDA clearance for CM-1600 fluid monitor,6/20/2023 6:03:58 PM
ZYXI,"Catalyst watch: Powell testifies to Congress, Microsoft-Activision Blizzard hearing and Dollar Tree event",6/16/2023 7:00:31 PM
ZYXI,Zynex Plans New $10M Stock Buyback Program,6/14/2023 6:24:22 PM
ZYXI,"7 Stocks With 1,000% Upside Potential",5/30/2023 10:34:32 PM
ZYXI,Zynex prices upsized $52M senior notes offering,5/5/2023 7:26:40 AM
ZYXI,Why Synaptics Shares Are Trading Lower By 17%? Here Are Other Stocks Moving In Thursday's Mid-Day Session,5/4/2023 9:03:41 PM
ZYXI,Ryerson says selling stockholders to offer 2.6M shares,5/3/2023 10:00:51 PM
ZYXI,The Latest Analyst Ratings for Zynex,4/28/2023 9:00:25 PM
ZYXI,"Zynex GAAP EPS of $0.04 beats by $0.03, revenue of $42.17M beats by $2.56M",4/27/2023 8:57:32 PM
ZYXI,Zynex earnings: here's what to expect,4/26/2023 3:01:13 PM
ZYXI,7 Small-Cap Stocks With Big Potential,4/20/2023 5:42:20 PM
ZYXI,"Analysts Offer Insights on Healthcare Companies: BeiGene (BGNE), Zynex (ZYXI) and Legend Biotech (LEGN)",4/12/2023 10:24:12 AM
ZYXI,Zynex gains 4.5% on record order growth,4/11/2023 1:35:05 PM
ZYXI,"ROSEN, A LEADING NATIONAL FIRM, Encourages Zynex, Inc. Investors to Inquire About Class Action Investigation - ZYXI",3/31/2023 1:06:00 AM
ZYXI,"ROSEN, LEADING INVESTOR COUNSEL, Encourages Zynex, Inc. Investors with Losses to Inquire About Class Action Investigation - ZYXI",3/15/2023 1:45:00 AM
ZYXI,H.C. Wainwright Sticks to Its Buy Rating for Zynex (ZYXI),3/14/2023 4:55:05 PM
ZYXI,Why Bank Shares Are Trading Lower? Here Are Other Stocks Moving In Monday's Mid-Day Session,3/13/2023 6:22:23 PM
ZYXI,Why Rivian Automotive Shares Are Trading Lower By Over 10%? Here Are Other Stocks Moving In Tuesday's Mid-Day Session,3/7/2023 7:02:26 PM
ZYXI,"VOD, ACAD and BLUE are among after hour movers",3/6/2023 10:01:40 PM
ZYXI,Notable earnings after Monday's close,3/5/2023 10:35:14 PM
ZYXI,Zynex leases new facility for meeting ZMS growth,2/21/2023 3:17:31 PM
ZYXI,Top 5 Health Care Stocks That Could Blast Off This Month,2/13/2023 2:28:08 PM
ZYXI,"Analysts’ Opinions Are Mixed on These Healthcare Stocks: Zynex (ZYXI), Sutro Biopharma (STRO) and Amryt Pharma (AMYT)",1/18/2023 11:20:44 AM
ZYXI,Why Spruce Biosciences Shares Are Trading Higher By 100%? Here Are Other Stocks Moving In Friday's Mid-Day Session,1/6/2023 7:16:03 PM
ZYXI,Zynex announces additional $10M share buyback plan,11/1/2022 1:23:06 PM
ZYXI,"ALNY Reiterates Guidance, TVTX Loss Widens, DXCM Paints Rosy Outlook ",10/28/2022 3:36:23 PM
ZYXI,"Zynex GAAP EPS of $0.13, revenue of $41.52M",10/27/2022 8:29:14 PM
ZYXI,Notable earnings after Thursday's close,10/26/2022 9:35:37 PM
ZYXI,7 Under-the-Radar Growth Stocks With 200% Growth Potential,10/17/2022 4:04:15 PM
ZYXI,"Analysts Offer Insights on Healthcare Companies: Zynex (ZYXI), Cabaletta Bio (CABA) and Kinnate Biopharma (KNTE)",10/12/2022 10:21:19 AM
ZYXI,"Zynex reports record order growth in Q3, reaffirms guidance",10/11/2022 1:29:46 PM
ZYXI,Zynex begins enrollment in blood loss detection trial for CM-1600 monitoring system,9/21/2022 2:00:27 PM
ZYXI,7 Hot Small-Cap Stocks to Buy in September,9/2/2022 10:45:17 AM
ZYXI,"Zynex stock soars 12% as Q2 revenue grows Y/Y, maintains FY22 outlook",7/29/2022 3:57:26 PM
ZYXI,"Zynex GAAP EPS, revenue beat estimates, reaffirms 2022 guidance",7/28/2022 8:06:50 PM
ZYXI,Zynex Q2 2022 Earnings Preview,7/27/2022 9:35:07 PM
