Ticker,Title,Link
VABK,Virginia National Bankshares declares $0.33 dividend,7/25/2024 8:05:14 PM
VABK,"Virginia National Bankshares GAAP EPS of $0.77, revenue of $12.87M",7/22/2024 7:38:17 PM
VABK,VABK Stock Earnings: Virginia Ntl Bankshares Reported Results for Q2 2024,7/20/2024 1:53:01 AM
VABK,Virginia National Bankshares declares $0.33 dividend,5/24/2024 8:03:46 PM
VABK,VABK Stock Earnings: Virginia Ntl Bankshares Reported Results for Q1 2024,4/23/2024 5:53:09 PM
VABK,Virginia National Bankshares declares $0.33 dividend,2/29/2024 11:21:08 PM
VABK,Virginia National Q4 Profit Down ,1/26/2024 6:00:35 PM
VABK,VIRGINIA NATIONAL BANKSHARES CORPORATION ANNOUNCES QUARTERLY CASH DIVIDEND,11/20/2023 10:05:00 PM
VABK,Virginia National Bankshares Q3 Profit Declines ,10/20/2023 3:43:40 PM
VABK,Virginia National Bankshares declares $0.33 dividend,7/28/2023 6:15:48 AM
VABK,VIRGINIA NATIONAL BANKSHARES CORPORATION ANNOUNCES QUARTERLY CASH DIVIDEND,7/27/2023 10:05:00 PM
VABK,"Virginia National Bankshares GAAP EPS of $1.05, revenue of $15.75M",7/17/2023 8:44:06 PM
VABK,VIRGINIA NATIONAL BANKSHARES CORPORATION ANNOUNCES QUARTERLY CASH DIVIDEND,5/25/2023 10:16:00 PM
VABK,"NewtekOne, Alpine Income to be added to Russell 3000; Rocket Companies to be deleted",5/24/2023 6:57:22 PM
VABK,VIRGINIA NATIONAL BANKSHARES CORPORATION ANNOUNCES FIRST QUARTER 2023 EARNINGS,4/18/2023 2:45:00 PM
VABK,VIRGINIA NATIONAL BANKSHARES CORPORATION ANNOUNCES INCREASE IN QUARTERLY CASH DIVIDEND,2/24/2023 3:34:00 PM
VABK,"BTCS among financials gainers, Synchrony Financial, Bread Financial in losers pack",2/1/2023 5:00:05 PM
VABK,VIRGINIA NATIONAL BANKSHARES CORPORATION ANNOUNCES RECORD 2022 FOURTH QUARTER AND RECORD FULL YEAR EARNINGS,1/31/2023 10:15:00 PM
VABK,VIRGINIA NATIONAL BANKSHARES CORPORATION ANNOUNCES CASH DIVIDEND,12/8/2022 2:30:00 PM
VABK,VIRGINIA NATIONAL BANKSHARES CORPORATION ANNOUNCES THIRD QUARTER 2022 EARNINGS,10/27/2022 2:20:00 PM
VABK,VIRGINIA NATIONAL BANKSHARES CORPORATION ANNOUNCES SECOND QUARTER 2022 EARNINGS,7/29/2022 2:42:00 PM
VABK,VIRGINIA NATIONAL BANKSHARES CORPORATION ANNOUNCES CASH DIVIDEND,5/26/2022 2:30:00 PM
VABK,"Virginia National Bankshares GAAP EPS of $0.92, revenue of $16.21M",4/28/2022 9:33:48 PM
VABK,VIRGINIA NATIONAL BANKSHARES CORPORATION ANNOUNCES CASH DIVIDEND,3/3/2022 10:08:00 PM
VABK,"Virginia National Bankshares Non-GAAP EPS of $0.87, revenue of $15.39M",2/18/2022 10:36:31 PM
VABK,Virginia National Bank Names New President,1/11/2022 7:30:00 PM
VABK,Virginia National Bankshares declares $0.30 dividend,12/14/2021 9:23:48 PM
VABK,Virginia National Bankshares Corporation Announces Third Quarter Financial Results And Availability Of Dividend Reinvestment Plan,10/29/2021 10:21:00 PM
VABK,Virginia National Bankshares Corporation Announces Second Quarter Financial Results And Availability Of Dividend Reinvestment Plan,8/5/2021 10:15:00 PM
VABK,Virginia National Bankshares declares $0.30 dividend,5/28/2021 8:10:10 PM
VABK,Virginia National Bankshares reports Q1 results,4/30/2021 1:28:23 PM
VABK,"Virginia National Bankshares Corporation Completes Merger with Fauquier Bankshares, Inc.",4/1/2021 2:30:00 PM
VABK,"Shareholders of Virginia National Bankshares Corporation and Fauquier Bankshares, Inc. Approve Merger",3/26/2021 1:30:00 PM
VABK,Virginia National Bankshares Corporation Announces Cash Dividend,3/2/2021 2:40:00 PM
VABK,Virginia National Bankshares Corporation Announces Full Year and Fourth Quarter Financial Results,1/22/2021 2:30:00 PM
VABK,Virginia National Bankshares Corporation Announces Cash Dividend,12/15/2020 10:06:37 PM
VABK,Virginia National Bankshares Corporation Announces Third Quarter Financial Results  ,10/26/2020 9:05:10 PM
VABK,OTC Markets Group Announces the 2018 OTCQX Best 50,1/24/2018 1:00:00 PM
