Ticker,Title,Link
RRBI,"Red River Bancshares, Inc. Announces Private Stock Repurchase and Amendment of Repurchase Program",8/8/2024 10:30:00 PM
RRBI,"Red River Bancshares GAAP EPS of $1.16, revenue of $26.90M",7/26/2024 9:24:26 PM
RRBI,"Red River Bancshares, Inc. Announces Quarterly Cash Dividend",7/25/2024 10:30:00 PM
RRBI,"Red River Bancshares, Inc. Announces Quarterly Cash Dividend",5/23/2024 10:30:00 PM
RRBI,"Red River Bancshares, Inc. Grieves Loss of Director Robert A. Nichols",5/9/2024 3:30:00 PM
RRBI,"Red River Bancshares GAAP EPS of $1.16, revenue of $26.29M",4/26/2024 2:16:44 PM
RRBI,"Red River Bancshares, Inc. Reports First Quarter 2024 Financial Results",4/25/2024 10:30:00 PM
RRBI,"Red River Bancshares, Inc. Announces Increased Quarterly Cash Dividend",2/22/2024 10:45:00 PM
RRBI,"Red River Bancshares GAAP EPS of $1.16 beats by $0.17, revenue of $26.48M beats by $1.04M",1/30/2024 4:11:18 PM
RRBI,"Red River Bancshares, Inc. Board of Directors Elects Michael J. Brown as New Director",1/25/2024 10:30:00 PM
RRBI,"Red River Bancshares, Inc. Announces Renewal of Stock Repurchase Program",12/14/2023 11:00:00 PM
RRBI,"Red River Bancshares, Inc. Reports Third Quarter 2023 Financial Results",10/30/2023 1:30:00 PM
RRBI,"Red River Bancshares, Inc. Announces Quarterly Cash Dividend",10/26/2023 10:45:00 PM
RRBI,"Red River Bancshares GAAP EPS of $1.25, revenue of $27.52M",7/28/2023 6:41:11 PM
RRBI,Red River Bancshares declares $0.08 dividend,5/25/2023 8:43:42 PM
RRBI,"Red River Bancshares GAAP EPS of $1.33 beats by $0.02, revenue of $27.2M misses by $0.55M",4/28/2023 8:13:45 PM
RRBI,Red River Bancshares raises dividend by 14% to $0.08,2/23/2023 10:26:47 PM
RRBI,"Red River Bancshares GAAP EPS of $1.42 beats by $0.09, revenue of $28.29M beats by $0.15M",1/30/2023 2:04:38 PM
RRBI,"Red River Bancshares, Inc. Announces  Quarterly Cash Dividend",11/17/2022 10:30:00 PM
RRBI,"Red River Bancshares, Inc. Announces Renewal of Stock Repurchase Program",11/4/2022 9:45:00 PM
RRBI,"Red River Bancshares, Inc. Reports Third Quarter 2022 Financial Results",10/28/2022 2:30:00 PM
RRBI,"Red River Bancshares, Inc. Announces Quarterly Cash Dividend",8/25/2022 10:30:00 PM
RRBI,"Red River Bank Opens First New Orleans, Louisiana, Banking Center",8/1/2022 5:00:00 PM
RRBI,"Red River Bancshares, Inc. Reports Second Quarter 2022 Financial Results",7/29/2022 2:30:00 PM
RRBI,"Red River Bank Holds Ribbon Cutting for Lafayette, Louisiana, Banking Center",6/8/2022 8:15:00 PM
RRBI,"Red River Bancshares, Inc. Announces Quarterly Cash Dividend",5/26/2022 10:30:00 PM
RRBI,"Red River Bancshares, Inc. Reports First Quarter 2022 Financial Results",4/29/2022 2:45:00 PM
RRBI,"Red River Bank Announces Locations of Planned Banking Centers in New Orleans, Louisiana",3/16/2022 3:00:00 PM
RRBI,"Red River Bancshares, Inc. Announces Changes to its Board of Directors",2/24/2022 10:30:00 PM
RRBI,"Red River Bancshares, Inc. Announces Renewal of Stock Repurchase Program",2/4/2022 2:30:00 PM
RRBI,"Red River Bancshares, Inc. Reports Fourth Quarter and Year-End 2021 Financial Results",1/28/2022 2:30:00 PM
RRBI,"Red River Bank Opens Newest Banking Center in Lafayette, Louisiana",1/27/2022 4:15:00 PM
RRBI,"Red River Bancshares, Inc. Mourns Death of Longtime Board Member Barry D. Hines",12/28/2021 7:30:00 PM
RRBI,"Red River Bank Enters New Orleans, Louisiana, Market with Combined Loan and Deposit Production Office",12/14/2021 3:55:00 PM
