Ticker,Title,Link
PLBC,Plumas Bank Releases 2024 Corporate Citizenship Report,9/3/2024 3:00:00 PM
PLBC,PLUMAS BANCORP DECLARES QUARTERLY CASH DIVIDEND,7/18/2024 3:00:00 PM
PLBC,"Plumas Bancorp GAAP EPS of $1.14 beats by $0.03, revenue of $20.61M beats by $0.21M",7/17/2024 8:41:59 PM
PLBC,Plumas Bancorp added to membership of US small-cap Russell 2000® Index,7/1/2024 3:00:00 PM
PLBC,PLUMAS BANCORP DECLARES QUARTERLY CASH DIVIDEND,4/18/2024 3:00:00 PM
PLBC,"Plumas Bancorp GAAP EPS of $1.05, revenue of $19.59M",4/17/2024 5:35:42 PM
PLBC,MOUNTAINSEED AND PLUMAS BANCORP ANNOUNCE  SALE-LEASEBACK TRANSACTION,2/15/2024 3:00:00 PM
PLBC,Plumas Bancorp Announces New Director Appointment,2/9/2024 9:22:22 AM
PLBC,SUSHIL PATEL APPOINTED TO PLUMAS BANCORP BOARD OF DIRECTORS,2/8/2024 3:00:00 PM
PLBC,PLUMAS BANCORP DECLARES QUARTERLY CASH DIVIDEND,1/18/2024 3:00:00 PM
PLBC,"Plumas Bancorp Reports Record Earnings for Year Ended December 31, 2023",1/17/2024 3:00:00 PM
PLBC,PLUMAS BANCORP DECLARES QUARTERLY CASH DIVIDEND,10/19/2023 3:00:00 PM
PLBC,Plumas Bancorp Reports Record 2023 Earnings,10/18/2023 3:00:38 PM
PLBC,"Plumas Bancorp, Flushing Financial nab Buy ratings at Raymond James",8/31/2023 5:40:28 PM
PLBC,Plumas Bancorp declares $0.25 dividend,7/20/2023 1:04:55 PM
PLBC,"Plumas Bancorp GAAP EPS of $1.12, revenue of $19.38M",7/19/2023 2:47:23 PM
PLBC,"NewtekOne, Alpine Income to be added to Russell 3000; Rocket Companies to be deleted",5/24/2023 6:57:22 PM
PLBC,Plumas Bancorp declares $0.25 dividend,4/20/2023 1:07:22 PM
PLBC,"Plumas Bancorp GAAP EPS of $1.30, revenue of $21.07M",4/19/2023 6:04:07 PM
PLBC,Plumas Bancorp raises quarterly dividend by 56.3% to  $0.25/share,1/19/2023 2:05:26 PM
PLBC,"Plumas Bancorp GAAP EPS of $1.32, revenue of $19.53M",1/18/2023 2:36:14 PM
PLBC,PLUMAS BANCORP DECLARES QUARTERLY CASH DIVIDEND,10/20/2022 3:00:00 PM
PLBC,Plumas Bancorp Reports Record Third Quarter 2022 Results,10/19/2022 3:00:00 PM
PLBC,PLUMAS BANCORP DECLARES QUARTERLY CASH DIVIDEND,7/21/2022 3:00:00 PM
PLBC,Plumas Bancorp Reports Record Second Quarter 2022 Results ,7/20/2022 3:00:00 PM
PLBC,Plumas Bancorp honored among best-in-class banking institutions: Bank performance adds to streak of annual recognitions from industry groups ,6/15/2022 3:00:00 PM
PLBC,PLUMAS BANCORP DECLARES QUARTERLY CASH DIVIDEND,4/21/2022 3:00:00 PM
PLBC,Plumas Bancorp Reports Record 2022 Quarterly Results,4/20/2022 3:05:00 PM
PLBC,Plumas Bancorp  Declares Quarterly Cash Dividend,1/20/2022 3:00:00 PM
PLBC,"Plumas Bancorp Reports Record Earnings for the Year Ended December 31, 2021",1/19/2022 3:00:00 PM
PLBC,"Plumas Bank and the Federal Home Loan Bank of San Francisco join forces to donate $75,000 for wildfire relief",12/20/2021 3:00:00 PM
PLBC,PLUMAS BANCORP DECLARES QUARTERLY CASH DIVIDEND,10/21/2021 3:00:00 PM
PLBC,Plumas Bancorp Reports Record Third Quarter 2021 Results,10/20/2021 3:00:00 PM
PLBC,PLUMAS BANCORP DECLARES QUARTERLY CASH DIVIDEND,7/22/2021 3:00:00 PM
PLBC,Plumas Bancorp Reports Record Second Quarter 2021 Results,7/21/2021 3:00:00 PM
PLBC,Julie Morehead Appointed to Plumas Bancorp and Plumas Bank Board of Directors,7/1/2021 10:05:00 PM
PLBC,Plumas Bancorp Awarded Prestigious Raymond James Community Bankers Cup for 4th Consecutive Year,5/13/2021 3:00:00 PM
PLBC,PLUMAS BANCORP DECLARES QUARTERLY CASH DIVIDEND,4/22/2021 3:00:00 PM
PLBC,Plumas Bancorp Reports Record Quarterly Results ,4/21/2021 3:00:00 PM
PLBC,"PLUMAS BANCORP RELOCATES ITS CORPORATE HEADQUATERS TO RENO, NEVADA",3/15/2021 2:00:00 PM
PLBC,Plumas Bancorp to acquire Feather River Bancorp,3/11/2021 5:09:58 PM
PLBC,"Plumas Bank Donates $25,000 to Support Local Non-Profits Addressing Food Insecurity",2/2/2021 3:00:00 PM
PLBC,PLUMAS BANCORP DECLARES QUARTERLY DIVIDEND ISSUANCE,1/21/2021 3:00:00 PM
PLBC,Plumas Bancorp Reports Record Quarterly Earnings,1/20/2021 3:00:00 PM
PLBC,Plumas Bancorp Announces the Retirement of Past President and Board Member William E. Elliott,1/4/2021 7:35:38 PM
PLBC,Plumas Bank Celebrates 40 Years of Serving Our Communities,12/15/2020 3:00:00 PM
PLBC,PLUMAS BANCORP DECLARES QUARTERLY DIVIDEND ISSUANCE,10/22/2020 3:00:10 PM
PLBC,Plumas Bancorp Reports Third Quarter 2020 Results,10/21/2020 3:00:10 PM
PLBC,Plumas Bancorp Receives Nationwide Recognition from Two Prestigious Companies:  D.A. Davidson’s Fall 2020 Bison Select and Piper Sandler’s Sm-All Stars,9/29/2020 3:00:10 PM
PLBC,PLUMAS BANCORP DECLARES QUARTERLY DIVIDEND ISSUANCE,7/16/2020 3:00:10 PM
PLBC,Plumas Bancorp Reports Growth to Over $1 Billion in Total Assets and Second Quarter 2020 Results,7/15/2020 3:00:10 PM
