Ticker,Title,Link
VRCA,"Catalyst Watch: August Jobs Report, Intel event, Broadcom earnings, and Costco sales",8/30/2024 7:00:05 PM
VRCA,"Catalyst Watch: Nvidia's blockbuster earnings, CrowdStrike on the hot seat, and PCE inflation watch",8/23/2024 7:00:15 PM
VRCA,"Analysts Conflicted on These Healthcare Names: Verrica Pharmaceuticals (VRCA), Celcuity (CELC) and Bluebird Bio (BLUE)",8/15/2024 10:30:33 AM
VRCA,Verrica Pharmaceuticals: Buy Rating with Revised Price Target Amidst VP-315 Trial Success and Ycanth Sales Prospects,8/14/2024 7:25:15 PM
VRCA,Here's what Wall Street expects from Verrica Pharmaceuticals's earnings,8/13/2024 3:01:13 PM
VRCA,Verrica Pharmaceuticals to Report Second Quarter Financial Results and Release Preliminary Topline Results from Part 2 of Phase 2 Trial of VP-315 for the Treatment of Basal Cell Carcinoma on August...,8/6/2024 1:30:00 PM
VRCA,7 Short-Squeeze Stocks That Could Beat Down the Bears,7/15/2024 3:57:15 PM
VRCA,Verrica Pharma Announces Settlement Of Litigation With Dormer Labs - Quick Facts ,7/1/2024 2:03:25 PM
VRCA,Verrica Pharmaceuticals to Participate in the Jefferies Global Healthcare Conference in New York,5/30/2024 10:30:00 PM
VRCA,Analysts Offer Insights on Healthcare Companies: Xtant Medical Holdings (XTNT) and Verrica Pharmaceuticals (VRCA),5/16/2024 1:20:23 PM
VRCA,Verrica Pharma Enters Amendment To License Agreement With Torii Pharma ,5/15/2024 2:11:03 PM
VRCA,RBC Capital Sticks to Their Buy Rating for Verrica Pharmaceuticals (VRCA),5/14/2024 11:19:05 AM
VRCA,Buy Rating Affirmed for Verrica Pharmaceuticals on Strong Ycanth Sales and Strategic Growth Prospects,5/13/2024 7:15:21 PM
VRCA,Here's what Wall Street expects from Verrica Pharmaceuticals's earnings,5/12/2024 3:01:13 PM
VRCA,Verrica Pharmaceuticals to Present at Upcoming Investor Conferences,5/9/2024 1:30:00 PM
VRCA,"Verrica Pharmaceuticals to Provide a Corporate Update and Report First Quarter 2024 Financial Results on May 13, 2024",5/8/2024 1:30:00 PM
VRCA,Understanding the Miscommunication: Clarifying Requests for Report Summaries,4/10/2024 10:55:41 AM
VRCA,Verrica Pharmaceuticals Announces Presentation at the 23rd Annual Needham Virtual Healthcare Conference,4/2/2024 1:30:00 PM
VRCA,Verrica Pharma gains as FDA lists Ycanth in Orange Book,3/26/2024 5:33:07 PM
VRCA,RBC Capital Remains a Buy on Verrica Pharmaceuticals (VRCA),3/1/2024 12:28:02 PM
VRCA,Buy Rating Affirmed for Verrica Pharmaceuticals Amidst Promising Ycanth Launch and Market Acceptance,2/29/2024 4:45:18 PM
VRCA,Here's what to expect from Verrica Pharmaceuticals's earnings report,2/28/2024 3:01:13 PM
VRCA,Verrica Pharmaceuticals Announces Participation in the TD Cowen 44th Annual Healthcare Conference,2/27/2024 1:30:00 PM
VRCA,"Verrica Pharmaceuticals to Provide a Corporate Update and Report Fourth Quarter and Full-Year 2023 Financial Results on February 29, 2024",2/22/2024 1:30:00 PM
VRCA,Verrica sues to keep unapproved cantharidin drugs off US market,2/5/2024 3:53:46 PM
VRCA,Verrica Pharmaceuticals Receives Permanent J-Code (J7354) for YCANTH™ from Centers for Medicare and Medicaid Services,1/29/2024 1:30:00 PM
VRCA,7 Potential Short-Squeeze Stocks Poised for Rapid Gains,1/23/2024 12:44:13 AM
VRCA,"Verrica Pharmaceuticals Announces Last Patient Dosed in Part 2 of Phase 2 Study of VP-315, a Potential First-in-Class Oncolytic Peptide-Based Immunotherapy, for the Treatment of Basal Cell Carcinoma",1/5/2024 1:30:00 PM
VRCA,Verrica Issues Statement On Type C Meeting With FDA Regarding Development Plan For YCANTH ,1/4/2024 2:18:08 PM
VRCA,Verrica Pharmaceuticals Announces Agreement With Walgreens To Distribute YCANTH ,1/3/2024 2:28:25 PM
VRCA,Top 4 Health Care Stocks That May Crash This Month,12/20/2023 2:31:41 PM
VRCA,Why Is Verrica Pharmaceuticals (VRCA) Stock Up 40% Today?,12/15/2023 6:49:30 PM
VRCA,Promising Outlook for Verrica Pharmaceuticals: Factors Leading to Livnat’s Buy Rating,11/20/2023 11:27:21 AM
VRCA,RBC Capital Remains a Buy on Verrica Pharmaceuticals (VRCA),11/11/2023 1:48:59 AM
VRCA,Verrica Pharmaceuticals Announces Presentation at the Jefferies Global Healthcare Conference in London,11/10/2023 2:00:00 PM
VRCA,Analysts Offer Insights on Healthcare Companies: Novavax (NVAX) and Verrica Pharmaceuticals (VRCA),11/9/2023 8:11:39 PM
VRCA,"Verrica Pharmaceuticals to Provide a Corporate Update and Report Third Quarter Financial Results on November 9, 2023",10/25/2023 1:00:00 PM
VRCA,7 Analysts Have This to Say About Verrica Pharmaceuticals,10/12/2023 3:00:49 PM
VRCA,RBC Capital Reaffirms Their Buy Rating on Verrica Pharmaceuticals (VRCA),10/6/2023 1:48:28 AM
VRCA,"Verrica Pharmaceuticals to Host Virtual KOL Event Discussing the Approval of YCANTH™ (Cantharidin) Topical Solution for the Treatment of Molluscum on October 11, 2023",9/27/2023 2:00:00 PM
VRCA,Verrica Pharmaceuticals Announces Participation in the H.C. Wainwright 25th Annual Global Investment Conference,8/31/2023 2:00:00 PM
VRCA,Verrica Pharmaceuticals Announces First Sale of YCANTH™ to FFF Enterprises,8/24/2023 2:30:00 PM
VRCA,Verrica Issues Statement in Support of FDA’s Warning Letters to Manufacturers and Retailers for Producing and Selling Unapproved Products for the Treatment of Molluscum Contagiosum,8/23/2023 1:30:00 PM
VRCA,Verrica Pharmaceuticals (VRCA) Gets a Buy from RBC Capital,8/13/2023 1:46:38 AM
VRCA,Verrica Pharmaceuticals Announces Presentation of Lesion Clearance Data from an Ongoing Phase 2 Study of VP-315 for the Treatment of Basal Cell Carcinoma at the American Academy of Dermatology...,8/10/2023 10:05:00 PM
VRCA,"Verrica Pharmaceuticals GAAP EPS of -$0.24 misses by $0.02, revenue of $0.18M beats by $0.11M",8/8/2023 12:01:09 PM
VRCA,HC Wainwright & Co. Maintains Buy Rating for Verrica Pharmaceuticals: Here's What You Need To Know,7/27/2023 7:00:28 PM
VRCA,"Verrica's Ycanth Unlikely to Face Near-Term Competition, Analyst Upgrades Stock On FDA Approval",7/25/2023 7:03:24 PM
VRCA,Why Ryanair Holdings Shares Are Trading Lower By 8%? Here Are Other Stocks Moving In Monday's Mid-Day Session,7/24/2023 8:54:55 PM
VRCA,Verrica Pharmaceuticals' Molluscum Treatment Gets FDA Approval ,7/21/2023 11:12:54 PM
VRCA,Wall Street Analysts Are Bullish on Top Healthcare Picks,7/17/2023 12:40:23 PM
VRCA,"Catalyst Watch: Microsoft-Activision Blizzard drama, Splunk event and Nasdaq 100 rebalancing countdown",7/14/2023 7:00:24 PM
VRCA,FDA set to make decisions on several drug applications in July,7/4/2023 6:00:00 PM
VRCA,RBC Capital Sticks to Their Buy Rating for Verrica Pharmaceuticals (VRCA),5/12/2023 1:45:53 AM
VRCA,"Verrica Pharmaceuticals GAAP EPS of -$0.15 beats by $0.05, revenue of $0.03M misses by $0.61M",5/9/2023 12:50:12 PM
VRCA,7 Biotech Stocks With Huge Return Potential for Long-Term Investors,4/27/2023 12:01:50 AM
VRCA,What is behind biotech M&A resurgence?,4/23/2023 4:00:00 PM
VRCA,"Benzinga's Top Ratings Upgrades, Downgrades For March 22, 2023",3/22/2023 4:00:36 PM
VRCA,RBC Capital Reaffirms Their Buy Rating on Verrica Pharmaceuticals (VRCA),3/7/2023 4:25:29 PM
VRCA,"Verrica Pharmaceuticals GAAP EPS of -$0.14 beats by $0.06, revenue of $0.07M",3/6/2023 12:36:04 PM
VRCA,"Pre-market Movers: DRCT, VRCA, RVMD, MNPR, AHCO… ",2/28/2023 12:46:23 PM
VRCA,"Hoth, CVRx top healthcare gainers; Quoin, Chemomab among losers",2/22/2023 3:04:01 PM
VRCA,Verrica prices $32.5M stock offering,2/21/2023 1:03:54 PM
VRCA,"Benzinga's Top Ratings Upgrades, Downgrades For February 13, 2023",2/13/2023 4:00:36 PM
VRCA,Verrica Pharmaceuticals (VRCA) Receives a Buy from H.C. Wainwright,1/25/2023 11:15:37 AM
VRCA,Verrica Pharmaceuticals (VRCA) Receives a Hold from Needham,1/24/2023 4:05:08 PM
VRCA,H.C. Wainwright Remains a Buy on Verrica Pharmaceuticals (VRCA),11/14/2022 11:15:21 AM
VRCA,RBC Capital Remains a Hold on Verrica Pharmaceuticals (VRCA),11/11/2022 1:48:50 AM
VRCA,Verrica Pharmaceuticals Reports Third Quarter 2022 Financial Results,11/7/2022 10:05:00 PM
VRCA,Verrica Pharmaceuticals Announces Participation in the H.C. Wainwright 24th Annual Global Investment Conference,8/31/2022 10:30:00 PM
VRCA,Verrica Pharmaceuticals Reports Second Quarter 2022 Financial Results,8/11/2022 1:30:00 PM
VRCA,"Verrica Pharmaceuticals Announces Start of Phase 3 Trial of VP-102 for the Treatment of Molluscum Contagiosum by Torii Pharmaceutical Co., Ltd. in Japan",8/1/2022 1:30:00 PM
VRCA,"VRCA INVESTOR NOTICE: ROSEN, GLOBALLY RESPECTED INVESTOR COUNSEL, Encourages Verrica Pharmaceuticals Inc. Investors with Losses to Secure Counsel Before Important August 5 Deadline in Securities C...",7/31/2022 5:00:00 AM
VRCA,"ROSEN, RESPECTED INVESTOR COUNSEL, Encourages Verrica Pharmaceuticals Inc. Investors to Secure Counsel Before Important August 5 Deadline in Securities Class Action - VRCA",7/23/2022 6:28:00 PM
VRCA,"Berger Montague Investigates Securities Fraud Allegations Against Verrica Pharmaceuticals, Inc. (NASDAQ: VRCA) - VERRICA PHARMACEUTICALS, INC. - Lead Plaintiff Deadline is August 5, 2022",7/20/2022 11:57:00 PM
VRCA,"ROSEN, RECOGNIZED INVESTOR COUNSEL, Encourages Verrica Pharmaceuticals Inc. Investors With Losses to Secure Counsel Before Important Deadline in Securities Class Action - VRCA",7/15/2022 9:21:00 PM
VRCA,"Boeing, PriceSmart And 80 Biggest Movers From Yesterday",7/13/2022 10:59:07 AM
VRCA,This Low-Float Stock Jumps Around 148%; Here's 64 Biggest Movers From Yesterday,7/8/2022 10:15:16 AM
VRCA,"This EV Maker Stock Jumps More Than 9%, Here's 46 Stocks Moving In Thursday's Mid-Day Session",7/7/2022 6:02:18 PM
VRCA,Verrica Pharmaceuticals reports insider buying,7/6/2022 1:44:04 PM
VRCA,GLOBALLY RECOGNIZED ROSEN LAW FIRM Encourages Verrica Pharmaceuticals Inc. Investors with Losses in Excess of $100K to Secure Counsel Before Important Deadline in Securities Class Action - VRCA,7/4/2022 11:15:00 PM
VRCA,"Akerna Shares Dip 53%, Here's 78 Biggest Movers From Yesterday",7/1/2022 10:52:58 AM
VRCA,"VERRICA PHARMACEUTICALS, INC. Company News: Berger Montague Investigates Securities Fraud Allegations Against Verrica Pharmaceuticals, Inc. (NASDAQ: VRCA); Lead Plaintiff Deadline is August 5, 2022",6/30/2022 8:43:00 PM
VRCA,Verrica Announces Proposed Public Offering of Common Stock,6/29/2022 10:01:00 PM
VRCA,Verrica Pharma holds meeting with FDA for potential approval of skin disease treatment,6/28/2022 2:19:08 PM
VRCA,"ROSEN, RESPECTED INVESTOR COUNSEL, Encourages Verrica Pharmaceuticals Inc. Investors to Secure Counsel Before Important Deadline in Securities Class Action - VRCA",6/16/2022 9:37:00 PM
VRCA,"MQ, ESPR and OTLY are among after hour movers.",6/14/2022 9:00:02 PM
VRCA,"ROSEN, RESPECTED INVESTOR COUNSEL, Encourages Verrica Pharmaceuticals Inc. Investors to Secure Counsel Before Important Deadline in Securities Class Action - VRCA",6/9/2022 8:54:00 PM
VRCA,69 Biggest Movers From Friday,6/6/2022 11:31:42 AM
VRCA,24 Stocks Moving in Thursday's Pre-Market Session,6/2/2022 12:55:38 PM
VRCA,Attention Biotech Investors: Mark Your Calendar For These June PDUFA Dates,5/31/2022 9:42:54 PM
VRCA,"The Week Ahead In Biotech (May 30-June 4): FDA Decision For Eton's Partnered Epilepsy Drug, ASCO Conference Gets Underway And More",5/30/2022 8:03:18 PM
VRCA,20 Stocks Moving in Thursday's Pre-Market Session,5/26/2022 12:46:40 PM
VRCA,RBC Capital Slashes Verrica's Price Target After Third Rejection - What's Next?,5/25/2022 9:14:48 PM
VRCA,"BRZE, VRCA and IDCC are among after hour movers",5/24/2022 9:45:22 PM
VRCA,"The Week Ahead In Biotech (May 22-28): Verrica, Bristol-Myers Squibb FDA Decisions, Medtronic Earnings, Conference Presentations & More",5/22/2022 9:58:01 PM
VRCA,7 Biotech Stocks With Key Catalysts for May,5/11/2022 10:35:43 AM
VRCA,Verrica Pharmaceuticals Reports First Quarter 2022 Financial Results,5/9/2022 1:30:00 PM
VRCA,Biotech Stocks Facing FDA Decision In May 2022 ,5/2/2022 6:05:13 AM
VRCA,Attention Biotech Investors: Mark Your Calendar For May PDUFA Dates,5/1/2022 2:31:26 PM
VRCA,Verrica Pharmaceuticals Announces Participation in the 21st Annual Needham Virtual Healthcare Conference,4/7/2022 1:30:00 PM
VRCA,"Verrica Pharmaceuticals Announces First Patient Dosed in Phase 2 Study of LTX-315, a Potential First-in-Class Oncolytic Peptide-Based Immunotherapy, for the Treatment of Basal Cell Carcinoma",4/5/2022 1:30:00 PM
VRCA,"Benzinga's Top Ratings Upgrades, Downgrades For March 10, 2022",3/10/2022 4:02:39 PM
VRCA,Verrica Pharmaceuticals Reports Fourth Quarter and Full-Year 2021 Financial Results,3/2/2022 10:05:00 PM
VRCA,Verrica Pharmaceuticals Announces Participation in the 42nd Annual Cowen Virtual Healthcare Conference,2/24/2022 1:30:00 PM
VRCA,"QRVO, CLNE among after-hour movers",12/15/2021 10:44:35 PM
VRCA,Verrica Pharmaceuticals Announces Resubmission of New Drug Application for VP-102 for the Treatment of Molluscum Contagiosum,11/29/2021 1:30:00 PM
VRCA,"Verrica Pharmaceuticals Announces FDA Acceptance of its IND Application for LTX-315, a Potential First-in-Class Oncolytic Peptide-Based Immunotherapy, for the Treatment of Basal Cell Carcinoma",11/18/2021 1:30:00 PM
VRCA,Verrica Pharmaceuticals Reports Third Quarter 2021 Financial Results,11/12/2021 1:30:00 PM
VRCA,Attention Biotech Investors: Mark Your Calendar For October PDUFA Dates,10/1/2021 8:17:08 PM
VRCA,10 Biggest Price Target Changes For Wednesday,9/22/2021 2:10:10 PM
VRCA,Mid-Afternoon Market Update: Dow Edges Lower; Helbiz Shares Spike Higher,9/21/2021 8:33:45 PM
