Ticker,Title,Link
NXDT,US Home Sales See Sharpest Monthly Decline In 1.5 Years As Record High Prices Keep Buyers On The Sideline,7/23/2024 4:46:15 PM
NXDT,7 REITs to Sell in July Before They Crash & Burn,7/5/2024 9:12:18 PM
NXDT,NexPoint Diversified Real Estate Trust declares $0.15 dividend,5/2/2024 4:00:13 PM
NXDT,NexPoint Diversified Real Estate Trust declares $0.15 dividend,2/6/2024 1:56:34 PM
NXDT,Home rental REITs advance after Blackstone-Tricon deal,1/19/2024 6:05:50 PM
NXDT,NexPoint Diversified Real Estate Trust Announces Quarterly Distribution,11/8/2023 12:30:00 AM
NXDT,Top 5 Real Estate Stocks That Could Lead To Your Biggest Gains In September,9/12/2023 2:08:10 PM
NXDT,NexPoint Diversified Real Estate Trust Releases Investor Presentation,8/22/2023 2:30:00 PM
NXDT,NexPoint Diversified Real Estate Trust Announces Preferred Share Distribution,7/27/2023 2:30:00 PM
NXDT,NexPoint Diversified Real Estate Trust Announces Inclusion in Russell 2000 and Russell 3000 Indexes,6/30/2023 12:30:00 AM
NXDT,"Starwood Capital considers selling more than 2,000 single-family rental homes - report",6/13/2023 8:10:20 PM
NXDT,"NewtekOne, Alpine Income to be added to Russell 3000; Rocket Companies to be deleted",5/24/2023 6:57:22 PM
NXDT,NexPoint Diversified Real Estate Trust Releases Investor Presentation,5/23/2023 2:30:00 PM
NXDT,NexPoint Diversified Real Estate Trust Announces Preferred Share Distribution,4/26/2023 2:30:00 PM
NXDT,NexPoint Diversified Real Estate Trust Announces Record Date and Date of 2023 Annual Meeting of Shareholders,3/22/2023 11:30:00 PM
NXDT,NexPoint Diversified Real Estate Trust declares $0.15 dividend,2/24/2023 11:26:54 AM
NXDT,$2.9 Million Bet On This Energy Stock? Check Out These 3 Stocks Insiders Are Buying,1/6/2023 3:15:41 PM
NXDT,5 Cheapest Real Estate Stocks You Should Think About,12/30/2022 2:02:56 PM
NXDT,NexPoint Diversified Real Estate Trust Announces Record Date and Date of Special Meeting of Shareholders,12/9/2022 12:30:00 AM
NXDT,NexPoint Diversified Real Estate Trust Announces Preferred Share Distribution,12/7/2022 12:30:00 AM
NXDT,NexPoint Diversified Real Estate Trust Announces Quarterly Dividend,10/25/2022 11:00:00 PM
