Ticker,Title,Link
PDLB,Ponce Bank Received $35 Million in Deposits as part of the Banking Development District Program,8/7/2024 5:57:47 PM
PDLB,"PDLB Stock Earnings: Ponce Finl Gr Beats EPS, Beats Revenue for Q2 2024",7/31/2024 1:55:05 AM
PDLB,"Ponce Financial Group, Inc. Reports Second Quarter 2024 Results",7/30/2024 10:13:27 PM
PDLB,New Entrepreneurs Graduate from Ponce Bank Small Business Boot Camp,7/24/2024 9:49:15 PM
PDLB,Ponce Bank Exceeds ECIP Targets and Qualifies for 0.5% Preferred Stock Dividend Rate ,6/20/2024 5:20:25 PM
PDLB,"PDL Community GAAP EPS of $0.11, revenue of $20.5M",5/1/2024 1:37:28 PM
PDLB,"Ponce Financial Group, Inc. Reports First Quarter 2024 Results",4/30/2024 11:11:42 PM
PDLB,"Ponce Financial Group, Inc. Reports Fourth Quarter 2023 Results",1/30/2024 10:53:30 PM
PDLB,Ponce De Leon Foundation Announces Grant Awards,1/29/2024 8:10:50 PM
PDLB,"Ponce Bank was accepted into the Department of the Treasury, Bureau of Fiscal Service, Minority Bank Deposit Program",11/20/2023 10:21:14 PM
PDLB,"Ponce Financial Group, Inc. Announces Participation in a Virtual Bank Conference",11/8/2023 8:27:24 PM
PDLB,"Ponce Financial Group, Inc. Reports Third Quarter 2023 Results",10/30/2023 9:17:23 PM
PDLB,Ponce Bank receives approval for an award of approximately $0.5 million as part of the CDFI Bank Enterprise Award Program and received the previously announced $3.7 million in cash that was granted...,9/27/2023 10:32:54 PM
PDLB,"Ponce Financial Group, Inc. Announces Completion of Share Repurchase Program   ",8/16/2023 10:56:12 PM
PDLB,"PDL Community GAAP EPS of $0.00 beats by $0.10, revenue of $17.77M beats by $2.57M",7/28/2023 8:25:43 PM
PDLB,"NewtekOne, Alpine Income to be added to Russell 3000; Rocket Companies to be deleted",5/24/2023 6:57:22 PM
PDLB,Ponce Financial adopts stock buyback program,5/16/2023 9:08:24 PM
PDLB,"PDL Community GAAP EPS of $0.01 beats by $0.07, revenue of $17.06M beats by $2.2M",4/26/2023 9:46:40 PM
PDLB,"Wheeler Real Estate Investment Trust leads financials gainers, Green Giant in losers pack",1/31/2023 5:00:18 PM
PDLB,"PDL Community GAAP EPS of -$0.40 misses by $0.36, revenue of $16.6M misses by $0.84M",1/30/2023 9:46:46 PM
PDLB,"PDL Community GAAP EPS of -$0.64, revenue of $19.19M",10/31/2022 11:19:56 AM
PDLB,"Ponce Financial Group, Inc. Reports Third Quarter 2022 Results",10/28/2022 11:54:51 PM
PDLB,"Ponce Financial Group, Inc. announces formation of a Management Committee on Environmental, Social & Governance",8/18/2022 6:58:59 PM
PDLB,"Ponce Financial Group, Inc. Announces 2022 Second Quarter Results",7/30/2022 12:12:42 AM
PDLB,"Ponce Financial Group, Inc. Issues $225 million of Preferred Stock to the U.S. Department of Treasury Under the Emergency Capital Investment Program",6/9/2022 8:36:06 PM
PDLB,"Ponce Financial Group, Inc. Introduces New Executive Officer",5/31/2022 8:27:07 PM
PDLB,"Ponce Financial Group, Inc., as the successor by merger with PDL Community Bancorp, Announces 2022 First Quarter Results",5/9/2022 11:15:13 PM
