Ticker,Title,Link
FFNW,"First Financial Northwest, Inc. Announces Receipt of Federal Deposit Insurance Corporation Approval for Transaction with Global Credit Union",8/12/2024 3:05:36 PM
FFNW,"First Financial Northwest Non-GAAP EPS of $0.17 beats by $0.11, revenue of $9.64M beats by $0.56M",7/26/2024 9:13:50 AM
FFNW,"First Financial Northwest, Inc. Reports Net Income of $1.6 Million or $0.17 Per Diluted Share for the Second Quarter Ended June 30, 2024",7/25/2024 3:10:01 PM
FFNW," First Financial Northwest, Inc. Announces Receipt of Shareholder Approval for Transaction with Global Credit Union",7/19/2024 7:30:28 PM
FFNW,"Russell 3000 reshuffle: Financial stocks like MITT, ROOT among added, EHTH, BKKT among deleted",5/30/2024 2:56:25 PM
FFNW,"First Financial Northwest, Inc. Declares Quarterly Cash Dividend of $0.13 per Share",5/28/2024 10:10:19 PM
FFNW,"Analysts Offer Insights on Financial Companies: First Financial Northwest (FFNW), Civista Bancshares (CIVB) and NY Community (NYCB)",5/2/2024 12:32:58 PM
FFNW,"First Financial Northwest GAAP EPS of -$0.12, revenue of $9.68M",5/1/2024 1:06:40 PM
FFNW,"First Financial Northwest, Inc. Announces First Quarter 2024 Results; Reports Withdrawal from Legacy Defined Benefit Plan and Purchase of Single Premium Group Annuity",4/30/2024 10:10:35 PM
FFNW,"First Financial Northwest, Inc. Declares Quarterly Cash Dividend of $0.13 per Share",2/12/2024 10:10:46 PM
FFNW,"Analysts Offer Insights on Financial Companies: First Commonwealth (FCF), First Financial Northwest (FFNW) and Axos Financial (AX)",2/1/2024 1:40:18 PM
FFNW,"CORRECTING and REPLACING - First Financial Northwest, Inc. Reports Net Income of $1.2 Million or $0.13 per Diluted Share for the Fourth Quarter and $6.3 Million or $0.69 per Diluted Share for the...",1/26/2024 10:30:00 PM
FFNW,"First Financial Northwest, Inc. Reports Net Income of $1.2 Million or $0.13 per Diluted Share for the Fourth Quarter and $6.3 Million or $0.69 per Diluted Share for the Year Ended December 31, 2023",1/25/2024 3:10:11 PM
FFNW,"Analysts Are Bullish on These Financial Stocks: Swiss Re AG (SSREF), First Financial Northwest (FFNW)",1/12/2024 12:41:39 PM
FFNW,Why TechTarget Shares Are Trading Higher By Over 14%? Here Are Other Stocks Moving In Thursday's Mid-Day Session,1/11/2024 7:32:06 PM
FFNW,First Financial Northwest Bank Promotes Dalen D. Harrison to Executive Vice President,11/16/2023 10:10:26 PM
FFNW,"First Financial Northwest, Inc. Declares Quarterly Cash Dividend of $0.13 per Share",11/13/2023 10:10:13 PM
FFNW,D.A. Davidson Sticks to Their Buy Rating for First Financial Northwest (FFNW),10/30/2023 12:38:19 PM
FFNW,"First Financial Northwest, Inc. Reports Net Income of $1.5 Million or $0.16 per Diluted Share for the Third Quarter Ended September 30, 2023  ",10/26/2023 3:10:40 PM
FFNW,First Financial Northwest declares $0.13 dividend,8/7/2023 9:09:31 PM
FFNW,D.A. Davidson Sticks to Their Buy Rating for First Financial Northwest (FFNW),7/28/2023 12:25:16 PM
FFNW,"First Financial Northwest GAAP EPS of $0.16, revenue of $11.10M",7/27/2023 9:22:55 PM
FFNW,First Financial Northwest declares $0.13 dividend,5/15/2023 1:03:33 PM
FFNW,D.A. Davidson Remains a Buy on First Financial Northwest (FFNW),5/1/2023 12:35:47 PM
FFNW,"First Financial Northwest GAAP EPS of $0.23, revenue of $11.92M",4/27/2023 1:50:50 PM
FFNW,7 Dividend Stocks to Avoid in the Banking Sector,4/21/2023 10:15:36 AM
FFNW,First Financial Northwest raises quarterly dividend by 8.3% to  $0.13/share,1/30/2023 9:24:50 PM
FFNW,"First Financial Northwest GAAP EPS of $0.35, revenue of $13.16M",1/26/2023 2:38:14 PM
FFNW," First Financial Northwest, Inc. Declares Quarterly Cash Dividend of $0.12 per Share",11/14/2022 10:15:00 PM
FFNW,"First Financial Northwest, Inc. Reports Net Income of $3.9 million or $0.43 per Diluted Share for the Third Quarter Ended September 30, 2022",10/27/2022 3:10:00 PM
FFNW,"First Financial Northwest, Inc. Announces Adoption of New Stock Repurchase Plan",10/3/2022 10:10:00 PM
FFNW,"First Financial Northwest, Inc. Declares Quarterly Cash Dividend of $0.12 per Share; Announces Extension of Share Repurchase Plan",8/8/2022 10:15:00 PM
FFNW,"First Financial Northwest, Inc. Reports Net Income of $2.8 million or $0.31 per Diluted Share for the Second Quarter Ended June 30, 2022",7/28/2022 3:10:00 PM
FFNW,"First Financial Northwest, Inc. Declares Quarterly Cash Dividend of $0.12 per Share",5/16/2022 10:10:00 PM
FFNW,"First Financial Northwest, Inc. Reports Net Income of $3.3 million or $0.36 per Diluted Share for the First Quarter Ended March 31, 2022",4/28/2022 3:15:00 PM
FFNW,"First Financial Northwest, Inc. Announces 9.1% Increase in its Quarterly Cash Dividend to $0.12 per Share; Announces Adoption of New Share Repurchase Plan",2/15/2022 11:00:00 PM
FFNW,"First Financial Northwest, Inc. Reports Net Income of $2.7 million or $0.29 per Diluted Share for the Fourth Quarter and $12.2 Million or $1.29 per Diluted Share for the Year Ended December 31,...",1/27/2022 3:15:00 PM
FFNW,"First Financial Northwest, Inc. Declares Quarterly Cash Dividend of $0.11 per Share",11/15/2021 10:10:00 PM
FFNW,"First Financial Northwest, Inc. Reports Third Quarter Net Income of $3.2 Million or $0.34 per Diluted Share",10/28/2021 3:15:00 PM
FFNW,"First Financial Northwest, Inc. Appoints Cindy L. Runger to its Board of Directors",8/16/2021 10:10:00 PM
FFNW,"First Financial Northwest, Inc. Reports Second Quarter Net Income of $3.8 Million or $0.40 per Diluted Share",7/27/2021 3:15:00 PM
FFNW,"First Financial Northwest, Inc. Declares Quarterly Cash Dividend of $0.11 per Share",5/17/2021 10:15:00 PM
FFNW,"First Financial Northwest, Inc. Reports First Quarter Net Income of $2.5 Million or $0.26 per Diluted Share",4/27/2021 3:15:00 PM
FFNW,"Benzinga's Top Ratings Upgrades, Downgrades For March 17, 2021",3/17/2021 3:40:48 PM
FFNW,"First Financial Northwest, Inc. Announces 10% Increase in its Quarterly Cash Dividend to $0.11 per Share",2/16/2021 10:15:00 PM
FFNW,"First Financial Northwest, Inc. Reports Net Income of $2.6 Million or $0.28 per Diluted Share for the Fourth Quarter and $8.6 Million or $0.88 per Diluted Share for the Year Ended December 31, 2020",1/28/2021 3:15:00 PM
FFNW,"First Financial Northwest, Inc. Announces Adoption of New Share Repurchase Plan",12/21/2020 10:30:00 PM
FFNW,"First Financial Northwest, Inc. Declares Quarterly Cash Dividend of $0.10 per Share",11/16/2020 10:15:00 PM
FFNW,"First Financial Northwest, Inc. Reports Third Quarter Net Income of $2.1 Million or $0.21 per Diluted Share",10/27/2020 2:15:10 PM
FFNW,"First Financial Northwest, Inc. Recognized for its Corporate Philanthropy by Puget Sound Business Journal; Dedicated to Serving its Communities",8/22/2020 12:05:10 AM
FFNW,"First Financial Northwest, Inc. Declares Quarterly Cash Dividend of $0.10 per Share",8/10/2020 10:15:10 PM
FFNW,"First Financial Northwest, Inc. Reports Second Quarter Net Income of $2.1 Million or $0.22 per Diluted Share",7/28/2020 3:10:10 PM
FFNW,"First Financial Northwest, Inc. Announces Adoption of New Share Repurchase Plan",6/17/2020 10:30:10 PM
FFNW,"First Financial Northwest, Inc. Announces Annual Meeting of Shareholders Will Be Held Solely by Means of Remote Communication",5/21/2020 10:30:10 PM
FFNW,"First Financial Northwest, Inc. Declares Quarterly Cash Dividend of $0.10 per Share",5/18/2020 10:15:10 PM
FFNW,First Financial Northwest Bank Employees Raise over $50 Thousand in 30 Days for Local Nonprofits,5/5/2020 8:00:10 PM
FFNW,"First Financial Northwest, Inc. Reports First Quarter Net Income of $1.7 Million or $0.17 per Diluted Share",4/28/2020 3:10:10 PM
FFNW,"First Financial Northwest, Inc. Appoints Diane C. Davis to its Board of Directors",3/25/2020 10:00:00 PM
FFNW,"First Financial Northwest, Inc. Increases Quarterly Cash Dividend by 11% to $0.10 Per Share",2/14/2020 11:00:00 PM
FFNW,"First Financial Northwest, Inc. Reports Fourth Quarter Net Income of $2.6 Million or $0.26 per Diluted Share and $10.4 Million or $1.03 per Diluted Share for the Year Ended December 31, 2019",1/23/2020 3:15:00 PM
FFNW,"First Financial Northwest, Inc. Announces Adoption of New Share Repurchase Plan",1/6/2020 10:10:00 PM
FFNW,"First Financial Northwest, Inc. Announces Appointment of Chief Credit Officer and Chief Banking Officer of First Financial Northwest Bank",12/23/2019 10:10:00 PM
FFNW,"First Financial Northwest, Inc. Appoints Ralph C. Sabin to Board of Directors",12/3/2019 10:15:00 PM
FFNW,"First Financial Northwest, Inc. Receives ABA Foundation Community Commitment Award; Announces Participation in Seattle’s First Opportunity Zone Project",11/5/2019 10:15:00 PM
FFNW,"First Financial Northwest, Inc. Declares Quarterly Cash Dividend of $0.09 per Share",10/24/2019 3:20:05 PM
FFNW,"First Financial Northwest, Inc. Declares Quarterly Cash Dividend of $0.09 per Share; Announces Adoption of New Share Repurchase Plan",7/25/2019 3:20:00 PM
FFNW,"First Financial Northwest, Inc. Announces the Death of Director Kevin D. Padrick",6/24/2019 6:28:04 PM
FFNW,"First Financial Northwest, Inc. Increases Quarterly Cash Dividend by 12.5 Percent to $0.09 per Share",4/25/2019 3:20:00 PM
FFNW,"First Financial Northwest, Inc. Appoints Patricia M. Remch to Board of Directors",4/2/2019 10:05:00 PM
FFNW,"First Financial Northwest, Inc. Announces Quarterly Cash Dividend of $0.08 per Share",1/24/2019 10:10:00 PM
FFNW,"First Financial Northwest, Inc. Announces Federal Government Shutdown Assistance",1/22/2019 11:00:00 PM
FFNW,"First Financial Northwest, Inc. Announces Appointment of Randy Riffle As Executive Vice President And Chief Credit Officer of First Financial Northwest Bank",12/20/2018 10:05:00 PM
FFNW,"First Financial Northwest, Inc. Declares Quarterly Cash Dividend of $0.08 per Share; Announces Adoption of New Share Repurchase Plan",10/25/2018 3:20:00 PM
FFNW,"First Financial Northwest, Inc. Declares Quarterly Cash Dividend of $0.08 per Share",7/26/2018 3:20:00 PM
