Ticker,Title,Link
CFFI,C&F Financial Corporation Announces Quarterly Dividend,8/21/2024 6:00:00 PM
CFFI,"C&F Financial GAAP EPS of $1.50, revenue of $39.93M",7/25/2024 5:41:46 PM
CFFI,C&F Financial Corporation Announces Net Income for Second Quarter and First Six Months,7/24/2024 8:30:00 PM
CFFI,"Russell 3000 reshuffle: Financial stocks like MITT, ROOT among added, EHTH, BKKT among deleted",5/30/2024 2:56:25 PM
CFFI,C&F Financial Corporation Announces Quarterly Dividend,5/23/2024 8:00:00 PM
CFFI,CFFI Stock Earnings: C&F Financial Reported Results for Q1 2024,4/20/2024 1:53:02 AM
CFFI,C&F Financial Corporation Announces Net Income for First Quarter,4/19/2024 10:15:00 PM
CFFI,C&F Financial Corporation Announces Quarterly Dividend,2/22/2024 10:27:23 PM
CFFI,C&F Financial Corporation Announces Net Income for 2023,1/24/2024 5:46:23 PM
CFFI,C&F Financial Corporation Reauthorizes Share Repurchase Program,12/20/2023 9:35:38 PM
CFFI,C&F Financial Corporation Announces Quarterly Dividend,11/22/2023 6:10:00 PM
CFFI,C&F Financial Corporation Announces Net Income for Third Quarter and First Nine Months,10/26/2023 7:44:14 PM
CFFI,C&F Financial Corporation Announces Quarterly Dividend,8/16/2023 6:03:24 PM
CFFI,"C&F Financial GAAP EPS of $1.84, revenue of $30.19M",7/26/2023 9:50:35 PM
CFFI,"NewtekOne, Alpine Income to be added to Russell 3000; Rocket Companies to be deleted",5/24/2023 6:57:22 PM
CFFI,C&F Financial declares $0.44 dividend,5/17/2023 4:45:01 PM
CFFI,"C&F Financial GAAP EPS of $1.86, revenue of $32.4M",4/26/2023 7:27:37 PM
CFFI,C&F Financial raises dividend by  4.8% to $0.44,2/23/2023 5:54:24 PM
CFFI,C&F Financial Corporation Declares Quarterly Dividend and Authorizes Share Repurchase Program,11/16/2022 9:46:21 PM
CFFI,C&F Financial Corporation Announces Net Income for Third Quarter and First Nine Months,10/27/2022 7:07:23 PM
CFFI,C&F Financial Corporation Announces Increase in Quarterly Dividend,8/17/2022 6:00:35 PM
CFFI,"C&F Financial GAAP EPS of $1.91, revenue of $28.29M",7/21/2022 9:01:47 PM
CFFI,C&F Financial Corporation Announces Quarterly Dividend,5/19/2022 10:08:34 PM
CFFI,C&F Financial Corporation Announces Net Income for First Quarter,4/21/2022 8:05:40 PM
CFFI,C&F Financial Corporation Announces Quarterly Dividend,2/16/2022 8:50:30 PM
CFFI,C&F Financial Corporation Announces Record Net Income for 2021,1/25/2022 5:23:03 PM
CFFI,C&F Financial Corporation Declares Quarterly Dividend and Authorizes Share Repurchase Program,11/17/2021 8:09:45 PM
CFFI,C&F Financial Corporation Announces Net Income for Third Quarter and First Nine Months,10/21/2021 8:00:31 PM
CFFI,C&F Financial Corporation Announces Quarterly Dividend,8/18/2021 7:22:20 PM
CFFI,C&F Financial Corporation Announces Net Income for Second Quarter and First Six Months,7/22/2021 8:47:41 PM
CFFI,C&F Financial Corporation Announces Increase in Quarterly Dividend,5/19/2021 3:09:13 PM
CFFI,C&F Financial Corporation Announces Record Net Income for First Quarter,4/22/2021 8:27:08 PM
CFFI,C&F Financial Corporation Announces Quarterly Dividend ,2/18/2021 8:05:37 PM
CFFI,C&F Financial Corporation Announces Record Net Income for 2020,1/27/2021 4:37:44 PM
CFFI,C&F Financial Corporation Declares Quarterly Dividend and Authorizes Share Repurchase Program,11/18/2020 4:55:26 PM
CFFI,C&F Financial Corporation Announces Record Third Quarter Net Income,10/27/2020 7:45:37 PM
CFFI,C&F Financial Corporation Announces Issuance of $20 Million of Subordinated Notes,9/29/2020 10:25:54 PM
CFFI,C&F Financial Corporation Announces  Appointment of New Board Member,8/21/2020 9:46:01 AM
CFFI,C&F Financial Corporation Announces Quarterly Dividend,8/19/2020 10:03:08 PM
CFFI,C&F Financial Corporation Announces Net Income for Second Quarter and First Six Months,7/23/2020 7:50:06 PM
CFFI,C&F Financial Corporation Announces Quarterly Dividend,5/20/2020 10:03:27 PM
CFFI,C&F Financial Corporation Announces Net Income for First Quarter,4/23/2020 9:06:53 PM
CFFI,C&F Financial Corporation to Hold Virtual Annual Meeting,3/27/2020 6:51:47 PM
CFFI,C&F Financial Corporation Announces Quarterly Dividend,2/20/2020 8:15:58 PM
CFFI,C&F Financial Corporation Announces Appointment of New Board Member,1/27/2020 7:36:40 PM
CFFI,C&F Financial Corporation Announces Record Net Income for 2019,1/24/2020 3:46:27 PM
CFFI,"C&F Financial Corporation Completes Acquisition of Peoples Bankshares, Incorporated",1/2/2020 2:27:22 PM
CFFI,"C&F Financial Corporation Announces Merger to Close January 1, 2020",12/20/2019 12:57:04 AM
CFFI,C&F Financial Corporation Announces Increase in Quarterly Dividend,11/20/2019 4:57:17 PM
CFFI,C&F Financial Corporation Announces Third Quarter Net Income,10/24/2019 10:07:54 PM
CFFI,C&F Financial Corporation Announces Appointment of New Board Member,10/21/2019 7:07:51 PM
CFFI,C&F Financial Corporation Announces Quarterly Dividend,8/21/2019 4:26:10 PM
CFFI,"C&F Financial Corporation Announces Acquisition of Peoples Bankshares, Incorporated",8/14/2019 12:47:38 AM
CFFI,C&F Financial Corporation Announces Record Net Income for Second Quarter and First Six Months,7/23/2019 8:11:36 PM
CFFI,C&F Financial Corporation Declares Quarterly Dividend and Authorizes Share Repurchase Program,5/22/2019 5:11:32 PM
CFFI,C&F Financial Corporation Announces Net Income for First Quarter,4/23/2019 8:14:04 PM
CFFI,C&F Financial Corporation Announces New Financial Centers,3/4/2019 8:00:00 PM
CFFI,C&F Financial Corporation Announces Quarterly Dividend,2/20/2019 8:00:00 PM
CFFI,C&F Financial Corporation Announces Record Net Income for 2018,1/24/2019 6:21:54 PM
CFFI,C&F Financial Corporation Names Thomas F. Cherry Chief Executive Officer,12/18/2018 10:57:19 PM
CFFI,C&F Financial Corporation Announces Increase in Quarterly Dividend,11/28/2018 7:00:00 PM
CFFI,C&F Financial Corporation Announces Record Third Quarter Net Income,10/25/2018 6:30:00 PM
CFFI,C&F Financial Corporation Announces Increase in Quarterly Dividend,8/22/2018 7:00:00 PM
CFFI,C&F Financial Corporation Announces Record Second Quarter Net Income,7/24/2018 8:30:00 PM
CFFI,C&F Financial Corporation Announces Quarterly Dividend,5/22/2018 11:37:46 PM
CFFI,C&F Financial Corporation Reauthorizes Share Repurchase Program,4/18/2018 6:00:00 PM
CFFI,C&F Financial Corporation Announces Management Transition,4/17/2018 9:45:00 PM
CFFI,C&F Financial Corporation Announces Quarterly Dividend,2/21/2018 7:00:00 PM
CFFI,C&F Financial Corporation Announces Net Income for 2017,1/25/2018 9:30:00 PM
CFFI,BRIEF-C&F Financial Corporation Announces Increase In Quarterly Dividend (CFFI),11/29/2017 8:47:03 PM
CFFI,BRIEF-C&F FINANCIAL CORP Q3 EARNINGS PER SHARE $0.87 (CFFI),10/26/2017 9:27:13 PM
