Ticker,Title,Link
LFCR,"Lifecore CFO John Morberg to depart, Ryan Lake to succeed",8/29/2024 3:05:34 PM
LFCR,Lifecore Biomedical (LFCR) Receives a Hold from Barrington,8/28/2024 1:15:33 PM
LFCR,Lifecore Biomedical reports Q4 results; initiates FY25 outlook,8/27/2024 4:59:08 AM
LFCR,Lifecore Biomedical Reports Fourth Quarter and Fiscal Year End 2024 Financial Results and Provides Corporate Update,8/26/2024 11:23:23 PM
LFCR,"LFCR Stock Earnings: Lifecore Biomedical Beats EPS, Beats Revenue for Q2 2024",8/12/2024 4:53:11 PM
LFCR,Lifecore Biomedical To Terminate 46 Full-time Employees Amid Strategic Workforce Reduction Plan ,7/12/2024 3:51:05 PM
LFCR,Lifecore Biomedical Announces Cooperation Agreement with 22NW,7/1/2024 2:00:00 PM
LFCR,Lifecore Announces Inducement Grants Under Nasdaq Listing Rule 5635(c)(4),5/22/2024 10:16:49 PM
LFCR,Lifecore Biomedical Completes Incremental Liquidity Initiatives,5/16/2024 10:45:17 PM
LFCR,"Lifecore Biomedical, Inc. Receives Notice from Nasdaq Regarding Delayed Quarterly Report",4/19/2024 10:30:00 PM
LFCR,Lifecore Biomedical Provides Business Update Outlining Fiscal 2024 Outlook and Year-to-date Progress,4/1/2024 2:00:00 PM
LFCR,Lifecore Biomedical Announces Pending Change of Auditor and Provides Expectation for Business Update,3/26/2024 9:30:00 PM
LFCR,"Catalyst Watch: Walgreens earnings, UPS analyst day and Xiaomi's luxury EV debut",3/22/2024 7:00:00 PM
LFCR,Dow Surges 350 Points; Fed Holds Rates Steady,3/20/2024 8:23:22 PM
LFCR,"Lifecore Biomedical, Inc. Announces Receipt of Nasdaq Notice of Delisting and Intention to Appeal",2/16/2024 10:05:00 PM
LFCR,"Lifecore Biomedical, Inc. Receives Notice from Nasdaq Regarding Delayed Quarterly Report",1/12/2024 10:43:40 PM
LFCR,Lifecore Biomedical Expands Relationship with Existing Long-Term Customer Through a Series of Commercial Arrangements,1/5/2024 2:00:00 PM
LFCR,Lifecore Biomedical Provides Business Update,12/13/2023 1:30:00 PM
LFCR,Company Reaches Favorable Resolution Regarding Previously-Disclosed Investigation of Formerly-Held Subsidiary Yucatan Foods,11/20/2023 10:05:00 PM
LFCR,"Lifecore Biomedical, Inc. Receives Notice from Nasdaq Regarding Delayed Annual Report",10/18/2023 10:05:00 PM
