Ticker,Title,Link
BFIN,"BFIN Stock Earnings: BankFinancial Meets EPS, Beats Revenue for Q2 2024",8/16/2024 5:53:18 PM
BFIN,BankFinancial goes ex dividend tomorrow,8/8/2024 4:06:31 PM
BFIN,D.A. Davidson Remains a Hold on Bankfinancial (BFIN),8/5/2024 12:13:18 PM
BFIN,BankFinancial GAAP EPS of $0.14 misses by $0.02; initiates Q2 outlook,5/10/2024 11:50:13 AM
BFIN,BankFinancial Corporation Reports Financial Results for the First Quarter 2024,5/9/2024 10:58:20 PM
BFIN,BankFinancial Corporation Declares Cash Dividend,4/26/2024 6:10:12 PM
BFIN,Bankfinancial Corp. Enters Standstill Agreement with SVB Partners,2/10/2024 9:16:42 AM
BFIN,"BankFinancial Corporation Announces Expansion of Board of Directors and Standstill Agreement with Strategic Value Bank Partners, LLC, Strategic Value Investors LP and Benjamin Mackovak",2/9/2024 5:19:09 PM
BFIN,"Analysts Offer Insights on Financial Companies: Applied Digital Corporation (APLD), Lakeland Bancorp (LBAI) and Bankfinancial (BFIN)",2/6/2024 1:50:13 PM
BFIN,BankFinancial GAAP EPS of $0.17,1/31/2024 4:23:38 PM
BFIN,BankFinancial declares $0.10 dividend,1/26/2024 8:54:58 PM
BFIN,BankFinancial Corporation Extends and Expands Share Repurchase Program,12/15/2023 6:38:33 PM
BFIN,"Analysts Have Conflicting Sentiments on These Financial Companies: Voya Financial (VOYA), American International Group (AIG) and Bankfinancial (BFIN)",11/2/2023 5:21:49 PM
BFIN,"BankFinancial Corporation Reports Financial Results for the Third Quarter 2023 and Will Host Conference Call and Webcast on Wednesday, November 1, 2023",10/30/2023 9:37:12 PM
BFIN,BankFinancial Corporation Declares Cash Dividend,10/27/2023 5:46:37 PM
BFIN,"BankFinancial names Kimberly King, Vice President of Sales of their Equipment Finance Small Ticket Division",9/19/2023 9:07:54 PM
BFIN,"Analysts Offer Insights on Financial Companies: Carter Bankshares (CARE), Bankfinancial (BFIN) and California BanCorp (CALB)",8/1/2023 12:50:21 PM
BFIN,BankFinancial GAAP EPS of $0.18 misses by $0.10,7/31/2023 6:39:37 AM
BFIN,BankFinancial declares $0.10 dividend,7/28/2023 4:06:21 PM
BFIN,Analysts Offer Insights on Financial Companies: Bankfinancial (BFIN) and Colony Bankcorp (CBAN),5/5/2023 12:40:32 PM
BFIN,"BankFinancial GAAP EPS of $0.21 misses by $0.07, revenue of $13.81M misses by $1.43M",5/2/2023 9:25:52 PM
BFIN,"BankFinancial GAAP EPS of $0.27, revenue of $15.39M",2/6/2023 4:37:36 PM
BFIN,BankFinancial declares $0.10 dividend,1/27/2023 4:44:24 PM
BFIN,"BankFinancial Corporation Reports Financial Results for the Third Quarter 2022 and Will Host Conference Call and Webcast on Monday, October 31, 2022",10/28/2022 11:01:12 PM
BFIN,"BankFinancial Corporation Reports Financial Results for the Second Quarter 2022 and Will Host Conference Call and Webcast on Monday, August 1, 2022",7/29/2022 10:52:19 PM
BFIN,"BankFinancial Corporation to Host Conference Call and Webcast on August 1, 2022",7/27/2022 6:07:33 PM
BFIN,"BankFinancial Corporation Reports Financial Results for the First Quarter 2022 and Will Host Conference Call and Webcast on Wednesday, May 4, 2022",5/3/2022 11:08:10 PM
BFIN,BankFinancial Corporation Extends Share Repurchase Program,4/29/2022 7:28:05 PM
BFIN,Brompton North American Financials Dividend ETF Risk Rating Improvement,3/25/2022 1:17:20 PM
BFIN,"BankFinancial Corporation Reports Financial Results for 2021 and Will Host Conference Call and Webcast on Wednesday, February 2, 2022",1/31/2022 10:15:00 PM
BFIN,BankFinancial declares $0.10 dividend,1/28/2022 5:37:43 PM
BFIN,"BankFinancial Corporation Reports Financial Results for the Third Quarter 2021 and Will Host Conference Call and Webcast on Monday, November 1, 2021",10/29/2021 10:33:32 PM
BFIN,BankFinancial Corporation Declares Cash Dividend,7/30/2021 10:38:19 PM
BFIN,BankFinancial Announces National Expansion of its Commercial Finance Division,7/3/2021 12:13:21 AM
BFIN,BankFinancial Corporation Expands Share Repurchase Program,6/24/2021 11:29:41 PM
BFIN,BankFinancial Corporation Declares Cash Dividend,4/19/2021 10:28:12 PM
BFIN,BankFinancial Corporation Announces Completion of $20.0 Million Subordinated Notes Offering,4/14/2021 11:11:38 PM
BFIN,Brompton North American Financials Dividend ETF Risk Rating Change,3/26/2021 1:10:26 PM
BFIN,38 Stocks Moving in Tuesday's Pre-Market Session,2/2/2021 1:00:51 PM
BFIN,8 Stocks Moving In Monday's After-Hours Session,2/1/2021 10:58:30 PM
BFIN,BankFinancial Corporation Declares Cash Dividend,1/28/2021 11:54:35 PM
BFIN,BankFinancial Corporation Extends and Expands Share Repurchase Program,10/29/2020 9:15:10 PM
BFIN,"BankFinancial Corporation Reports Financial Results for the Third Quarter 2020 and Will Host Conference Call and Webcast on Friday, October 30, 2020",10/28/2020 9:38:23 PM
BFIN,BankFinancial earnings: here's what to expect,7/31/2020 3:02:47 PM
BFIN,BankFinancial Corporation Declares Cash Dividend,7/30/2020 10:30:10 PM
BFIN,"BankFinancial Corporation Reports Financial Results for the Second Quarter 2020 and Will Host Conference Call and Webcast on Friday, July 31, 2020",7/29/2020 10:46:47 PM
BFIN,"ASPS leads financial gainers, MCB and ATAX among losers",5/22/2020 5:14:41 PM
BFIN,BankFinancial Corporation Declares Cash Dividend,4/21/2020 2:30:10 PM
BFIN,BankFinancial Equipment Finance Announces $23 Million in Government Lease Originations,2/19/2020 10:15:00 PM
BFIN,"BankFinancial Corporation Reports Financial Results for 2019 and Will Host Conference Call and Webcast on February 19, 2020",2/18/2020 2:30:00 PM
BFIN,BankFinancial NA Announces Expansion of BankFinancial Equipment Finance,2/14/2020 2:30:00 PM
BFIN,BankFinancial Corporation Extends Share Repurchase Program,1/31/2020 6:01:26 PM
BFIN,BankFinancial Corporation Declares Cash Dividend,11/1/2019 4:54:49 PM
BFIN,"BankFinancial Corporation Reports Financial Results for the Third Quarter 2019 and Will Host Conference Call and Webcast on Wednesday, October 23, 2019",10/21/2019 11:12:45 PM
BFIN,"BankFinancial Corporation Reports Financial Results for the Second Quarter 2019 and Will Host Conference Call and Webcast on Tuesday, July 30, 2019",7/29/2019 10:33:30 PM
BFIN,BankFinancial Corporation Declares Cash Dividend,7/26/2019 9:36:58 PM
BFIN,BankFinancial Corporation Expands Share Repurchase Program,4/26/2019 5:30:00 PM
BFIN,"BankFinancial Corporation Reports Financial Results for the First Quarter 2019 and Will Host Conference Call and Webcast on Thursday, April 18, 2019",4/16/2019 10:20:23 PM
BFIN,BankFinancial Corporation Reports a Change in Board of Directors and a Stock Repurchase Transaction,2/26/2019 11:39:47 PM
BFIN,BankFinancial Corporation Extends and Expands Share Repurchase Program,2/25/2019 7:08:15 PM
BFIN,BankFinancial Corporation Declares Cash Dividend,2/1/2019 5:41:16 PM
BFIN,"BankFinancial Corporation Reports Financial Results for 2018 and Will Host Conference Call and Webcast on January 23, 2019",1/22/2019 10:15:00 PM
BFIN,BankFinancial earnings: here's what to expect,1/20/2019 3:01:19 PM
BFIN,"BankFinancial Corporation to Host Conference Call and Webcast on January 23, 2019",1/18/2019 5:00:00 PM
BFIN,BankFinancial Corporation Extends and Expands Share Repurchase Program,11/19/2018 3:00:00 PM
BFIN,BankFinancial Corporation Declares Cash Dividend,10/26/2018 10:00:00 PM
BFIN,BankFinancial Corporation Expands Share Repurchase Program,10/16/2018 11:06:18 PM
BFIN,BankFinancial Corporation Expands Share Repurchase Program,9/10/2018 3:00:00 PM
BFIN,"BankFinancial Corporation Reports Financial Results for the Second Quarter 2018 and Will Host Conference Call and Webcast on Wednesday, August 1, 2018",7/30/2018 11:18:38 PM
BFIN,BankFinancial Corporation Declares Cash Dividend,7/27/2018 5:00:00 PM
BFIN,BRIEF-Bankfinancial Corporation Reports Q1 Earnings Per Share $0.20,4/30/2018 2:54:42 PM
BFIN,BankFinancial Corporation Declares Cash Dividend,4/27/2018 4:53:57 PM
BFIN,BRIEF-BankFinancial Corp Extends And Expands Share Repurchase Program,3/28/2018 11:15:01 PM
