Ticker,Title,Link
BH,BMI cuts iron ore price forecast with no respite from Mainland China demand woes,8/29/2024 10:01:45 AM
BH,BH Stock Earnings: Biglari Holdings Reported Results for Q2 2024,8/12/2024 1:52:57 PM
BH,"Biglari Holdings GAAP EPS of -$171.89, revenue of $91.14M",8/9/2024 8:20:48 PM
BH,BH Stock Earnings: Biglari Holdings Reported Results for Q4 2023,6/26/2024 11:53:09 AM
BH,GME vs. AMC vs. DJT: 3 Popular Meme Stocks Ranked Best to Worst,5/23/2024 12:57:49 AM
BH,BH Stock Earnings: Biglari Holdings Reported Results for Q1 2024,5/11/2024 1:53:15 AM
BH,Biglari Holdings reports Q1 results,5/10/2024 8:17:13 PM
BH,Biglari Holdings reports Q4 results,2/26/2024 6:01:56 AM
BH,BIGLARI HOLDINGS INC. NEWS RELEASE,11/3/2023 9:04:00 PM
BH,Biglari Holdings Inc. News Release,9/25/2023 10:05:00 PM
BH,BIGLARI HOLDINGS INC. NEWS RELEASE,8/4/2023 10:04:00 PM
BH,Beauty Health gets FDA clearance for microneedling device for acne scarring,8/2/2023 3:15:41 PM
BH,BIGLARI HOLDINGS INC. NEWS RELEASE,5/5/2023 10:08:00 PM
BH,"Catalyst Watch: Earnings season picks up steam, housing data due",4/14/2023 5:30:11 PM
BH,"Biglari Holdings GAAP EPS of -$107.43, revenue of $368.23M",2/27/2023 5:56:15 AM
BH,BIGLARI HOLDINGS INC. NEWS RELEASE,2/25/2023 2:34:00 PM
BH,Biglari Holdings Inc. News Release,11/4/2022 9:05:00 PM
BH,Biglari Holdings Inc. News Release,8/5/2022 10:06:00 PM
BH,Biglari Holdings Inc. News Release,5/6/2022 10:14:00 PM
BH,BIGLARI HOLDINGS INC. NEWS RELEASE,2/26/2022 1:50:00 PM
BH,7 Stocks in the Crosshairs of Activist Investors ,2/15/2022 9:20:31 PM
BH,Biglari Holdings Inc. News Release,12/22/2021 6:49:00 PM
BH,Biglari Holdings Inc. News Release,11/5/2021 9:19:00 PM
BH,Biglari Holdings Inc. News Release,8/6/2021 10:09:00 PM
BH,The 10 Best ‘Bigger-Than-Small-Cap’ ‘Smaller-Than-Midcap’ Stocks to Buy Now ,7/7/2021 7:30:00 PM
BH,"Last Week's Notable Insider Buys: Lululemon Athletica, Opendoor Technologies And More",6/13/2021 9:13:53 PM
BH,"Last Week's Notable Insider Buys: Activision, Avis Budget, Energy Transfer And More",5/15/2021 7:39:01 PM
BH,Stocks That Hit 52-Week Highs On Monday,5/10/2021 5:26:20 PM
BH,Biglari Holdings reports Q1 results,5/7/2021 8:36:55 PM
BH,7 Restaurant Stocks Worth a Visit,4/12/2021 5:12:07 PM
BH,Biglari's Steak 'n Shake Could File For Bankruptcy As Early As This Coming Week,2/13/2021 6:27:41 PM
BH,"Notable Insider Buys of the Past Week: Mylan, Sonabank, Steak 'n Shake, U-Haul And More",12/20/2020 1:19:39 PM
BH,Stocks That Hit 52-Week Highs On Friday,12/18/2020 8:42:01 PM
BH,Get Much More Than Steaks and Shakes with Biglari Holdings,11/10/2020 4:11:14 PM
BH,Biglari Holdings reports Q3 results,11/6/2020 9:19:42 PM
BH,Volatility still on the menu in restaurant sector,6/12/2020 3:21:01 PM
BH,Biglari Holdings reports Q1 results,5/8/2020 8:30:48 PM
BH,Relief rally for restaurant stocks,4/29/2020 2:50:16 PM
BH,Up to 30% of restaurants could close - Grubhub CEO,3/22/2020 11:15:52 AM
BH,Citigroup emerging market chief Biglari to leave: memo,1/14/2013 10:09:20 PM
BH,The Steak n Shake Company Announces Fiscal First Quarter 2006 Earnings Conference Call,1/18/2006 2:32:00 PM
