Ticker,Title,Link
CPHC,"Canterbury Park GAAP EPS of $0.07, revenue of $16.2M",8/9/2024 12:07:23 PM
CPHC,Canterbury Park Holding Corporation Reports 2024 Second Quarter Results,8/8/2024 10:05:33 PM
CPHC,Canterbury Park Holding Corporation Announces Quarterly Cash Dividend,6/12/2024 9:30:00 PM
CPHC,"Canterbury Park GAAP EPS of $0.20, revenue of $14.1M",5/10/2024 12:05:57 PM
CPHC,Canterbury Park Holding Corporation Reports First Quarter Results,5/9/2024 10:05:24 PM
CPHC,Canterbury Park declares $0.07 dividend,3/14/2024 8:34:41 PM
CPHC,"Canterbury Park GAAP EPS of $0.27, revenue of $12.5M",3/11/2024 9:12:50 PM
CPHC,Canterbury Park Holding Corporation Announces Quarterly Cash Dividend,12/14/2023 11:30:00 PM
CPHC,Canterbury Park Holding Corporation Reports 2023 Third Quarter Results,11/9/2023 10:05:58 PM
CPHC,"Pre-market Movers: ASTI, SYBX, GBNY, GNSS, BIVI… ",9/28/2023 1:12:47 PM
CPHC,Canterbury Park Holding Corporation Announces Quarterly Cash Dividend,9/15/2023 9:30:00 PM
CPHC,"Canterbury Park GAAP EPS of $1.07, revenue of $16.34M",8/11/2023 8:21:44 PM
CPHC,Canterbury Park Holding Corporation Reports 2023 Second Quarter Results,8/10/2023 10:05:02 PM
CPHC,Canterbury Park declares $0.07 dividend,6/14/2023 7:31:33 PM
CPHC,"Canterbury Park GAAP EPS of $0.56, revenue of $13.3M",5/12/2023 11:21:33 AM
CPHC,"Canterbury Park GAAP EPS of $0.22, revenue of $13.2M",3/20/2023 8:30:58 PM
CPHC,Canterbury Park declares $0.07 dividend,12/19/2022 10:05:37 PM
CPHC,"CANTERBURY PARK PROMOTES JASON HAUGEN TO NEW ROLE AS VICE PRESIDENT OF REAL ESTATE FOR CANTERBURY PARK DEVELOPMENT, LLC",11/14/2022 9:00:00 PM
CPHC,"Canterbury Park GAAP EPS of $0.60, revenue of $22.29M",11/11/2022 10:04:33 AM
CPHC,Canterbury Park Holding Corporation Reports Record 2022 Third Quarter Results,11/10/2022 10:05:00 PM
