Ticker,Title,Link
BOTJ,"Bank of the James Financial Group GAAP EPS of $0.47, revenue of $11.28M",7/29/2024 11:55:31 AM
BOTJ,BOTJ Stock Earnings: Bank of the James Finl Gr Reported Results for Q2 2024,7/27/2024 12:53:02 AM
BOTJ,"Bank of the James Announces Second Quarter, First Half of 2024 Financial Results and Declaration of Dividend",7/26/2024 6:00:00 PM
BOTJ,Bank of the James Financial Group GAAP EPS of $0.48,4/29/2024 12:33:06 PM
BOTJ,BOTJ Stock Earnings: Bank of the James Finl Gr Reported Results for Q1 2024,4/27/2024 1:53:16 AM
BOTJ,Bank of the James Announces First Quarter of 2024 Financial Results and Declaration of Dividend,4/26/2024 6:00:00 PM
BOTJ,Bank of the James Financial Group increases dividend by ~25% to $0.10,2/2/2024 7:16:52 PM
BOTJ,"Bank of the James Financial Group, Inc. Announces Quarterly Dividend; Increases Quarterly Dividend by 25%",1/19/2024 6:30:00 PM
BOTJ,"Bank of the James Announces Third Quarter, Nine Months of 2023 Financial Results and Declaration of Dividend",10/20/2023 6:25:37 PM
BOTJ,Bank of the James Financial Group declares $0.08 dividend,7/21/2023 4:02:14 PM
BOTJ,Bank of the James Financial Group declares $0.08 dividend,4/21/2023 4:13:34 PM
BOTJ,"Bank of the James Financial Group GAAP EPS of $0.42, revenue of $11.01M",2/6/2023 9:40:46 PM
BOTJ,"Bank of the James Financial Group GAAP EPS of $0.55, revenue of $11.75M",10/21/2022 8:49:11 PM
BOTJ,"Bank of the James Announces Second Quarter, First Half 2022 Financial Results and Declaration of Dividend",7/22/2022 6:30:03 PM
BOTJ,CORRECTION -- Bank of the James Announces First Quarter 2022 Financial Results and Declaration of Dividend,4/25/2022 8:42:34 PM
BOTJ,Bank of the James Announces First Quarter 2022 Financial Results and Declaration of Dividend,4/22/2022 6:00:00 PM
BOTJ,"Bank of the James Financial Group GAAP EPS of $0.39, revenue of $9.7M",2/11/2022 9:29:44 PM
BOTJ,"Bank of the James to acquire investment advisor, Pettyjohn, Wood & White",12/16/2021 7:18:29 AM
BOTJ,"Bank of the James Announces Agreement to Acquire Pettyjohn, Wood & White, Inc.",12/15/2021 10:30:00 PM
BOTJ,"Bank of the James Announces Third Quarter, Nine Months of 2021 Financial Results and Declaration of Dividend",10/22/2021 6:00:00 PM
BOTJ,Bank of the James Financial Group Announces Promotion of Michael A. Syrek to President of Bank of the James,10/13/2021 8:18:20 PM
BOTJ,"Bank of the James Announces Second Quarter, First Half 2021 Financial Results and Declaration of Dividend",7/23/2021 6:00:00 PM
BOTJ,"Metropolitan Bank leads financial gainers, X Financial and UP Fintech Holding among losers",7/22/2021 5:15:59 PM
BOTJ,"Bank of the James Financial and American Realty Investors the only financial gainers, China HGS Real Estate leads losers",7/19/2021 5:30:20 PM
BOTJ,"MMAC leads financial gainers, SRAC and RELI among losers",5/24/2021 4:59:25 PM
BOTJ,Bank of the James Financial Group declares stock dividend,5/20/2021 9:43:37 PM
BOTJ,Bank of the James Announces First Quarter 2021 Financial Results and Declaration of Dividend,4/23/2021 6:00:00 PM
BOTJ,"Bank of the James Announces Fourth Quarter, Full Year 2020 Financial Results and Declaration of Dividend",1/22/2021 6:00:00 PM
BOTJ,"Bank of the James Announces Third Quarter, Nine Months of 2020 Financial Results and Declaration of Dividend",10/23/2020 6:00:10 PM
BOTJ,"Bank of the James Announces Second Quarter, First Half 2020 Financial Results and Declaration of Dividend",7/24/2020 6:00:10 PM
BOTJ,Bank of the James Announces Completion of Private Placement of Debt,7/9/2020 6:30:10 PM
BOTJ,Bank of the James Announces First Quarter 2020 Financial Results and Declaration of Dividend,4/24/2020 6:00:10 PM
BOTJ,"Bank of the James Announces Fourth Quarter, Full Year 2019 Financial Results and Declaration of Dividend",1/24/2020 6:00:00 PM
BOTJ,Bank of the James Announces Declaration of Special Dividend,11/22/2019 10:05:10 PM
BOTJ,"Bank of the James Announces Third Quarter, Nine Months of 2019 Financial Results and Declaration of Dividend",10/18/2019 6:00:05 PM
BOTJ,"Bank of the James Announces Second Quarter, First Half 2019 Financial Results",7/19/2019 6:00:00 PM
BOTJ,Bank of the James Announces First Quarter 2019 Financial Results and Declaration of Dividend,4/26/2019 6:00:00 PM
BOTJ,"Bank of the James Announces Fourth Quarter, Full Year 2018 Financial Results and Declaration of Dividend",1/25/2019 6:00:00 PM
BOTJ,Bank of the James Announces Stock Repurchase Program,12/21/2018 6:00:00 PM
BOTJ,"Bank of the James Announces Third Quarter, Nine Months of 2018 Financial Results and Declaration of Dividend",10/19/2018 6:03:02 PM
BOTJ,"Bank of the James Announces Second Quarter, First Half 2018 Financial Results and Declaration of DividendStrong Year-Over-Year Net Income Growth, Loan Growth, Asset Quality Stability",7/20/2018 6:00:00 PM
BOTJ,Bank of the James Announces First Quarter 2018 Financial Results and Declaration of DividendRecord Assets and Deposits; Commercial Lending Drives Interest Income,4/20/2018 6:00:00 PM
BOTJ,"Bank of the James Announces Fourth Quarter, 12 Months 2017 Financial Results and Declaration of DividendRecord Assets and Deposits; Commercial Lending Drives Interest Income",1/26/2018 6:00:00 PM
BOTJ,"Bank of the James Announces Third Quarter, Nine Months 2017 Financial Results and Declaration of DividendSolid Year-Over-Year Growth in Loans, Net Interest Income, Interest Earning Assets",10/20/2017 6:00:00 PM
