Ticker,Title,Link
AWRE,"Aware GAAP EPS of -$0.05, revenue of $4.3M",8/9/2024 8:01:03 AM
AWRE,Aware Reports Second Quarter and Six Month 2024 Financial Results,8/8/2024 10:00:00 PM
AWRE,The Top 7 Under-$10 Stocks to Buy Now: Summer 2024,7/30/2024 11:00:00 AM
AWRE,"Aware Sets Second Quarter 2024 Webcast for Thursday, August 8, 2024, at 5:00 p.m. Eastern Time",7/25/2024 10:05:00 PM
AWRE,Aware’s Newly Appointed Chief Product Officer to Lead Biometric Deepfake Discussions at Identity Week Europe 2024,5/30/2024 3:00:00 PM
AWRE,3 Under-$5 Penny Stocks That Could Make You Millions,5/7/2024 10:30:00 AM
AWRE,AWRE Stock Earnings: Aware Reported Results for Q1 2024,5/3/2024 1:54:54 AM
AWRE,Aware Reports First Quarter 2024 Financial Results,5/2/2024 10:06:17 PM
AWRE,"Aware Sets First Quarter 2024 Webcast for Thursday, May 2, 2024 at 5:00 p.m. Eastern Time",4/18/2024 10:05:00 PM
AWRE,Traeger And 3 Other Stocks Under $5 Insiders Are Buying,3/18/2024 1:44:18 PM
AWRE,Get in Quick! 7 AI Penny Stocks That Are About to Pop Soon,3/13/2024 1:32:50 PM
AWRE,Aware Reports Fourth Quarter Financial Results,3/12/2024 9:02:00 PM
AWRE,Here's what Wall Street expects from Aware's earnings,3/11/2024 3:01:13 PM
AWRE,"Aware Sets Fourth Quarter and Full Year 2023 Webcast for Tuesday, March 12, 2024 at 5:00 p.m. Eastern Time",2/22/2024 10:05:00 PM
AWRE,Aware Adds Product Strategy Innovator to Executive Team to Further Align Biometric Platform and Vision with Market Growth,1/23/2024 3:00:00 PM
AWRE,"Unlocking the Future: Aware Partners with Avanza Solutions to Extend World Class Biometric Authentication Across Middle East, Asia and Africa",12/19/2023 9:16:43 PM
AWRE,Aware and Serban Group Team Up To Create Biometric Authentication Powerhouse Serving Latin American and European Markets,11/15/2023 3:05:00 PM
AWRE,Crude Oil Gains Over 2%; S&P Global Raises Profit Outlook,11/2/2023 7:40:40 PM
AWRE,Aware® Reports Third Quarter and Nine Month 2023 Financial Results,11/1/2023 9:00:00 PM
AWRE,What Wall Street expects from Aware's earnings,10/31/2023 3:01:13 PM
AWRE,Aware and PeopleCert Align to Prevent Proxy Testing,10/25/2023 3:05:00 PM
AWRE,"Aware Sets Third Quarter 2023 Webcast for Wednesday, November 1, 2023 at 5:00 p.m. Eastern Time",10/18/2023 3:00:00 PM
AWRE,Aware Named “Catalyst” and Role Model in New Biometrics Digital Identity Market Report,10/17/2023 3:21:18 PM
AWRE,Aware Ranks Top Performer in NIST Face Analysis Technology Evaluation (FATE) Benchmarking Test While Optimizing Demographic Parity,10/11/2023 3:15:00 PM
AWRE,"Aware Launches Partner Program, Empowering Both Large and Midmarket Technology Providers to Leverage Biometrics for Enhanced Revenue Streams",9/28/2023 3:00:00 PM
AWRE,Aware Premiers Powerful New AwareID® Functionality and Introduces Developer Hub to Further Simplify Businesses' Adoption of Biometric Technology,9/7/2023 3:00:00 PM
AWRE,"Aware GAAP EPS of -$0.13, revenue of $3.2M",8/1/2023 8:24:55 PM
AWRE,Here's what Wall Street expects from Aware's earnings,7/31/2023 3:01:13 PM
AWRE,Lake Street Remains a Buy on Aware (AWRE),5/3/2023 1:25:07 PM
AWRE,"Aware GAAP EPS of -$0.07 beats by $0.02, revenue of $4.3M beats by $0.15M",5/2/2023 8:22:18 PM
AWRE,Aware earnings: here's what to expect,5/1/2023 3:01:13 PM
AWRE,"Aware Non-GAAP EPS of $0.01, revenue of $7.74M beats by $4.64M",3/9/2023 9:04:16 PM
AWRE,Aware earnings: here's what to expect,3/8/2023 3:01:13 PM
AWRE,8x8 and Rumble among tech gainers; GDS and Socket Mobile among losers,10/28/2022 7:00:28 PM
AWRE,Aware Reports Third Quarter 2022 Financial Results,10/27/2022 10:01:00 PM
AWRE,What Wall Street expects from Aware's earnings,10/26/2022 3:01:13 PM
AWRE,Aware Expands Accessibility of Best-in-Class Security Through Introduction of Pre-Configured SaaS Offering,10/24/2022 3:00:00 PM
AWRE,Aware Puts Law Enforcement Back in Control at 2022 IACP Conference,10/17/2022 3:00:00 PM
AWRE,"Aware Sets Third Quarter 2022 Webcast for Thursday, October 27, 2022 at 5:00 p.m. Eastern Time",10/13/2022 3:00:00 PM
AWRE,"Aware, Inc. Accelerates Innovation and Positive Environmental Impact with Move to New Corporate Headquarters",10/11/2022 3:00:00 PM
