Ticker,Title,Link
FLUX,Wall Street Analysts Are Bullish on Top Industrial Goods Picks,7/17/2024 3:51:11 PM
FLUX,Flux Power rises after receiving OEM approval for new L-Series battery packs,7/16/2024 1:21:23 PM
FLUX,"Delay in energy transition could be 'costly and disorderly,' BP says in annual outlook",7/13/2024 2:20:47 AM
FLUX,Goldman sees slower but still robust Permian Basin growth this decade,6/21/2024 10:55:07 PM
FLUX,"Rising fuel inventories hit crack spreads, likely signaling refining slowdown ahead",6/15/2024 12:15:57 AM
FLUX,The Analyst Landscape: 5 Takes On Flux Power Holdings,5/14/2024 8:02:09 PM
FLUX,OPEC supply in focus with oil prices still under pressure,5/11/2024 12:25:34 AM
FLUX,"NVAX, GRPN and MVIS among mid-day movers",5/10/2024 4:57:54 PM
FLUX,"Flux Power Holdings GAAP EPS of -$0.16 misses by $0.06, revenue of $14.5M misses by $1.01M",5/9/2024 8:25:36 PM
FLUX,Flux Power earnings preview: what Wall Street is expecting,5/8/2024 3:01:13 PM
FLUX,Craig-Hallum Remains a Buy on Flux Power Holdings (FLUX),5/7/2024 1:05:25 PM
FLUX,Craig-Hallum Initiates a Buy Rating on Flux Power Holdings (FLUX),4/23/2024 12:55:19 PM
FLUX,Roth MKM Says These Small-Cap Li-Ion Battery Stocks Could Double Your Money — Here’s Why They Could Rally,4/1/2024 9:22:08 AM
FLUX,7 Under-$10 Stocks That Will Be Worth $100 (or More!) by 2026,3/7/2024 9:32:46 PM
FLUX,Strong Buy Recommendation for Flux Power Holdings Amidst Growth and Market Leadership,3/6/2024 10:55:38 AM
FLUX,U.S. crude oil rallies near $80 ahead of OPEC+ production decision,3/1/2024 11:50:54 PM
FLUX,Buy Rating Affirmed for Flux Power Holdings with Positive Revenue and Margin Outlook,2/10/2024 12:45:15 PM
FLUX,"Analysts Offer Insights on Industrial Goods Companies: Flux Power Holdings (FLUX) and RXO, Inc. (RXO)",2/9/2024 11:21:13 AM
FLUX,"Flux Power Holdings GAAP EPS of -$0.05 beats by $0.02, revenue of $18.3M beats by $0.49M",2/8/2024 9:10:50 PM
FLUX,Notable earnings after Thursday's close,2/7/2024 10:35:29 PM
FLUX,"Analysts Are Bullish on These Industrial Goods Stocks: Ceco Environmental (CECO), Flux Power Holdings (FLUX)",2/5/2024 2:00:38 PM
FLUX,Why DouYu International Shares Are Trading Higher By 14%? Here Are Other Stocks Moving In Thursday's Mid-Day Session,12/28/2023 7:07:18 PM
FLUX,Flux Power Holdings: Prospective Revenue Growth and Margin Expansion Drive Buy Rating,11/14/2023 11:15:33 AM
FLUX,Flux Power Holdings: Promising Growth and Profitability with Improved Margins and Robust Pipeline,11/11/2023 12:25:24 PM
FLUX,Flux Power is about to announce earnings — here's what Wall Street expects,11/8/2023 3:01:13 PM
FLUX,Maxim Group Sticks to Its Buy Rating for Flux Power Holdings (FLUX),9/23/2023 11:45:48 AM
FLUX,Dow Edges Lower; Mondee Holdings Shares Surge,9/22/2023 9:41:04 PM
FLUX,"3 Penny Stocks to Invest In for Big-Time, Long-Term Gains",9/11/2023 11:00:15 AM
FLUX,"Benzinga's Top Ratings Upgrades, Downgrades For June 8, 2023",6/8/2023 5:00:50 PM
FLUX,EF Hutton Keeps Their Buy Rating on Flux Power Holdings (FLUX),5/12/2023 12:35:13 PM
FLUX,Flux Power reports FQ3 results,5/11/2023 8:13:27 PM
FLUX,"OPEC was right, as weak demand wipes out oil's gains from price cut",4/30/2023 12:15:00 AM
FLUX,Flux Power renews $14M credit facility with First Citizens Bank,4/27/2023 9:45:03 PM
FLUX,"Catalyst watch: Eyes on Deutsche Bank, Intel, Virgin Orbit and the Fed's favorite inflation gauge",3/24/2023 7:00:32 PM
FLUX,EF Hutton Sticks to Their Buy Rating for Flux Power Holdings (FLUX),3/20/2023 4:26:47 PM
FLUX,Analysts Offer Insights on Services Companies: OmniAb (OABI) and Flux Power Holdings (FLUX),2/13/2023 11:20:18 AM
FLUX,Energy is the week's only sector winner as crude oil snaps back,2/11/2023 12:45:05 AM
FLUX,EF Hutton Sticks to Its Buy Rating for Flux Power Holdings (FLUX),2/10/2023 12:25:33 PM
FLUX,"Flux Power GAAP EPS of -$0.10 beats by $0.08, revenue of $17.2M beats by $2.96M",2/9/2023 9:10:59 PM
FLUX,Flux Power increases credit agreement limit to $14M,1/13/2023 3:18:03 PM
FLUX,Analysts Offer Insights on Services Companies: urban-gro (UGRO) and Flux Power Holdings (FLUX),11/12/2022 12:50:20 PM
FLUX,U.S. to tighten methane emissions with new rules on oil and gas industry,11/11/2022 11:50:09 PM
FLUX,"Flux Power GAAP EPS of -$0.13, revenue of $17.8M",11/10/2022 9:28:19 PM
FLUX,The 7 Best Micro-Cap Stocks to Buy Now,9/30/2022 6:19:07 PM
FLUX,Maxim Group Keeps Their Buy Rating on Flux Power Holdings (FLUX),9/24/2022 11:45:14 AM
FLUX,"TOPS, CANO and SPRO are among pre market gainers",9/23/2022 12:26:38 PM
FLUX,"Flux Power GAAP EPS of -$0.17 beats by $0.09, revenue of $15.2M beats by $3.03M",9/22/2022 8:30:52 PM
FLUX,Flux Power FQ4 2022 Earnings Preview,9/21/2022 9:35:26 PM
FLUX,"GWH, FLUX, WLMS among top industrial movers",8/31/2022 4:53:25 PM
FLUX,"BWEN, CCRN among top industrial movers",7/29/2022 5:04:01 PM
FLUX,"Flux Power GAAP EPS of -$0.23 beats by $0.05, revenue of $13.18M beats by $4.03M",5/12/2022 8:05:26 PM
FLUX,"CTRM, NM, FLUX among top industrial movers",4/22/2022 5:01:19 PM
FLUX,Energy stocks turn lower with oil sliding after eight straight weekly gains,2/19/2022 12:05:22 AM
FLUX,"Flux Power GAAP EPS of -$0.32 misses by $0.08, revenue of $7.7M misses by $0.07M",2/10/2022 9:04:11 PM
FLUX,"Pre-market Movers: IMRN, PIK, NTP, FLUX, MCMJ… ",1/12/2022 1:30:17 PM
FLUX,"Flux Power EPS misses by $0.02, misses on revenue",11/12/2021 4:58:55 PM
FLUX,"Benzinga's Top Ratings Upgrades, Downgrades For October 5, 2021",10/5/2021 4:14:29 PM
FLUX,58 Biggest Movers From Yesterday,9/24/2021 11:11:19 AM
FLUX,Mid-Afternoon Market Update: Crude Oil Surges 1.5%; BlackBerry Shares Spike Higher,9/23/2021 8:47:06 PM
FLUX,GOGL and EGLE among industrial movers,9/20/2021 5:57:24 PM
FLUX,"Montauk tops this week's energy, nat resource winners; Peabody biggest loser",9/17/2021 10:50:10 PM
FLUX,SHIP and ENG among industrial movers,9/16/2021 5:06:21 PM
FLUX,ASTR and EOSE among industrial movers,8/23/2021 5:23:16 PM
FLUX,"Energy Focus tops this week's energy, nat resource winners; Romeo biggest loser",8/20/2021 11:15:51 PM
FLUX,"This week's top winners and losers in energy, natural resources",7/9/2021 10:45:53 PM
FLUX,FreightCar America leads industrial gainers; Herc Holdings and Tecnoglass among the losers,5/19/2021 5:05:20 PM
FLUX,58 Biggest Movers From Yesterday,5/18/2021 11:16:49 AM
FLUX,Flux Power and BioHiTech Global among industrial gainers; FreightCar America leads the losers,5/17/2021 5:07:17 PM
FLUX,77 Biggest Movers From Yesterday,5/14/2021 11:19:47 AM
FLUX,Mid-Afternoon Market Update: Dow Jumps Over 500 Points; ContextLogic Shares Plunge,5/13/2021 8:36:13 PM
FLUX,58 Biggest Movers From Yesterday,3/23/2021 10:16:23 AM
FLUX,35 Stocks Moving In Monday's Mid-Day Session,3/22/2021 5:04:04 PM
FLUX,SuperCom leads industrial gainers; Raven Industries and Construction Partners among the losers,3/19/2021 5:03:30 PM
FLUX,Euroseas leads industrial gainers; Ideal Power and EHang among the losers,3/18/2021 5:04:27 PM
FLUX,"Flux Power EPS misses by $0.01, beats on revenue",2/11/2021 1:40:17 PM
FLUX,84 Biggest Movers From Yesterday,1/26/2021 11:15:26 AM
FLUX,61 Stocks Moving In Monday's Mid-Day Session,1/25/2021 6:14:07 PM
FLUX,80 Biggest Movers From Yesterday,1/7/2021 12:04:30 PM
FLUX,58 Stocks Moving In Wednesday's Mid-Day Session,1/6/2021 6:03:26 PM
FLUX,Universal Security Instruments leads industrial gainers; Nxt-ID and Flux Power among losers,1/4/2021 6:04:38 PM
FLUX,84 Biggest Movers From Yesterday,12/29/2020 11:09:09 AM
FLUX,58 Stocks Moving In Monday's Mid-Day Session,12/28/2020 6:05:38 PM
FLUX,Stocks That Hit 52-Week Highs On Tuesday,12/22/2020 4:30:53 PM
FLUX,78 Biggest Movers From Friday,12/21/2020 11:05:32 AM
FLUX,Nordic American Tankers among industrial gainers; FuelCell Energy leads the losers,12/2/2020 6:05:10 PM
FLUX,Polar Power and CBAK Energy among industrial gainers; ZTO Express leads the losers,11/19/2020 5:59:55 PM
FLUX,"Flux Power EPS in-line, beats on revenue",11/12/2020 2:16:44 PM
FLUX,Bloom Energy and Ameresco among industrial gainers; YRC Worldwide among the losers,11/3/2020 6:04:43 PM
FLUX,Digital Ally leads industrial gainers; Euroseas and Polar Power among losers,11/2/2020 6:01:51 PM
FLUX,Stock Alert: Flux Power Holdings Shares Soar 31% ,9/29/2020 3:57:27 PM
