Ticker,Title,Link
ESP,Espey Mfg. & Electronics raises dividend by 14.3% to $0.20,6/11/2024 1:57:31 PM
ESP,Espey Increases and Declares Regular Quarterly Dividend of $0.20 Per Share; Announces New Employment Agreement with Chief Executive Officer and Appoints New Assistant Corporate Secretary,6/6/2024 10:05:00 PM
ESP,"Espey Mfg. & Electronics reports Q3 GAAP EPS of $0.40, revenue of $8.25M",5/14/2024 3:04:53 PM
ESP,Espey Mfg. & Electronics Corp. reports third quarter results,5/13/2024 10:05:00 PM
ESP,Espey Increases and Declares Regular Quarterly Dividend of $0.175 Per Share,3/11/2024 7:00:00 PM
ESP,"Espey Mfg. & Electronics GAAP EPS of $0.72, revenue of $10.3M",2/12/2024 10:09:33 PM
ESP,Brompton Energy Split Corp. Announces Preferred Share Distribution Rate,1/26/2024 8:55:11 PM
ESP,BAE Systems’ Combat Mission Systems business awards Espey Manufacturing ‘Partner2Win’ gold medallion at its fifth annual ‘Partner2Win’ supplier symposium,1/23/2024 10:01:35 PM
ESP,AESA Radar System being integrated in Modern Fighter Aircraft with Espey participating in multiple production programs,12/20/2023 9:27:54 PM
ESP,Brompton Oil Split Corp. Announces Name and Ticker Symbol Change,12/18/2023 5:01:42 PM
ESP,Espey Declares Regular Quarterly Dividend of $0.15 Per Share,12/4/2023 10:05:00 PM
ESP,Espey Mfg. & Electronics Corp. reports first quarter results,11/13/2023 10:05:00 PM
ESP,Espey Mfg. & Electronics Corp. reports fourth quarter and year-end results,9/21/2023 10:05:00 PM
ESP,Espey Mfg. & Electronics declares $0.10 dividend,6/12/2023 8:09:02 PM
ESP,"Espey Mfg. & Electronics GAAP EPS of $0.27, revenue of $9.81M",5/15/2023 9:22:45 PM
ESP,Espey Mfg. & Electronics reinstates dividend at $0.10/share,3/14/2023 7:53:29 AM
ESP,"Espey Mfg. & Electronics GAAP EPS of $0.47, revenue of $8.81M",2/13/2023 9:49:43 PM
ESP,"Espey Mfg. & Electronics GAAP EPS of $0.31, revenue of $8.63M",11/11/2022 4:51:19 AM
ESP,Espey Mfg. & Electronics Corp. reports first quarter results,11/10/2022 10:05:00 PM
ESP,Espey Mfg. & Electronics Corp. reports fourth quarter and year-end results,9/22/2022 10:05:00 PM
ESP,"MVST, CNHI among top industrial movers",6/23/2022 4:55:59 PM
ESP,"NAT, CGRN, LGMK among top industrial movers",5/23/2022 5:05:28 PM
ESP,Espey Mfg. & Electronics Corp. reports third quarter results,5/16/2022 10:05:00 PM
ESP,"Espey Mfg. & Electronics GAAP EPS of $0.01, revenue of $7.45M",2/14/2022 10:31:59 PM
ESP,Espey Mfg. & Electronics Corp. Reports Changes in Senior Management,12/31/2021 10:05:00 PM
ESP,Espey Mfg. & Electronics reports Q1 results,11/15/2021 10:31:11 PM
