Ticker,Title,Link
ASRV,AmeriServ Financial declares $0.03 dividend,7/19/2024 1:02:21 PM
ASRV,ASRV Stock Earnings: AmeriServ Financial Reported Results for Q2 2024,7/16/2024 6:52:52 PM
ASRV,"UP Fintech, Applied Digital among financial movers",5/21/2024 4:00:12 PM
ASRV,"Aon, Kinsale Capital among financial movers",4/26/2024 4:00:04 PM
ASRV,AmeriServ Financial reaches cooperation agreement with SB Value Partners,4/22/2024 12:24:36 PM
ASRV,AmeriServ Financial declares $0.03 dividend,4/19/2024 1:15:34 PM
ASRV,"Root, Globe Life among financial movers",4/17/2024 4:00:08 PM
ASRV,ASRV Stock Earnings: AmeriServ Financial Reported Results for Q1 2024,4/16/2024 4:52:58 PM
ASRV,AmeriServ Financial declares $0.03 dividend,1/23/2024 1:29:09 PM
ASRV,"Pre-market Movers: ORTX, CMBM, GROM, RSVR, FEMY… ",10/5/2023 1:22:39 PM
ASRV,AmeriServ Financial declares $0.03 dividend,7/21/2023 12:31:58 PM
ASRV,AmeriServ Financial GAAP EPS of -$0.01,7/18/2023 1:47:31 PM
ASRV,"AmeriServ Financial names J. Michael Adams, Jr. as chairman",6/22/2023 1:07:05 PM
ASRV,AmeriServ Financial declares $0.03 dividend,4/21/2023 12:33:32 PM
ASRV,"AmeriServ Financial GAAP EPS of $0.09, revenue of $15.02M",4/18/2023 12:49:46 PM
ASRV,Ameriserv files lawsuit to stop activist nomination of three director candidates,3/20/2023 12:35:48 PM
ASRV,Regional Bank Stocks Getting Crushed Monday: Here Are 19 Stocks Down 10% Or More,3/13/2023 3:45:20 PM
ASRV,Insiders Buying Applied Digital And 2 Other Penny Stocks,2/9/2023 4:12:15 PM
ASRV,"AmeriServ Financial Non-GAAP EPS of $0.11, revenue of $14.04M",1/24/2023 2:00:36 PM
ASRV,AmeriServ Financial declares $0.03 dividend,10/24/2022 12:39:04 PM
ASRV,"AmeriServ Financial GAAP EPS of $0.12, revenue of $14.1M",10/18/2022 1:22:31 PM
ASRV,Bed Bath & Beyond And 3 Other Stocks Under $5 Insiders Are Aggressively Buying,7/29/2022 5:57:09 PM
ASRV,AmeriServ Financial declares $0.03 dividend,7/25/2022 1:09:27 PM
ASRV,"AmeriServ Financial GAAP EPS of $0.12, revenue of $14.26M",7/19/2022 12:30:50 PM
ASRV,AmeriServ Financial raises dividend by 20% to $0.03,4/19/2022 12:11:38 PM
ASRV,AmeriServ Financial declares $0.025 dividend,1/25/2022 1:26:56 PM
ASRV,A sportswear startup's line of luxury jacket NFTs sold out in minutes. Now the CEO is scouting out land in the metaverse for a virtual store.,1/15/2022 2:46:12 PM
ASRV,"ENSG, CYBE and SALM among after hour movers",10/25/2021 9:35:23 PM
ASRV,AmeriServ Reports Rise In Q3 Profit ,10/19/2021 3:53:20 PM
ASRV,AmeriServ Financial Reports Increased Earnings For The Second Quarter And First Six Months Of 2021 And Announces Quarterly Common Stock Cash Dividend,7/20/2021 2:00:00 PM
ASRV,AmeriServ Financial Q1 Profit Rises ,4/20/2021 3:22:27 PM
ASRV,"OTIC, HLIT, VNET and TLSA among after-hours movers",4/12/2021 9:42:06 PM
ASRV,72 Biggest Movers From Friday,3/1/2021 10:56:51 AM
ASRV,48 Stocks Moving In Friday's Mid-Day Session,2/26/2021 6:09:02 PM
ASRV,52 Stocks Moving In Thursday's Mid-Day Session,2/25/2021 6:11:09 PM
ASRV,AmeriServ Financial reports Q4 results,1/26/2021 1:31:20 PM
ASRV,AmeriServ Financial acquires a branch and deposits of Riverview Financial,1/15/2021 3:59:43 PM
ASRV,AmeriServ Financial reports Q3 results,10/20/2020 12:20:10 PM
ASRV,"CARV leads financial gainers, AINC and XRF among losers",6/18/2020 4:59:36 PM
ASRV,"AmeriServ Financial, Inc. to Webcast 2018 Annual Shareholder Meeting: Live Webcast Today",4/24/2018 4:00:00 PM
ASRV,"AmeriServ Financial, Inc. to Webcast 2018 Annual Shareholder Meeting",4/17/2018 5:00:00 PM
ASRV,Eaton Vance Corp. Declares Quarterly Dividend,4/11/2018 8:42:00 PM
ASRV,"AmeriServ Financial, Inc. to Webcast 2018 Annual Shareholder Meeting",4/2/2018 4:00:00 PM
ASRV,"AmeriServ Financial, Inc. Announces Quarterly Common Stock Cash Dividend",1/24/2018 2:00:00 PM
ASRV,AmeriServ Financial Reports Earnings For The Fourth Quarter And Full Year Of 2017,1/23/2018 2:00:00 PM
ASRV,"BRIEF-‍Ameriserv Financial Bank, USW local 2635-06 agree to new 4-year contract​ (ASRV)",10/19/2017 10:47:08 PM
ASRV,AmeriServ Financial Reports Earnings For The Third Quarter And First Nine Months Of 2017,10/17/2017 2:00:00 PM
ASRV,BRIEF-M3 Partners LP reports 5.58 pct passive stake in Ameriserv Financial as of July 19 - SEC Filing (ASRV),7/28/2017 11:32:03 PM
ASRV,BRIEF-AmeriServ Financial Q2 earnings per share $0.07 (ASRV),7/18/2017 2:22:05 PM
ASRV,"AmeriServ Financial, Inc. 2017 Annual Shareholder Meeting: Live Webcast Today",4/25/2017 2:02:00 PM
ASRV,"AmeriServ Financial, Inc. Announces Quarterly Common Stock Cash Dividend",4/24/2017 2:00:00 PM
ASRV,"AmeriServ Financial, Inc. Announces Annual Shareholder Meeting Webcast",4/18/2017 8:00:00 PM
ASRV,"AmeriServ Financial, Inc. to Webcast 2017 Annual Shareholder Meeting",4/7/2017 2:30:00 PM
