Ticker,Title,Link
VBFC,VBFC Stock Earnings: Village Bank & Trust Finl Reported Results for Q2 2024,8/9/2024 5:53:49 PM
VBFC,VBFC Stock Earnings: Village Bank & Trust Finl Reported Results for Q1 2024,4/26/2024 5:53:25 PM
VBFC,Village Bank and Trust Financial goes ex-dividend tomorrow,9/6/2023 6:28:05 PM
VBFC,Village Bank and Trust Financial goes ex-dividend tomorrow,3/8/2023 6:01:09 PM
VBFC,Village Bank and Trust Financial goes ex-dividend tomorrow,8/31/2022 4:38:22 PM
VBFC,Village Bank and Trust Financial goes ex-dividend tomorrow,6/1/2022 6:29:20 PM
VBFC,Village Bank and Trust Financial goes ex-dividend tomorrow,3/2/2022 7:04:50 PM
VBFC,Village Bank and Dominion Payroll Announce Partnership,10/19/2021 6:48:32 PM
VBFC,64 Biggest Movers From Yesterday,5/5/2021 11:59:19 AM
VBFC,"VBFC leads financial gainers, UPST and  AHT among losers",5/4/2021 5:18:52 PM
VBFC,BRIEF-Village Bank and Trust Financial reports Q3 EPS of $0.11‍​ (VBFC),10/31/2017 7:52:03 PM
VBFC,BRIEF-Village Bank and Trust Financial Q2 EPS $0.09 (VBFC),7/31/2017 8:52:03 PM
VBFC,BRIEF-Village Bank And Trust Financial q1 earnings per share $0.18 (VBFC),4/28/2017 6:01:09 PM
