Ticker,Title,Link
SHIM,Craig-Hallum Remains a Buy on Shimmick Corporation (SHIM),8/26/2024 12:15:58 PM
SHIM,Roth MKM Sticks to Their Hold Rating for Shimmick Corporation (SHIM),8/19/2024 11:56:17 AM
SHIM,"SHIM Stock Earnings: Shimmick Misses EPS, Misses Revenue for Q2 2024",8/16/2024 12:53:17 AM
SHIM,Shimmick Corporation Announces Second Quarter 2024 Results - Provides Update on Transformation Plan,8/15/2024 10:05:39 PM
SHIM,Shimmick Corporation Announces Updated Second Quarter 2024 Earnings Conference Call Date,8/13/2024 2:30:00 PM
SHIM,Analysts Offer Insights on NA Companies: Shimmick Corporation (SHIM) and Morgan Stanley Direct Lending Fund (MSDL),8/12/2024 1:35:05 PM
SHIM,Shimmick Corporation Announces Second Quarter 2024 Earnings Release Date and Conference Call,8/9/2024 10:39:01 PM
SHIM,Shimmick Named ENR Top 400 Contractor,7/23/2024 10:01:36 PM
SHIM,"Analysts Offer Insights on NA Companies: Proficient Auto Logistics, Inc. (PAL) and Shimmick Corporation (SHIM)",7/17/2024 4:11:22 PM
SHIM,Shimmick Awarded $27.6 Million Subcontract for Sunol Valley Water Treatment Plant Ozonation Project,7/16/2024 10:05:45 PM
SHIM,Craig-Hallum Reaffirms Their Hold Rating on Shimmick Corporation (SHIM),6/24/2024 1:35:37 PM
SHIM,Shimmick Names Mobley Interim CFO ,6/21/2024 2:19:37 PM
SHIM,Shimmick Corporation (SHIM) Receives a Hold from Craig-Hallum,5/21/2024 1:06:22 PM
SHIM,Shimmick Takes Pivotal Steps to Further Advance Evolution as Leader in Water Infrastructure,5/20/2024 2:37:48 PM
SHIM,"JAN, MTC and PROK among mid-day movers",5/14/2024 5:44:42 PM
SHIM,Shimmick Corporation Announces First Quarter 2024 Results,5/13/2024 10:17:37 PM
SHIM,Craig-Hallum Remains a Buy on Shimmick Corporation (SHIM),5/10/2024 1:16:26 PM
SHIM,"ENPH, SEDG and MEDP are among after hour movers",4/23/2024 9:04:12 PM
SHIM,"OPI, RVNC and AQST are among after hour movers",4/22/2024 8:53:54 PM
SHIM,"SHIM Stock Earnings: Shimmick Misses EPS, Misses Revenue for Q4 2023",3/28/2024 3:53:53 PM
SHIM,Craig-Hallum Reaffirms Their Buy Rating on Shimmick Corporation (SHIM),3/27/2024 12:26:05 PM
SHIM,Shimmick Corporation Announces Fourth Quarter and Fiscal Year 2023 Earnings Release Date and Conference Call,3/26/2024 9:55:28 PM
SHIM,SHIM Stock Earnings: Shimmick Reported Results for Q3 2023,12/20/2023 2:52:18 AM
SHIM,Shimmick Corp. Announces Third Quarter 2023 Results,12/19/2023 10:05:00 PM
SHIM,Shimmick Corporation (SHIM) Receives a Buy from Craig-Hallum,12/18/2023 2:26:56 PM
SHIM,Shimmick Corporation Appoints Joe Del Guercio to Board of Directors,12/15/2023 2:00:00 PM
SHIM,Shimmick Corporation Announces Third Quarter 2023 Earnings Release Date and Conference Call,12/11/2023 10:05:53 PM
SHIM,Shimmick Corporation Announces Pricing of Initial Public Offering,11/14/2023 2:26:15 AM
