Ticker,Title,Link
NXPL,"NextPlat GAAP EPS of -$0.28, revenue of $17M",8/15/2024 3:43:14 PM
NXPL,NXPL Stock Earnings: NextPlat Reported Results for Q2 2024,8/14/2024 4:53:46 PM
NXPL,NXPL Stock Earnings: NextPlat Reported Results for Q1 2024,5/16/2024 1:54:42 AM
NXPL,NextPlat reports Q1 results,5/15/2024 8:36:51 PM
NXPL,Why Ultragenyx Pharmaceutical Shares Are Trading Lower By Around 9%? Here Are Other Stocks Moving In Monday's Mid-Day Session,4/15/2024 8:11:36 PM
NXPL,Nasdaq Down 300 Points; BlackRock Posts Upbeat Earnings,4/12/2024 9:00:42 PM
NXPL,NextPlat expands North American e-commerce business with Outfitter buy,3/26/2024 12:13:37 PM
NXPL,Budget Bets: Top 3 Penny Stocks with Potential for Explosive Growth,1/4/2024 7:03:19 PM
NXPL,Progressive Care's PharmcoRx Pharmacies Expands Medicare Advantage Over-the-Counter Benefits Acceptance Program Through New Agreement with ProHealth Connect,12/14/2023 2:00:00 PM
NXPL,Progressive Care's PharmcoRx Enters into Agreement with NationsBenefits to Offer Enhanced OTC Benefits to Health Plan Members,11/20/2023 2:00:00 PM
NXPL,"NextPlat Reports Consolidated Third Quarter 2023 Results with Increased Revenues of $15.3 Million, Margins Improve to 30% and $2.7 Million Net Income",11/14/2023 2:45:00 PM
NXPL,Why Microsoft Shares Are Trading Higher; Here Are 20 Stocks Moving Premarket,10/25/2023 2:03:08 PM
NXPL,NextPlat to Present at 8th Annual Dawson James Conference,10/4/2023 2:00:00 PM
NXPL,Why Flux Power Shares Are Trading Lower By 15%? Here Are Other Stocks Moving In Friday's Mid-Day Session,9/22/2023 8:22:37 PM
NXPL,NextPlat reports Q2 results,8/14/2023 1:36:23 PM
NXPL,Why American Software Shares Are Trading Lower By Over 20%? Here Are Other Stocks Moving In Friday's Mid-Day Session,6/9/2023 6:49:35 PM
NXPL,NextPlat reports Q1 results,5/16/2023 8:16:58 AM
NXPL,Why Aaron's Shares Are Trading Higher By Around 10%; Here Are 20 Stocks Moving Premarket,4/25/2023 2:03:05 PM
NXPL,Why IDEAYA Biosciences Shares Are Trading Higher By Around 27%? Here Are Other Stocks Moving In Monday's Mid-Day Session,4/24/2023 7:29:40 PM
NXPL,NextPlat stock soars ~35% after hours on merchant sourcing deal with Alibaba,4/21/2023 8:39:50 PM
NXPL,NextPlat reports FY results,4/3/2023 5:17:10 AM
NXPL,Today’s Biggest Pre-Market Stock Movers: 10 Top Gainers and Losers on Tuesday,1/10/2023 12:28:03 PM
NXPL,Why PagSeguro Digital Shares Are Trading Lower By 18%? Here Are 40 Stocks Moving In Wednesday's Mid-Day Session,11/23/2022 7:27:38 PM
NXPL,NextPlat reports Q3 results,11/15/2022 2:43:28 PM
NXPL,"Pre-market Movers: NXPL, ARC, PEGY, SNTI, CSCW… ",10/6/2022 1:14:54 PM
NXPL,"Pre-market Movers: LVWR, NXPL, MYOV, AMV, FNGR… ",10/3/2022 1:06:21 PM
NXPL,"Pre-market Movers: SILO, PRTA, BIIB, NXPL, ABOS… ",9/28/2022 12:53:05 PM
NXPL,"Pre-market Movers: NXPL, HHGC, SLS, BLU, CWBR… ",9/23/2022 1:12:30 PM
NXPL,NextPlat completes $7M investment in Progressive Care,8/31/2022 12:39:36 PM
NXPL,NextPlat reports Q2 results,8/15/2022 12:07:38 PM
NXPL,ACM Research and Arqit Quantum among tech gainers; SMART Global and KULR Technology among losers,6/30/2022 7:00:04 PM
NXPL,71 Biggest Movers From Yesterday,5/25/2022 10:33:52 AM
NXPL,Quantum Computing tops tech gainers; BigBear.ai tops losers,5/24/2022 7:01:22 PM
NXPL,Today’s Biggest Pre-Market Stock Movers: 10 Top Gainers and Losers on Tuesday,5/17/2022 11:30:02 AM
NXPL,NextPlat reports Q1 results,5/16/2022 8:54:55 PM
NXPL,Today’s Biggest Pre-Market Stock Movers: 10 Top Gainers and Losers on Friday,4/1/2022 11:28:53 AM
NXPL,61 Biggest Movers From Yesterday,1/4/2022 11:06:34 AM
NXPL,35 Stocks Moving In Monday's Mid-Day Session,1/3/2022 6:06:06 PM
NXPL,15 Stocks Moving in Monday's Pre-Market Session,12/27/2021 12:17:56 PM
NXPL,75 Biggest Movers From Yesterday,8/4/2021 11:06:01 AM
NXPL,63 Biggest Movers From Friday,8/2/2021 11:13:12 AM
NXPL,62 Biggest Movers From Yesterday,7/28/2021 11:15:51 AM
NXPL,44 Stocks Moving In Tuesday's Mid-Day Session,7/27/2021 6:17:16 PM
NXPL,64 Biggest Movers From Yesterday,7/14/2021 10:50:52 AM
NXPL,Mid-Afternoon Market Update: Dow Falls 75 Points; Red Cat Holdings Shares Spike Higher,7/13/2021 8:38:24 PM
NXPL,24 Stocks Moving in Monday's Pre-Market Session,7/12/2021 1:06:12 PM
NXPL,28 Stocks Moving in Friday's Pre-Market Session,7/9/2021 1:02:11 PM
NXPL,38 Stocks Moving In Thursday's Mid-Day Session,7/8/2021 6:06:50 PM
NXPL,42 Stocks Moving In Wednesday's Mid-Day Session,7/7/2021 6:10:39 PM
NXPL,42 Stocks Moving In Tuesday's Mid-Day Session,7/6/2021 6:00:43 PM
NXPL,46 Stocks Moving In Friday's Mid-Day Session,6/11/2021 7:10:12 PM
NXPL,42 Stocks Moving In Thursday's Mid-Day Session,6/10/2021 6:00:58 PM
NXPL,75 Biggest Movers From Yesterday,6/9/2021 11:01:17 AM
NXPL,24 Stocks Moving in Tuesday's Pre-Market Session,6/1/2021 1:02:31 PM
