Ticker,Title,Link
TYL,"Analysts Offer Insights on Technology Companies: Coherent Corp (COHR), Tyler Technologies (TYL) and Palo Alto Networks (PANW)",8/20/2024 11:50:09 AM
TYL,"Analysts Have Conflicting Sentiments on These Technology Companies: Tyler Technologies (TYL), Qorvo (QRVO) and BYD Electronic (International) Co (OtherBYDIF)",7/30/2024 8:02:10 AM
TYL,Analysts Conflicted on These Technology Names: Tyler Technologies (TYL) and SPS Commerce (SPSC),7/26/2024 11:02:28 AM
TYL,Tyler Technologies: A Strong Buy on Cloud Expansion and Market Share Growth Potential,7/25/2024 6:25:21 PM
TYL,"Tyler Technologies Inc. Profit Rises In Q2, But Misses Estimates ",7/24/2024 11:24:07 PM
TYL,Notable earnings after Wednesday's close,7/23/2024 9:35:48 PM
TYL,‘Don’t Be Scared of Heights’: J.P. Morgan Suggests 2 Stocks to Buy,7/21/2024 10:00:57 AM
TYL,Buy Rating Affirmed for Tyler Technologies Amid Strong Growth and Market Position,7/18/2024 9:45:24 AM
TYL,Tyler Technologies (TYL) Receives a Buy from Wells Fargo,7/13/2024 3:29:29 PM
TYL,Unveiling 15 Analyst Insights On Tyler Technologies,7/11/2024 7:01:16 PM
TYL,Tyler Technologies (TYL) Receives a Buy from Wells Fargo,7/4/2024 11:57:25 AM
TYL,"New Buy Rating for Tyler Technologies (TYL), the Technology Giant",6/28/2024 11:45:57 AM
TYL,"New Buy Rating for Tyler Technologies (TYL), the Technology Giant",6/21/2024 9:59:30 AM
TYL,Tyler Technologies Rides on Growing Customer Base,6/17/2024 9:57:49 PM
TYL,3 Boring Stocks to Buy if You Want to Win the Long Game ,6/14/2024 5:49:37 PM
TYL,"New Buy Rating for Tyler Technologies (TYL), the Technology Giant",6/8/2024 11:57:12 AM
TYL,Wells Fargo Remains a Buy on Tyler Technologies (TYL),5/31/2024 1:37:23 PM
TYL,Buy Rating Affirmed: Tyler Technologies’ Strong Market Position and Growth Trajectory,5/28/2024 6:15:45 PM
TYL,"Buy Rating for Tyler Technologies: Strong Demand, AI Adoption, and Cloud Transition Drive Growth Prospects",5/22/2024 9:37:19 AM
TYL,12 Analysts Assess Tyler Technologies: What You Need To Know,5/21/2024 8:01:34 PM
TYL,Wells Fargo Reaffirms Their Buy Rating on Tyler Technologies (TYL),5/20/2024 10:21:09 AM
TYL,Here are the biggest single-session post-results gains from the recent earnings season,5/17/2024 6:40:17 PM
TYL,Analysts Conflicted on These Technology Names: Telesat Corp (TSAT) and Tyler Technologies (TYL),4/30/2024 10:30:59 AM
TYL,"With rate cuts pushed out, Goldman looks at quality stocks",4/28/2024 7:24:54 PM
TYL,Tyler Technologies (TYL) Receives a Buy from Piper Sandler,4/26/2024 11:51:46 AM
TYL,The Latest Analyst Ratings For Tyler Technologies,4/25/2024 3:00:22 PM
TYL,"Tyler Technologies Non-GAAP EPS of $2.20 beats by $0.20, revenue of $512.4M beats by $4.45M",4/24/2024 8:20:39 PM
TYL,Tyler Technologies Q1 2024 Earnings Preview,4/23/2024 9:35:34 PM
TYL,The SaaS Surge: 3 Unstoppable Stocks to Propel Your Portfolio to New Heights,4/22/2024 8:01:03 PM
TYL,D.A. Davidson Sticks to Their Hold Rating for Tyler Technologies (TYL),4/17/2024 12:45:15 PM
TYL,Wells Fargo Remains a Buy on Tyler Technologies (TYL),4/15/2024 1:38:43 AM
TYL,"Analysts Offer Insights on Technology Companies: Tyler Technologies (TYL), Intel (INTC) and BlackBerry (BB)",4/8/2024 8:31:24 AM
TYL,"Jim Cramer Says 'Ka-Ching' For This Airline Stock, Plus: 'Ring The Register' For Kodiak",4/2/2024 2:58:46 PM
TYL,Tyler Technologies (TYL) Gets a Buy from Wells Fargo,3/23/2024 2:36:26 PM
TYL,"Analysts Conflicted on These Technology Names: Accenture (ACN), Tyler Technologies (TYL) and Five9 (FIVN)",3/22/2024 7:31:36 AM
TYL,"Analysts Offer Insights on Technology Companies: Littelfuse (LFUS), Tyler Technologies (TYL) and Paycor HCM (PYCR)",3/13/2024 6:21:26 AM
TYL,Analyst Scoreboard: 10 Ratings For Tyler Technologies,3/8/2024 8:00:23 PM
TYL,Stocks with the most insider buying and selling,3/3/2024 7:54:47 PM
TYL,3 Growth Stocks to Buy and Hold to Build Future Fortune,2/23/2024 4:00:40 PM
TYL,This Analyst With 87% Accuracy Rate Sees Around 20% Upside In Twilio - Here Are 5 Stock Picks For Last Week From Wall Street's Most Accurate Analysts,2/20/2024 12:52:44 PM
TYL,"Analysts Are Bullish on These Technology Stocks: Datadog (DDOG), Tyler Technologies (TYL)",2/16/2024 1:01:51 PM
TYL,Positive Outlook on Tyler Technologies’ Cloud Transition and Financial Health: Maintaining Buy Rating,2/15/2024 10:25:26 PM
TYL,"Tyler Technologies Non-GAAP EPS of $1.89 beats by $0.03, revenue of $480.9M misses by $3.95M",2/14/2024 9:24:21 PM
TYL,Tyler Technologies Q4 2023 Earnings Preview,2/13/2024 10:35:44 PM
TYL,"Analysts Have Conflicting Sentiments on These Technology Companies: Tyler Technologies (TYL), Cognizant (CTSH) and Gartner (IT)",2/9/2024 6:07:33 AM
TYL,D.A. Davidson Remains a Hold on Tyler Technologies (TYL),2/1/2024 1:36:29 PM
TYL,Wells Fargo Sticks to Their Buy Rating for Tyler Technologies (TYL),1/29/2024 10:00:11 AM
TYL,4 Stocks to Buy for the Coming AI Wars,1/23/2024 9:06:32 PM
TYL,BTIG Reaffirms Their Buy Rating on Tyler Technologies (TYL),1/7/2024 10:43:37 AM
TYL,Assessing Tyler Technologies: Insights From 7 Financial Analysts,1/4/2024 2:00:54 PM
TYL,BTIG Remains a Buy on Tyler Technologies (TYL),1/2/2024 2:43:11 PM
TYL,Tyler Technologies (TYL) Gets a Buy from BTIG,12/31/2023 10:22:26 AM
TYL,Wells Fargo Sticks to Their Buy Rating for Tyler Technologies (TYL),12/20/2023 2:06:05 PM
TYL,D.A. Davidson Keeps Their Hold Rating on Tyler Technologies (TYL),11/29/2023 1:37:45 PM
TYL,"Analysts Offer Insights on Technology Companies: Microsoft (MSFT), Workday (WDAY) and Tyler Technologies (TYL)",11/23/2023 11:50:33 AM
TYL,6 Analysts Have This to Say About Tyler Technologies,11/20/2023 4:00:51 PM
TYL,"Analysts Offer Insights on Technology Companies: Tyler Technologies (TYL), Docebo (DCBO) and Stem Inc (STEM)",11/6/2023 1:31:19 PM
TYL,Analyst Expectations for Tyler Technologies's Future,11/3/2023 2:00:37 PM
TYL,Continued Momentum in Cloud Transition and Strong Revenue Growth Bolster Buy Rating for Tyler Technologies,11/2/2023 6:54:19 PM
TYL,Analysts Offer Insights on Technology Companies: Intuit (INTU) and Tyler Technologies (TYL),11/1/2023 10:20:07 AM
TYL,Tyler Technologies earnings: here's what to expect,10/31/2023 3:01:13 PM
TYL,Tyler Tech Signs Contract With NGB ,10/27/2023 5:41:54 PM
TYL,"Analysts Conflicted on These Technology Names: Tyler Technologies (TYL), Procore Technologies (PCOR) and Amazon (AMZN)",10/19/2023 1:20:22 PM
TYL,What 8 Analyst Ratings Have To Say About Tyler Technologies,10/17/2023 11:00:38 PM
TYL,"Analysts Are Bullish on Top Technology Stocks: Kenvue, Inc. (KVUE), Palo Alto Networks (PANW)",8/17/2023 10:40:20 AM
TYL,Wall Street Analysts Are Bullish on Top Technology Picks,8/1/2023 2:31:25 AM
TYL,Analysts Offer Insights on Technology Companies: Procore Technologies (PCOR) and Tyler Technologies (TYL),7/27/2023 12:40:26 PM
TYL,"Tyler Technologies Non-GAAP EPS of $2.01 beats by $0.12, revenue of $504.3M beats by $13.11M",7/26/2023 8:24:59 PM
TYL,Notable earnings after Wednesday's close,7/25/2023 9:35:43 PM
TYL,The Latest Analyst Ratings for Tyler Technologies,7/14/2023 5:01:06 PM
TYL,"BTIG unveils top picks for rest of '23: D.R. Horton, CrowdStrike, DraftKings among names",7/7/2023 10:24:04 AM
TYL,Robert W. Baird Remains a Buy on Tyler Technologies (TYL),6/28/2023 2:35:10 PM
TYL,7 Stocks in Hot Water: Dump This Dead Weight as Costs Skyrocket,6/22/2023 12:52:37 AM
TYL,"Benzinga's Top Ratings Upgrades, Downgrades For June 21, 2023",6/21/2023 5:01:50 PM
TYL,Tyler Technologies (TYL) Receives a Buy from Robert W. Baird,6/20/2023 5:35:13 AM
TYL,Tyler Technologies (TYL) Gets a Hold from Barclays,6/17/2023 1:25:10 AM
TYL,Tyler Technologies Poised For Gross Margin Improvement And $1B FCF Target By 2030: Analyst,6/16/2023 8:12:16 PM
TYL,What 14 Analyst Ratings Have To Say About Tyler Technologies,6/14/2023 5:00:40 PM
TYL,"Analysts’ Opinions Are Mixed on These Technology Stocks: Tyler Technologies (TYL), Apple (AAPL) and NICE (NICE)",6/7/2023 9:01:02 AM
TYL,Expert Ratings for Tyler Technologies,5/9/2023 2:09:33 PM
TYL,"Benzinga's Top Ratings Upgrades, Downgrades For April 28, 2023",4/28/2023 5:00:31 PM
TYL,"Analysts Offer Insights on Technology Companies: HP (HPQ), Tyler Technologies (TYL) and ServiceNow (NOW)",4/27/2023 11:20:41 AM
TYL,"Tyler Technologies Q1 results beat estimates, co gives in-line FY 2023 guidance",4/26/2023 8:21:39 PM
TYL,Notable earnings after Wednesday's close,4/25/2023 9:35:52 PM
TYL,The 7 Most Undervalued Stocks and Cryptos of 2023,4/20/2023 6:33:29 PM
TYL,10 Analysts Have This to Say About Tyler Technologies,4/19/2023 6:00:22 PM
TYL,"Benzinga's Top Ratings Upgrades, Downgrades For April 18, 2023",4/18/2023 5:00:48 PM
TYL,Expert Ratings for Tyler Technologies,4/3/2023 2:08:44 PM
TYL,Analyst Ratings for Tyler Technologies,3/17/2023 6:01:16 PM
TYL,Tyler Technologies dividend declines by 3.3% to $0.29,3/3/2023 4:18:37 PM
TYL,"Tyler Technologies acquires real estate appraisals and assessments company, Safegroud Analytics",3/1/2023 2:55:47 PM
TYL,Analysts Conflicted on These Technology Names: Tyler Technologies (TYL) and TELUS International (CDA) (TIXT),2/21/2023 4:50:54 AM
TYL,NVIDIA To Rally Around Over 30%? Here Are 10 Other Analyst Forecasts For Friday,2/17/2023 2:30:25 PM
TYL,Analyst Expectations for Tyler Technologies's Future,2/16/2023 1:01:25 PM
TYL,"Tyler Technologies GAAP EPS of $0.73 misses by $0.06, revenue of $452.2M misses by $3.34M",2/15/2023 9:24:01 PM
TYL,Notable earnings after Wednesday's close,2/14/2023 10:35:51 PM
TYL,What 4 Analyst Ratings Have To Say About Tyler Technologies,1/31/2023 10:01:37 PM
TYL,7 Tech Stocks to Buy as a New Bull Market Emerges ,1/24/2023 3:04:48 AM
TYL,"MeridianLink Downgraded Due to High Mortgage Exposure, Shares Fall",1/11/2023 9:03:11 PM
TYL,"Analysts Conflicted on These Technology Names: Tyler Technologies (TYL), Shutterstock (SSTK) and Everbridge (EVBG)",1/10/2023 11:00:58 PM
TYL,25 Tech Stocks to Buy Before They Take Off in 2023,12/31/2022 9:01:49 PM
TYL,Analyst Ratings for Tyler Technologies,12/13/2022 5:01:12 PM
TYL,"Benzinga's Top Ratings Upgrades, Downgrades For November 10, 2022",11/10/2022 3:11:32 PM
TYL,7 Tech Stocks Set to Soar From 52-Week Lows,11/3/2022 5:51:21 PM
TYL,"Analysts’ Opinions Are Mixed on These Technology Stocks: Gartner (IT), Tyler Technologies (TYL) and Paycom (PAYC)",11/2/2022 12:44:03 PM
TYL,"Analysts Offer Insights on Technology Companies: Caci International (CACI), Tyler Technologies (TYL) and Autodesk (ADSK)",10/31/2022 4:21:02 AM
TYL,"Analysts Offer Insights on Technology Companies: Tyler Technologies (TYL), Zendesk (ZEN) and Shopify (SHOP)",10/28/2022 5:02:06 AM
TYL,Tyler Technologies to acquire payment platform Rapid Financial in $68M deal,10/27/2022 12:36:03 PM
TYL,"Tyler Technologies GAAP EPS of $1.26 beats by $0.37, revenue of $473.2M beats by $1.69M",10/26/2022 8:28:10 PM
TYL,Here's what to expect from Tyler Technologies's earnings,10/25/2022 3:01:13 PM
TYL,"Analysts Are Bullish on These Technology Stocks: Tyler Technologies (TYL), Paycor HCM (PYCR)",10/19/2022 5:20:24 AM
TYL,"Analysts Offer Insights on Technology Companies: Tyler Technologies (TYL), Airbus Group SE (OtherEADSF) and Nagarro SE (OtherNGRRF)",10/18/2022 10:50:50 AM
TYL,Strong dollar will be the new earnings excuse; these stocks look insulated,10/12/2022 11:03:35 AM
TYL,Expert Ratings for Tyler Technologies,7/28/2022 8:32:41 PM
TYL,"Tyler Technologies Non-GAAP EPS of $1.88 beats by $0.06, revenue of $468.69M beats by $10.19M",7/27/2022 8:29:48 PM
TYL,Notable earnings after Wednesday's close,7/26/2022 9:35:37 PM
TYL,"Enterprise Software Firms Like Coursera, Five9, Teladoc Health And More Will 'Bake Looming Macro Slowdown Into Guidance,' Cautions This Analyst",7/25/2022 9:27:01 PM
TYL,Apple To $173? Here's The Biggest Price Target Changes For Tuesday,7/12/2022 2:10:51 PM
TYL,6 Analysts Have This to Say About Tyler Technologies,7/5/2022 6:09:15 PM
TYL,Tyler Technologies dips as Executive Chairman sells shares worth $2.2M,6/13/2022 4:48:37 PM
TYL,3 Undervalued Stocks to Buy That Are Preparing to Rocket in 2022,6/10/2022 2:12:43 PM
TYL,"Benzinga's Top Ratings Upgrades, Downgrades For June 7, 2022",6/7/2022 4:14:59 PM
TYL,Nearmap location data integrated into workflows of America's largest provider of Computer Assisted Mass Appraisals for properties,6/6/2022 4:00:00 PM
TYL,Tyler Technologies acquires Quatred,5/31/2022 1:31:26 PM
TYL,"Benzinga's Top Ratings Upgrades, Downgrades For May 10, 2022",5/10/2022 4:17:40 PM
TYL,"Tyler Technologies Non-GAAP EPS of $1.90 beats by $0.22, revenue of $456.1M beats by $31.12M",4/27/2022 8:33:01 PM
TYL,Notable earnings after Wednesday's close,4/26/2022 9:35:28 PM
TYL,Where Tyler Technologies Stands With Analysts,4/25/2022 10:01:39 PM
TYL,"Benzinga's Top Ratings Upgrades, Downgrades For April 18, 2022",4/18/2022 4:04:01 PM
TYL,Expert Ratings For Tyler Technologies,3/15/2022 7:01:32 PM
TYL,"Benzinga's Top Ratings Upgrades, Downgrades For March 14, 2022",3/14/2022 4:03:08 PM
TYL,Tyler Technologies falls 7% after guiding FY22 below consensus,2/17/2022 6:29:16 PM
TYL,"Tyler Technologies Non-GAAP EPS of $1.75 beats by $0.01, revenue of $433.5M in-line",2/16/2022 9:27:56 PM
TYL,Tyler Technologies Q4 2021 Earnings Preview,2/15/2022 10:35:33 PM
TYL,Tyler Technologies acquires US eDirect to offer all-in-one outdoor recreation solution,2/8/2022 2:29:56 PM
