Ticker,Title,Link
XPON,Expion360 Partners with Alaskan Campers to Equip Truck Campers with Advanced Lithium Battery Solutions,8/19/2024 2:31:00 PM
XPON,"XPON Stock Earnings: Expion360 Misses EPS, Misses Revenue for Q2 2024",8/15/2024 12:56:18 AM
XPON,Expion360 Reports Second Quarter 2024 Financial Results,8/14/2024 10:05:00 PM
XPON,Expion360 earnings preview: what to expect,8/13/2024 3:01:13 PM
XPON,"Expion360 to Host Second Quarter 2024 Financial Results Conference Call on Wednesday, August 14, 2024 at 4:30 p.m. Eastern Time",8/8/2024 10:05:00 PM
XPON,Expion360 Announces Pricing of $10 Million Underwritten Public Offering,8/7/2024 2:50:00 PM
XPON,"Expion360 Partners with K-Z Recreational Vehicles, a Division of Thor Industries, Inc., to Provide Advanced Lithium Battery Solutions",8/6/2024 2:31:00 PM
XPON,Today’s Biggest Pre-Market Stock Movers: 10 Top Gainers and Losers on Thursday,6/13/2024 11:30:10 AM
XPON,"Expion360 to Present at the Noble Capital Virtual TMT Conference on Wednesday June 26, 2024",6/12/2024 2:31:00 PM
XPON,Expion360 Announces New Online Retail Partnership with Tractor Supply Company,5/16/2024 2:31:00 PM
XPON,"XPON Stock Earnings: Expion360 Misses EPS, Misses Revenue for Q1 2024",5/15/2024 1:54:01 AM
XPON,Expion360 Reports First Quarter 2024 Financial Results,5/14/2024 10:10:00 PM
XPON,Expion360 Announces Launch of Edge™ LiFePO4 Battery Utilizing a Modular Design for Off-Grid Power Storage Solutions,5/8/2024 2:31:00 PM
XPON,"Expion360 to Host First Quarter 2024 Financial Results Conference Call on Tuesday, May 14, 2024 at 4:30 p.m. Eastern Time",5/3/2024 2:31:00 PM
XPON,"INDO, IPDN and GSUN among mid-day movers",4/19/2024 4:45:34 PM
XPON,"CGC, GENE and HOLO among mid-day movers",4/18/2024 4:42:59 PM
XPON,"XPON Stock Earnings: Expion360 Misses EPS, Misses Revenue for Q4 2023",3/29/2024 12:53:13 AM
XPON,Expion360 Reports Fourth Quarter and Full Year 2023 Financial Results,3/28/2024 9:01:00 PM
XPON,Expion360 Achieves UL 1973 Compliance for EX1 SmartTalk™ Bluetooth® Batteries,3/13/2024 1:31:00 PM
XPON,"Expion360 to Host Fourth Quarter and Full Year 2023 Financial Results Conference Call on Thursday, March 28, 2024 at 4:30 p.m. Eastern Time",3/12/2024 1:31:00 PM
XPON,"Expion360 to Attend the 36th Annual ROTH Conference on March 17-19, 2024",2/20/2024 2:31:00 PM
XPON,Expion360 Issues Stockholder Letter and Provides Corporate Update,2/6/2024 2:31:00 PM
XPON,Expion360 Announces Next Generation GC2 and Group 27 Series LiFePO4 Batteries for Recreational Vehicles,1/17/2024 10:05:00 PM
XPON,"Expion360 GAAP EPS of $0.21, revenue of $1.73M",8/11/2023 4:22:45 PM
XPON,"Expion360 GAAP EPS of -$0.29 misses by $0.08, revenue of $1.5M beats by $0.04M",5/11/2023 9:23:15 PM
XPON,"Expion360 GAAP EPS of -$1.23 misses by $0.07, revenue of $7.16M beats by $0.02M",3/31/2023 4:43:24 AM
XPON,"GTLS, TUSK and DFLI among industrial movers",3/17/2023 5:14:28 PM
XPON,"10 Short Squeeze Candidates: China Jo-Jo Drugstores, Expion360, MoonLake, Silvergate And More",3/6/2023 5:43:32 PM
XPON,"Range Resources, TEGNA, Ready Capital among premarket losers' pack",2/27/2023 1:31:21 PM
XPON,"Galapagos, Carvana, Cinemark among premarket losers' pack",2/24/2023 2:00:41 PM
