Ticker,Title,Link
FCNCA,First Citizens BancShares files for potential mixed shelf by holders,8/14/2024 9:29:48 PM
FCNCA,"Analysts Conflicted on These Financial Names: First Citizens BancShares (FCNCA), Green Dot (GDOT) and P10 Holdings (PX)",8/9/2024 7:59:08 AM
FCNCA,Capri Holdings gains as Greenlight adds in Q2 on prospect for Tapestry court victory (update),8/6/2024 5:39:17 PM
FCNCA,Jefferies Sticks to Its Buy Rating for First Citizens BancShares (FCNCA),7/30/2024 12:08:24 PM
FCNCA,First Citizens BancShares (FCNCA) Gets a Buy from J.P. Morgan,7/29/2024 12:21:50 PM
FCNCA,"Insurers, regional banks climb; bitcoin miners, fintechs slide; week's financials wrap",7/27/2024 2:13:00 PM
FCNCA,First Citizens BancShares declares $1.64 dividend,7/26/2024 11:46:02 AM
FCNCA,Strong Performance and Positive Outlook Justify Buy Rating for First Citizens BancShares,7/25/2024 6:25:39 PM
FCNCA,First Citizens BancShares Q2 2024 Earnings Preview,7/24/2024 3:34:45 PM
FCNCA,First Citizens stock rises as Jefferies starts bank at Buy,7/9/2024 5:11:31 PM
FCNCA,3 Stocks to Buy and Hold to Channel Your Inner Nancy Pelosi,7/4/2024 4:00:00 PM
FCNCA,"Comerica, First Citizens Bancshares upgraded at Raymond James ahead of Q2 earnings",7/2/2024 8:05:07 PM
FCNCA,Barclays Reaffirms Their Hold Rating on First Citizens BancShares (FCNCA),6/26/2024 7:16:23 AM
FCNCA,Analysts’ Opinions Are Mixed on These Financial Stocks: Apollo Global Management (APO) and First Citizens BancShares (FCNCA),5/10/2024 9:50:15 AM
FCNCA,JPMorgan's 'Magnificent Seven' — Bank Version: These Stock Picks Have 'Strong Upside Potential',5/6/2024 9:55:33 PM
FCNCA,"Citizens Financial upgraded, First Citizens downgraded at Piper Sandler",4/26/2024 2:30:16 PM
FCNCA,"First Citizens stock drives up after Q1 earnings beat amid solid loan, deposit growth",4/25/2024 6:53:15 PM
FCNCA,First Citizens BancShares Q1 2024 Earnings Preview,4/24/2024 4:54:00 PM
FCNCA,First Citizens Bank gives $58.4M in financing to Anchor Health Properties,4/23/2024 1:13:54 PM
FCNCA,Top 10 best-performing bank stocks of 2024 as earnings results roll in,4/16/2024 2:38:01 PM
FCNCA,Analyst Scoreboard: 4 Ratings For First Citizens BancShares,4/15/2024 9:01:26 PM
FCNCA,Analysts Offer Insights on Financial Companies: First Citizens BancShares (FCNCA) and KKR & Co (KKR),4/11/2024 7:11:18 AM
FCNCA,Parafin secures $125 mln warehouse facility from Silicon Valley Bank and Trinity Capital,4/9/2024 3:27:58 PM
FCNCA,"First Citizens BancShares Is Ready To Beat Current Street Expectations, Says Bullish Analyst",3/21/2024 6:54:13 PM
FCNCA,SVB Financial agrees to sell Indian unit to First Citizens in Chapter 11 case,3/20/2024 8:37:57 PM
FCNCA,First Citizens Bank provides $33.5M to Adams Beverages,3/11/2024 1:29:59 PM
FCNCA,First Citizens BancShares (FCNCA) Gets a Buy from Piper Sandler,1/29/2024 2:07:35 PM
FCNCA,"First Citizens BancShares Q4 earnings dented by lower NII, higher credit loss provision",1/26/2024 2:34:26 PM
FCNCA,First Citizens BancShares Q4 2023 Earnings Preview,1/25/2024 4:21:24 PM
FCNCA,CIT Northbridge Credit Provides Working Capital Financing to Winona Foods,12/20/2023 3:00:00 PM
FCNCA,First Citizens Bank Provides $65.2 Million to Jupiter Power for Standalone Battery Energy Storage Project Financing,12/19/2023 4:47:00 PM
FCNCA,Leitch Appointed to First Citizens BancShares Board of Directors,12/15/2023 2:30:00 PM
FCNCA,First Citizens Bank Serves as Lead Arranger on $345 Million in Financing for DataBank Data Center,12/12/2023 3:00:00 PM
FCNCA,CIT Northbridge Provides $85 Million in Financing to CVB Inc.,12/11/2023 3:00:00 PM
FCNCA,First Citizens Serves as Joint Lead Arranger and Joint Bookrunner on Financing for Global Home Care Services Platform,12/7/2023 3:00:00 PM
FCNCA,"First Citizens Bank Provides $10 Million to FitLife Brands, Inc. for Acquisition of MusclePharm",12/6/2023 3:00:00 PM
FCNCA,CIT Northbridge Serves as Administrative Agent on $75 Million Revolving Credit Facility,12/5/2023 3:00:00 PM
FCNCA,First Citizens Bank Arranges $75 Million in Financing for Turning Point Brands,11/30/2023 3:00:00 PM
FCNCA,First Citizens Bank Arranges $99.3 Million for Kayne Anderson Real Estate and Remedy Medical Properties Joint Ventures,11/29/2023 3:15:00 PM
FCNCA,First Citizens Bank Provides Credit Facility to a Behavioral Healthcare Services Company,11/16/2023 3:30:00 PM
FCNCA,"First Citizens Bank Provides $17.5 Million in Financing for Acquisition of a Rehabilitation Hospital in San Antonio, Texas",11/15/2023 3:00:00 PM
FCNCA,First Citizens Bank Leads $170 Million Refinancing for California Battery Energy Storage Project Portfolio,11/14/2023 6:00:00 PM
FCNCA,"FIRST CITIZENS BANK CONTRIBUTES $200,000 TO NONPROFITS PROVIDING RELIEF IN AREAS IMPACTED BY HAWAII WILDFIRES",11/7/2023 3:00:00 PM
FCNCA,What 5 Analyst Ratings Have To Say About First Citizens BancShares,11/3/2023 8:00:19 PM
FCNCA,First Citizens Bank Provides $44 Million Construction Loan for Philadelphia Distribution Center,11/2/2023 2:00:00 PM
FCNCA,First Citizens Mourns the Passing of Director Floyd Keels,11/1/2023 10:00:00 PM
FCNCA,"Analysts Have Conflicting Sentiments on These Financial Companies: First Citizens BancShares (FCNCA), PNC Financial (PNC) and GooseHead Insurance (GSHD)",10/31/2023 12:30:36 PM
FCNCA,Solid Performance and Promising Outlook Prompt ‘Buy’ Rating for First Citizens BancShares: An Analysis,10/26/2023 5:25:56 PM
FCNCA,First Citizens Bancshares A earnings preview: what to expect,10/25/2023 3:01:13 PM
FCNCA,First Citizens Provides $60 Million Credit Facility for 200-Megawatt Battery Storage Project in California,10/24/2023 5:00:00 PM
FCNCA,Silicon Valley Bank Rolls Out New Solutions and Research Supporting Investors and Innovation Economy Companies,10/23/2023 10:00:00 PM
FCNCA,First Citizens Bank Closes More Than $66 Million in Financings With Consumer Products Companies,10/18/2023 4:00:00 PM
FCNCA,First Citizens Bank Coordinates $672 Million in Financings for Plus Power on Three Battery Storage Projects,10/17/2023 6:57:00 PM
FCNCA,Green Flags? 3 Stocks That Are Seeing Heavy Insider Buying Right Now.,10/12/2023 10:24:05 PM
FCNCA,"First Citizens Set For Growth With Over $200B In Assets, Says Bullish Analyst",10/5/2023 6:19:17 PM
FCNCA,"First Citizens BancShares, Inc. Announces Date of 2023 Third Quarter Earnings Call",10/4/2023 10:30:00 PM
FCNCA,First Citizens Bank Extends Its Brand to Legacy CIT Business Verticals,10/2/2023 4:00:00 PM
FCNCA,"Benzinga's Top Ratings Upgrades, Downgrades For September 29, 2023",9/29/2023 5:00:35 PM
FCNCA,"Benzinga's Top Ratings Upgrades, Downgrades For September 20, 2023",9/20/2023 5:00:39 PM
FCNCA,First Citizens Wealth Launches New Wealth Advisory Team to Serve Individuals and Institutions in Southern California,9/13/2023 3:00:00 PM
FCNCA,Silicon Valley Bank Launches New Marketing Campaign,9/12/2023 2:00:00 PM
FCNCA,"First Citizens Bank's Annual Forecast Finds Small Businesses Confident, Undeterred By Economic Outlook",9/11/2023 5:15:00 PM
FCNCA,CIT Northbridge Provides $55 Million in Exit Financing to National CineMedia LLC,9/7/2023 3:00:00 PM
FCNCA,First Citizens Bank Announces Leadership Structure for Wealth Organization,9/6/2023 3:00:00 PM
FCNCA,"Fed Pushes For Regional Banks To Improve Liquidity, Address Tech Flaws After Silicon Valley's Failure",8/30/2023 9:05:47 PM
FCNCA,First Citizens BancShares goes ex-dividend tomorrow,8/29/2023 3:44:07 PM
FCNCA,These Are the ONLY 3 Value Stocks to Consider in August 2023,8/27/2023 12:00:02 PM
FCNCA,"First Citizens Bank Serves as Syndication Agent, Joint Lead Arranger and Joint Bookrunner on $400 Million Financing for Alex Lee Inc.",8/23/2023 3:00:00 PM
FCNCA,First Citizens Bank Completes $6.5 Million Credit Facility,8/21/2023 3:00:00 PM
FCNCA,First Citizens Bank Provides Loan to Refinance Florida Senior Living Community,8/15/2023 3:00:00 PM
