Ticker,Title,Link
TPL,Texas Pacific Land buys Permian Basin mineral interests in deals totaling $169M,8/27/2024 8:32:17 PM
TPL,"Analysts’ Top Energy Picks: SM Energy (SM), Texas Pacific Land (TPL)",8/12/2024 1:53:10 PM
TPL,Texas Pacific Land declares $1.17 dividend,8/8/2024 7:53:28 AM
TPL,"Texas Pacific Land GAAP EPS of $4.98 misses by $0.38, revenue of $172.33M misses by $10.01M",8/7/2024 8:38:10 PM
TPL,Here's what Wall Street expects from Texas Pacific Land's earnings report,8/6/2024 3:01:13 PM
TPL,Growth Stocks Leave Value Stocks In The Dust: 4 Reasons For Biggest Monthly Lead In Over A Year,6/21/2024 10:06:47 PM
TPL,"Rising fuel inventories hit crack spreads, likely signaling refining slowdown ahead",6/15/2024 12:15:57 AM
TPL,"Catalyst Watch: HP Enterprise event, Walmart+ Week, Pure Storage buzz, and triple-witching volatility",6/14/2024 7:00:00 PM
TPL,Texas Pacific Land declares $10.00 dividend,6/13/2024 8:32:49 PM
TPL,3 Oil Stocks to Offload as Prices Plunge,6/11/2024 2:23:00 PM
TPL,"Market Stays Flat As Investors Anticipate Key Economic Events; Energy Stocks Lead Gains, Regional Banks Decline: What's Driving Markets Monday?",6/10/2024 7:22:50 PM
TPL,3 High-Margin Stocks Swimming in Record Profits,5/14/2024 10:30:00 AM
TPL,Buy Rating for Texas Pacific Land on Strong Q1 Performance and Technological Advancements,5/10/2024 2:35:36 PM
TPL,"Stocks Rebound As Rising Jobless Claims Sustain Rate-Cut Hopes, Dollar Falls, Gold Rallies: What's Driving Markets Thursday?",5/9/2024 6:42:35 PM
TPL,"Texas Pacific Land GAAP EPS of $4.97 beats by $0.15, revenue of $174.1M beats by $15.89M",5/8/2024 8:28:20 PM
TPL,Texas Pacific Land Q1 2024 Earnings Preview,5/7/2024 9:35:30 PM
TPL,3 Energy Stocks to Sell Before Oil Prices Stall,4/22/2024 10:00:00 AM
TPL,Buy Rating Affirmed for Texas Pacific Land on Strong Production and Rising Energy Prices,4/2/2024 1:35:26 PM
TPL,Texas Pacific Land (TPL) Receives a Hold from Stifel Nicolaus,3/28/2024 2:05:21 AM
TPL,"Catalyst Watch: Walgreens earnings, UPS analyst day and Xiaomi's luxury EV debut",3/22/2024 7:00:00 PM
TPL,Buy Rating Justified by Texas Pacific Land’s Strong Permian Basin Performance and Solid Financials,2/26/2024 2:25:17 PM
TPL,"Analysts Offer Insights on Energy Companies: EnLink Midstream (ENLC), Texas Pacific Land (TPL) and Chord Energy (CHRD)",2/22/2024 1:10:08 PM
TPL,"Texas Pacific Land GAAP EPS of $14.73 beats by $2.27, revenue of $166.7M beats by $14.5M",2/21/2024 9:52:38 PM
TPL,Notable earnings after Wednesday's close,2/20/2024 10:35:39 PM
TPL,3 Stocks with Major Insider Buying This Month,1/22/2024 4:48:35 PM
TPL,Inflation Busters: 3 Hidden Stock Gems That Thrive in a High-Cost World,1/20/2024 7:00:00 PM
TPL,3 Ways to Invest in U.S. Land Just Like This Chinese Billionaire,1/16/2024 7:48:49 PM
TPL,Strong Underlying Assets and Overreaction Present a Buy Opportunity for Texas Pacific Land,12/6/2023 2:55:36 PM
TPL,Analysts Offer Insights on NA Companies: Texas Pacific Land (TPL) and W. P. Carey Inc. (WPC),11/3/2023 1:40:07 PM
TPL,Texas Pacific Land earnings: here's what Wall Street expects,10/31/2023 3:01:13 PM
TPL,Potential Revenue Boost for Texas Pacific Land Due to Higher Crude Oil Prices: An In-depth Buy Rating Analysis by Hamed Khorsand,9/29/2023 1:17:16 PM
TPL,"Industry ETFs In The Spotlight: August's Winners And Losers Revealed: Where Is Gold, Energy And Biotech?",8/31/2023 6:49:54 PM
TPL,The 3 Best Stocks to Buy in August for a Hedge Against Inflation,8/11/2023 9:35:54 AM
TPL,BWS Financial Sticks to Its Buy Rating for Texas Pacific Land (TPL),8/4/2023 1:15:11 PM
TPL,Texas Pacific Land declares $3.25 dividend,8/3/2023 2:49:34 AM
TPL,"Texas Pacific Land GAAP EPS of $13.05 beats by $2.06, revenue of $160.6M beats by $17.36M",8/2/2023 8:40:08 PM
TPL,Texas Pacific Land Q2 2023 Earnings Preview,8/1/2023 9:35:28 PM
TPL,Analysts Offer Insights on NA Companies: Texas Pacific Land (TPL) and Wynn Resorts (WYNN),6/7/2023 2:20:37 AM
TPL,Texas Pacific Land goes ex dividend tomorrow,6/6/2023 4:41:14 PM
TPL,Stifel Nicolaus Remains a Hold on Texas Pacific Land (TPL),5/30/2023 2:15:22 AM
TPL,BWS Financial Keeps Their Buy Rating on Texas Pacific Land (TPL),5/8/2023 12:55:05 PM
TPL,Texas Pacific Land Q1 2023 Earnings Preview,5/2/2023 9:59:40 PM
TPL,Top 5 Energy Stocks That Could Blast Off In March,3/10/2023 1:11:41 PM
TPL,Texas Pacific Land and bpx energy enter water and surface use agreements,2/23/2023 12:25:03 PM
TPL,"Texas Pacific Land GAAP EPS of $12.94, revenue of $152.7M",2/22/2023 9:17:16 PM
TPL,Texas Pacific Land Q4 2022 Earnings Preview,2/21/2023 10:35:10 PM
TPL,Texas Pacific Land raises quarterly dividend by 8.3% to $3.25/share,2/13/2023 10:36:36 PM
TPL,"TMC, New Concept Energy among major Energy/Material gainers, 5E Advanced Materials leads losers",2/6/2023 7:08:39 PM
TPL,Top hedge fund manager sees crude oil topping $140 once Asia fully reopens,1/7/2023 12:50:01 AM
TPL,Top 5 Energy Stocks That May Surge,1/6/2023 1:15:06 PM
TPL,7 Best Natural Gas Stocks to Buy Now,12/23/2022 2:05:39 AM
TPL,Texas Pacific Land goes ex dividend tomorrow,12/6/2022 4:19:25 PM
TPL,"Texas Pacific Land GAAP EPS of $16.82 beats by $2.44, revenue of $191.11M beats by $15.44M",11/2/2022 8:56:39 PM
TPL,Texas Pacific Land Q3 2022 Earnings Preview,11/1/2022 9:35:55 PM
TPL,Stifel Nicolaus Reaffirms Their Hold Rating on Texas Pacific Land (TPL),10/28/2022 2:05:22 AM
TPL,Danimer Scientific lead Energy/Material gainers; Cleveland-Cliffs and Texas Pacific Land among losers,10/25/2022 6:00:04 PM
TPL,Texas Pacific Land goes ex-dividend tomorrow,9/6/2022 6:15:43 PM
TPL,These 4 Energy Stocks Are Rising As Russia Cuts Off German Gas Supply,8/31/2022 8:14:39 PM
TPL,Energy stocks look attractive in a time of market swings - Oppenheimer,8/29/2022 12:23:50 PM
TPL,"Texas Pacific Land GAAP EPS of $15.37 misses by $0.08, revenue of $176.27M beats by $1.48M",8/3/2022 8:43:53 PM
TPL,Notable earnings after Wednesday's close (updated),8/2/2022 9:35:54 PM
TPL,"Texas Pacific Land, Milestone Carbon to team on carbon sequestration study",6/2/2022 11:49:34 AM
TPL,Texas Pacific Land joins JV for bitcoin mining in West Texas,5/16/2022 5:18:34 PM
TPL,"Texas Pacific Land GAAP EPS of $12.64 misses by $1.14, revenue of $147.34M misses by $8.91M",5/4/2022 8:28:47 PM
TPL,Texas Pacific Land Q1 2022 Earnings Preview,5/3/2022 9:45:46 PM
TPL,Here's what to expect from Texas Pacific Land's earnings report,2/22/2022 3:01:13 PM
TPL,Here's what to expect from Texas Pacific Land's earnings report,11/3/2021 3:01:13 PM
TPL,"Benzinga's Top Ratings Upgrades, Downgrades For September 29, 2021",9/29/2021 4:11:58 PM
TPL,Texas Pacific Land earnings preview: what Wall Street is expecting,8/3/2021 3:02:13 PM
TPL,"Last Week's Notable Insider Buys: Lululemon Athletica, Opendoor Technologies And More",6/13/2021 9:13:53 PM
TPL,Stocks That Hit 52-Week Highs On Monday,5/10/2021 5:26:20 PM
TPL,Texas Pacific Land earnings: here's what Wall Street expects,5/4/2021 3:02:12 PM
TPL,"Last Week's Notable Insider Buys: Beacon Roofing, Chipotle, IPOs, Latham And More",5/2/2021 2:05:23 PM
TPL,"Last Week's Notable Insider Buys: AppLovin, Bed Bath And Beyond, TuSimple And More",4/25/2021 2:30:15 PM
TPL,"Last Week's Notable Insider Buys Included Evergy, StoneMor, Tattooed Chef And More",4/18/2021 2:52:54 PM
TPL,"Benzinga's Top Ratings Upgrades, Downgrades For April 1, 2021",4/1/2021 4:02:52 PM
TPL,"The 'Boiler Room' Stock Pitch Recap: Texas Pacific Land Corp, StoneCo, Virgin Galactic And More",3/20/2021 1:40:38 PM
