Ticker,Title,Link
USFD,Analysts Offer Insights on Consumer Goods Companies: US Foods Holding (USFD) and SunOpta (STKL),8/12/2024 11:23:04 AM
USFD,Analysts Offer Insights on Consumer Goods Companies: Mondelez International (MDLZ) and US Foods Holding (USFD),8/9/2024 12:42:19 PM
USFD,US Foods Holding Corp hosts conference call for investors,8/8/2024 2:45:00 PM
USFD,US Foods Q2 2024 Earnings Preview,8/7/2024 4:26:37 PM
USFD,Wells Fargo Reaffirms Their Buy Rating on US Foods Holding (USFD),7/22/2024 10:39:27 AM
USFD,Morgan Stanley Keeps Their Buy Rating on US Foods Holding (USFD),7/16/2024 1:01:06 PM
USFD,Truist Financial Keeps Their Buy Rating on US Foods Holding (USFD),6/11/2024 2:25:37 AM
USFD,This Analyst With 85% Accuracy Rate Sees 17% Upside In Honeywell International - Here Are 5 Stock Picks For Last Week From Wall Street's Most Accurate Analysts,6/10/2024 12:55:08 PM
USFD,Jefferies Remains a Buy on US Foods Holding (USFD),6/6/2024 12:15:34 PM
USFD,A Glimpse Into The Expert Outlook On US Foods Hldg Through 9 Analysts,6/3/2024 5:00:34 PM
USFD,"Catalyst Watch: Nvidia stock split buzz, COMPUTEX, Walmart's annual meeting, and REITs on display",5/31/2024 7:00:19 PM
USFD,US Foods Board Chair Robert Dutkowsky Passes Away At 69; Appoints David Tehle As Board Chair ,5/23/2024 5:26:38 AM
USFD,The Analyst Landscape: 12 Takes On US Foods Hldg,5/10/2024 10:01:09 PM
USFD,"Stocks Rebound As Rising Jobless Claims Sustain Rate-Cut Hopes, Dollar Falls, Gold Rallies: What's Driving Markets Thursday?",5/9/2024 6:42:35 PM
USFD,US Foods Q1 2024 Earnings Preview,5/8/2024 4:58:54 PM
USFD,"Catalyst Watch: Disney earnings, Apple iPad event and Fed speakers back on the circuit",5/3/2024 7:00:00 PM
USFD,Jefferies Sticks to Their Buy Rating for US Foods Holding (USFD),4/25/2024 11:56:40 AM
USFD,Barclays Remains a Buy on US Foods Holding (USFD),4/19/2024 7:58:20 AM
USFD,What 7 Analyst Ratings Have To Say About US Foods Hldg,4/12/2024 8:01:10 PM
USFD,Wells Fargo Sticks to Their Buy Rating for US Foods Holding (USFD),4/2/2024 9:28:51 AM
USFD,Expert Outlook: US Foods Hldg Through The Eyes Of 5 Analysts,3/19/2024 1:01:07 PM
USFD,US Foods Holding: Buy Rating Backed by Strong Management Confidence and Operational Efficiencies,3/11/2024 11:08:39 AM
USFD,"Analysts Offer Insights on Industrial Goods Companies: US Foods Holding (USFD), VSE (VSEC) and GMS (GMS)",3/1/2024 12:40:12 PM
USFD,7 Earnings Losers With a Shot at a Strong Comeback,2/22/2024 5:27:02 PM
USFD,Walmart rattles the retail sector by saying deflation trends slowed in Q4,2/20/2024 3:29:08 PM
USFD,"Analysts Conflicted on These Industrial Goods Names: US Foods Holding (USFD), Hillman Solutions (HLMN) and SiteOne Landscape Supply (SITE)",2/16/2024 12:31:13 PM
USFD,S&P 500 Gains 0.5%; US Foods Shares Rise After Q4 Results,2/15/2024 8:34:04 PM
USFD,US Foods Q4 2023 Earnings Preview,2/14/2024 4:28:46 PM
USFD,US Foods Holding: Strong Buy Rating with Promising Strategic Outlook and Growth Potential,1/10/2024 12:06:30 PM
USFD,US Foods Reaffirms FY23 Outlook ,1/8/2024 1:05:54 PM
USFD,US Foods Holding (USFD) Gets a Buy from BTIG,1/7/2024 10:44:37 AM
USFD,BTIG Remains a Buy on US Foods Holding (USFD),1/2/2024 2:44:56 PM
USFD,BTIG Remains a Buy on US Foods Holding (USFD),12/31/2023 10:23:37 AM
USFD,Truist Financial Reaffirms Their Buy Rating on US Foods Holding (USFD),12/12/2023 2:25:21 AM
USFD,US Foods Analysts Increase Their Forecasts After Q3 Results,11/10/2023 7:35:00 PM
USFD,This Little-Known Buffett Portfolio Invested $24.7 Billion in These 3 Dividend Aristocrats,11/9/2023 9:45:24 PM
USFD,Here's what Wall Street expects from US Foods's earnings,11/8/2023 3:01:13 PM
USFD,3 Restaurant Stocks That Will Be Delicious Buys This Holiday Season,11/2/2023 11:09:33 PM
USFD,"Benzinga's Top Ratings Upgrades, Downgrades For October 19, 2023",10/19/2023 5:06:39 PM
USFD,US Foods Holding: A Promising Buy with Potential for Growth and Value Creation,10/18/2023 8:40:35 PM
USFD,truCurrent selected by US Foods As Energy Transition Partner,9/25/2023 2:00:00 PM
USFD,3 No-Brainer Stocks to Buy With $500 Right Now,9/11/2023 7:44:13 PM
USFD,US Foods Holding (USFD) Receives a Buy from Morgan Stanley,8/14/2023 12:05:24 PM
USFD,Amazon To Rally Over 66%? Here Are 10 Other Analyst Forecasts For Friday,8/11/2023 2:02:52 PM
USFD,"US Foods Holding Corp Q2 Profit Increases, beats estimates",8/10/2023 1:37:56 PM
USFD,US Foods Q2 2023 Earnings Preview,8/9/2023 3:46:31 PM
USFD,"Catalyst Watch: Wayfair and Kellogg events, Alibaba earnings and AI hacking test at Def Con",8/4/2023 7:00:42 PM
USFD,What 6 Analyst Ratings Have To Say About US Foods Hldg,7/17/2023 6:00:34 PM
USFD,"Dividend Stocks: Here’s Where to Invest $1,000 Right Now",7/10/2023 11:46:52 AM
USFD,BTIG Remains a Buy on US Foods Holding (USFD),7/7/2023 11:45:24 AM
USFD,Top 4 Defensive Stocks That Could Sink Your Portfolio In Q3,7/5/2023 1:42:11 PM
USFD,"Benzinga's Top Ratings Upgrades, Downgrades For June 20, 2023",6/20/2023 5:02:53 PM
USFD,"Analysts Conflicted on These Consumer Goods Names: US Foods Holding (USFD), Ulta Beauty (ULTA) and Callaway Golf (MODG)",5/23/2023 12:10:23 PM
USFD,US Foods lands Renzi Foodservice in deal that adds New York distribution capabilities,5/19/2023 1:56:19 PM
USFD,US Foods Gets Price Target Bumps By Analysts After Upbeat Q1 Results,5/12/2023 1:56:40 PM
USFD,US Foods Turns To Profit In Q1 ,5/11/2023 1:15:08 PM
USFD,US Foods Q1 2023 Earnings Preview,5/10/2023 4:17:01 PM
USFD,"Catalyst Watch: CPI report, Icahn showdown and Spectrum Brands trial headline big week",5/5/2023 7:00:33 PM
USFD,J.P. Morgan Reaffirms Their Hold Rating on US Foods Holding (USFD),3/31/2023 12:17:11 PM
USFD,Where US Foods Hldg Stands With Analysts,3/21/2023 5:00:21 PM
USFD,Fair Isaac & Co. Set to Join S&P 500; Others to Join S&P MidCap 400 and S&P SmallCap 600,3/4/2023 12:56:00 AM
USFD,Credit Suisse Keeps Their Buy Rating on US Foods Holding (USFD),2/17/2023 4:26:02 PM
USFD,"US Foods Holding Corp Q4 Profit Increases, beats estimates",2/16/2023 1:42:04 PM
USFD,Notable earnings before Thursday's open,2/15/2023 3:25:44 PM
USFD,"Catalyst watch: Inflation reads, Roblox and DoorDash in the spotlight",2/10/2023 7:30:55 PM
USFD,Morgan Stanley Sticks to Their Hold Rating for US Foods Holding (USFD),1/18/2023 4:26:05 PM
USFD,"Benzinga's Top Ratings Upgrades, Downgrades For January 5, 2023",1/5/2023 4:01:20 PM
USFD,BTIG Reaffirms Their Buy Rating on US Foods Holding (USFD),11/30/2022 4:55:22 AM
USFD,US Foods Appoints Dave Flitman As New CEO ,11/28/2022 1:49:40 PM
USFD,Wall Street Analysts Are Neutral on Top Consumer Goods Picks,11/12/2022 1:30:28 AM
USFD,What 6 Analyst Ratings Have To Say About US Foods Hldg,11/11/2022 9:50:21 PM
USFD,US Foods reports mixed Q3 earnings; updates FY22 guidance,11/10/2022 11:52:54 AM
USFD,US Foods Q3 2022 Earnings Preview,11/9/2022 7:33:04 PM
USFD,US Foods Holding (USFD) Receives a Hold from J.P. Morgan,10/15/2022 12:16:27 PM
USFD,Kroger's deal for Albertsons has major implications across the grocery store sector,10/14/2022 11:42:25 AM
USFD,Morgan Stanley Thinks Europe Exposure & FX Headwinds Weigh On Q3 Earnings For Restaurants,10/11/2022 7:41:20 PM
USFD,Where US Foods Hldg Stands With Analysts,10/5/2022 5:39:00 PM
USFD,Analyst Ratings for US Foods Hldg,9/7/2022 3:15:37 PM
USFD,Where US Foods Stands With Analysts,8/12/2022 6:19:09 PM
USFD,"US Foods revenue rises above estimates, costs cut into profits",8/11/2022 3:04:58 PM
USFD,US Foods Q2 2022 Earnings Preview,8/10/2022 4:47:40 PM
USFD,Analyst Ratings for US Foods Hldg,7/18/2022 9:11:40 PM
USFD,5 Analysts Have This to Say About US Foods Hldg,6/9/2022 7:34:28 PM
USFD,TEAMSTERS WARN POTENTIAL WORK STOPPAGES COULD HAVE MAJOR IMPACT ON EAST COAST FOOD SERVICE INDUSTRY,6/8/2022 9:59:00 PM
USFD,Analyst Ratings for US Foods Hldg,5/18/2022 6:18:02 PM
USFD,"Glenview Capital added Valvoline, exited Amgen, expanded position in US Foods, narrowed stake in Bausch Health",5/17/2022 2:41:55 PM
USFD,US Foods is about to announce its earnings — here's what to expect,5/12/2022 3:01:13 PM
USFD,US Foods Q1 2022 Earnings Preview,5/11/2022 4:34:08 PM
USFD,Activist Sachem Head said in talks to settle proxy fight with US Foods,5/9/2022 5:15:18 PM
USFD,SpartanNash jumps on report of takeover offers,4/26/2022 7:42:55 PM
USFD,US Foods Holding Urges Shareholders To Vote For Its Director Nominees - Quick Facts ,4/25/2022 12:48:36 PM
USFD,"US Foods Adds 4% On Improved Q1 Results, Above Street View ",4/21/2022 4:25:23 PM
USFD,What 5 Analyst Ratings Have To Say About US Foods Hldg,4/14/2022 8:05:18 PM
USFD,US Foods activist holder Sachem Head cuts number of directors in board fight,4/12/2022 1:50:31 AM
USFD,US Foods gains amid offer to look at options in potential settlement with activist (update),4/11/2022 3:30:26 PM
USFD,US Foods is said to interview potential board candidates amid activist push,3/16/2022 1:22:23 PM
USFD,Mid-Morning Market Update: Markets Open Higher; US Producer Prices Increase 0.8% In February,3/15/2022 3:06:28 PM
USFD,"Benzinga's Top Ratings Upgrades, Downgrades For March 11, 2022",3/11/2022 4:28:33 PM
USFD,US Foods Holding jumps after director adds $1M shares,3/9/2022 5:00:56 PM
USFD,What 5 Analyst Ratings Have To Say About US Foods Hldg,2/18/2022 8:10:20 PM
USFD,US Foods trades lower after Q4 profit falls short of expectations,2/17/2022 12:03:26 PM
USFD,US Foods Q4 2021 Earnings Preview,2/16/2022 6:50:23 PM
USFD,US Foods gains as activist Sachem Head confirms plans to seek control of board (update),2/15/2022 2:16:37 PM
USFD,Watch these stocks with food inflation on the rise,2/11/2022 3:02:51 PM
USFD,Analyst Ratings For US Foods Hldg,2/1/2022 8:04:31 PM
USFD,"Benzinga's Top Ratings Upgrades, Downgrades For January 19, 2022",1/19/2022 4:02:34 PM
USFD,"Billionaire Druckenmiller's Duquesne adds Coupang, exits ON Semiconductor, boosts Expedia",11/16/2021 6:33:19 PM
USFD,"Corvex Management adds Sema4, exits Exelon",11/15/2021 11:11:35 PM
USFD,US Foods tops revenue estimates as industry recovery takes hold,11/8/2021 11:58:38 AM
USFD,What Wall Street expects from US Foods's earnings,11/7/2021 3:01:13 PM
USFD,"US Foods gains after report looking for COO, CFO amid investor pressure",11/5/2021 8:21:02 PM
USFD,"Performance Food, Core-Mark HSR expires, sees deal close late August, early September",8/12/2021 1:36:38 AM
USFD,Here's what Wall Street expects from US Foods's earnings,8/7/2021 3:01:21 PM
USFD,Notable earnings before Monday's open,8/6/2021 2:07:09 PM
USFD,"Benzinga's Top Ratings Upgrades, Downgrades For July 29, 2021",7/29/2021 4:39:52 PM
USFD,"US Foods, Inc. -- Moody's changes US Foods' outlook to positive",7/20/2021 12:01:00 AM
USFD,Let's make a deal? BTIG screens top merger targets,6/28/2021 3:39:55 PM
USFD,3 ETFS To Watch With Increased Restaurant Spending,6/23/2021 1:05:59 PM
USFD,Food stocks trade lower after Campbell Soup warns on margins,6/9/2021 6:10:25 PM
USFD,Consumer discretionary stocks to like amid the spending boom,6/1/2021 3:17:20 PM
USFD,"Performance Food sell-off overdone, though Core-Mark not what investors wanted, analyst says",5/18/2021 8:34:41 PM
USFD,A Peek Into The Markets: US Stock Futures Mixed; Crude Oil Edges Higher,5/10/2021 12:03:11 PM
USFD,Here's what Wall Street expects from US Foods's earnings,5/8/2021 3:01:29 PM
USFD,US Foods Q1 2021 Earnings Preview,5/7/2021 6:36:01 PM
USFD,7 Vertical Farming Stocks Feeding the World,4/26/2021 4:59:03 PM
USFD,"Benzinga's Top Ratings Upgrades, Downgrades For April 9, 2021",4/9/2021 4:11:20 PM
USFD,"US Foods EPS misses by $0.04, beats on revenue",2/16/2021 11:48:38 AM
USFD,US Foods Q4 2020 Earnings Preview,2/12/2021 6:37:29 PM
USFD,"US Foods, Inc. -- Moody's rates US Foods' unsecured notes Caa1; liquidity rating upgraded to SGL-1",1/27/2021 3:49:00 PM
USFD,"US Foods, Inc. -- Moody's rates US Foods' unsecured notes Caa1; liquidity rating upgraded to SGL-1",1/25/2021 6:45:00 PM
USFD,US Foods stumbles after guidance warning,1/11/2021 2:05:22 PM
USFD,COVID anxiety hits the restaurant sector again,11/11/2020 4:20:19 PM
USFD,US Foods sees organic case volume drop 22% in Q3,11/2/2020 11:57:58 AM
USFD,US Foods Q3 2020 Earnings Preview,11/1/2020 5:29:54 PM
USFD,"US Foods, Inc. -- Moody's changes US Foods' outlook to stable from negative; affirms B2 CFR",8/24/2020 8:44:00 PM
USFD,Here's what Wall Street expects from US Foods's earnings report,8/3/2020 3:01:57 PM
USFD,Second wave jitters in the restaurant sector,6/10/2020 3:28:40 PM
USFD,"Chicken producer stocks fall on DOJ price-fixing indictments, while food distributor stocks pop (PPC, TSN, SAFM, SYY, USFD)",6/3/2020 10:21:04 PM
USFD,Restaurant suppliers gain on reopening enthusiasm,5/18/2020 7:43:40 PM
USFD,What Wall Street expects from US Foods's earnings,5/4/2020 3:01:31 PM
USFD,US Foods offloads US$300m acquisition-linked loan to Guggenheim - sources,4/28/2020 3:42:31 PM
